transaction_text,amount,amount_log,payment_method,transaction_type,category
Employer Salary Credit NEFT Salary Credit,46314.09,10.743223104901181,Neft,Credit,Salary
BPCL UPI/Paytm/BPCL,2959.23,7.99302224700211,Upi,Debit,Fuel
Municipal Water Department Auto Debit Municipal Water Department,214.83,5.374491060770879,Auto Debit,Debit,Bills
Chaayos POS Purchase Chaayos,138.51,4.938136283280016,Credit Card,Debit,Food
EatClub UPI/Paytm/EatClub,320.8,5.773930234558283,Upi,Debit,Food
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,4362.49,8.381027474862456,Auto Debit,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,14256.14,9.56501311284342,Auto Debit,Debit,Bills
Blinkit UPI Collect Blinkit,1365.12,7.21972988400295,Upi,Debit,Groceries
BSNL Auto Debit BSNL,630.2,6.447622769531664,Auto Debit,Debit,Bills
Bharat Gas UPI/DR/858662013185/Bharat Gas,740.72,6.608971813459182,Upi,Debit,Bills
Spotify Auto Debit Spotify,152.69,5.034937586619221,Auto Debit,Debit,Subscription
Bharat Gas Auto Debit Bharat Gas,719.03,6.5792928778087365,Auto Debit,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,4425.22,8.395301225656745,Auto Debit,Debit,Bills
Employer Salary Credit NEFT Salary Credit,43239.03,10.67452196555494,Neft,Credit,Salary
Airtel Auto Debit Airtel,486.59,6.189474888783194,Auto Debit,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,15776.17,9.66631923737846,Auto Debit,Debit,Bills
House Rent Payment IMPS Transfer House Rent Payment,46734.63,10.752262107786873,Imps,Debit,Rent
Airtel UPI Collect Airtel,517.81,6.251537727507102,Upi,Debit,Bills
Spotify Auto Debit Spotify,162.04,5.093995569474415,Auto Debit,Debit,Subscription
Ace Hardware India Debit Card POS Ace Hardware India,520.99,6.257648430611017,Debit Card,Debit,Miscellaneous
HP Gas UPI Payment HP Gas,716.67,6.576009853367306,Upi,Debit,Bills
Home Depot India POS Purchase Home Depot India,506.48,6.229457301272397,Debit Card,Debit,Miscellaneous
Local Hardware Store UPI Payment Local Hardware Store,530.22,6.2751762480558675,Upi,Debit,Miscellaneous
Domino's India UPI/DR/900595246665/Domino's India,327.31,5.793958283988824,Upi,Debit,Food
Burger King Debit Card POS Burger King,675.94,6.5175826426922665,Debit Card,Debit,Food
Burger King UPI/Paytm/Burger King,339.7,5.831002324666921,Upi,Debit,Food
Cafe Coffee Day UPI Collect Cafe Coffee Day,624.65,6.4387911093110635,Upi,Debit,Food
EatClub UPI Collect EatClub,324.49,5.785331739210489,Upi,Debit,Food
Cafe Coffee Day POS Purchase Cafe Coffee Day,649.89,6.47834065711726,Credit Card,Debit,Food
Airtel Auto Debit Airtel,590.54,6.382729305815005,Auto Debit,Debit,Bills
Blinkit UPI Payment Blinkit,1295.04,7.167068740633462,Upi,Debit,Groceries
BigBasket Debit Card POS BigBasket,1285.81,7.159921566550094,Debit Card,Debit,Groceries
Ace Hardware India POS Purchase Ace Hardware India,525.95,6.267105667379946,Credit Card,Debit,Miscellaneous
Adani Electricity Electricity Bill Adani Electricity,5504.99,8.613591869500395,Auto Debit,Debit,Bills
Amazon Prime POS Purchase Amazon Prime,313.18,5.749966070071793,Debit Card,Debit,Entertainment
Amazon India UPI Collect Amazon India,1538.01,7.338894631543565,Upi,Debit,Shopping
Indian Oil UPI Payment Indian Oil,2846.64,7.954245860047763,Upi,Debit,Fuel
Faasos UPI Payment Faasos,383.34,5.951527577504281,Upi,Debit,Food
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,4438.24,8.398238469603642,Auto Debit,Debit,Bills
BSNL UPI/Paytm/BSNL,646.11,6.472516295505861,Upi,Debit,Bills
Flipkart UPI/Paytm/Flipkart,495.96,6.208509539960322,Upi,Debit,Shopping
Amazon India POS Purchase Amazon India,1522.08,7.3284898794210696,Credit Card,Debit,Shopping
McDonald's India UPI/DR/349814531370/McDonald's India,338.88,5.82859261413534,Upi,Debit,Food
Faasos UPI Collect Faasos,408.98,6.016108378020742,Upi,Debit,Food
Domino's India POS Purchase Domino's India,674.01,6.514727505577606,Credit Card,Debit,Food
Local Hardware Store UPI Payment Local Hardware Store,504.17,6.224895006290327,Upi,Debit,Miscellaneous
Myntra UPI/Paytm/Myntra,1327.84,7.1920616601940015,Upi,Debit,Shopping
Amazon Prime UPI Collect Amazon Prime,297.72,5.699506679793412,Upi,Debit,Entertainment
Zomato UPI/Paytm/Zomato,645.12,6.470985245045557,Upi,Debit,Food
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,2794.01,7.9355909634003305,Net Banking,Debit,Bills
Ace Hardware India UPI/Paytm/Ace Hardware India,479.36,6.174535822792483,Upi,Debit,Miscellaneous
Adani Electricity Electricity Bill Adani Electricity,5361.8,8.587241505727405,Auto Debit,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1944.21,7.573125219375968,Auto Debit,Debit,Bills
BigBasket Debit Card POS BigBasket,895.88,6.798922073845338,Debit Card,Debit,Groceries
Jio Auto Debit Jio,647.96,6.4753710815227095,Auto Debit,Debit,Bills
Employer Salary Credit NEFT Salary Credit,46027.55,10.737017135120242,Neft,Credit,Salary
Adani Electricity Electricity Bill Adani Electricity,4954.67,8.508287654575673,Auto Debit,Debit,Bills
Swiggy POS Purchase Swiggy,213.06,5.366256349556229,Debit Card,Debit,Food
Jio Net Banking Payment Jio,626.7,6.442062345323486,Net Banking,Debit,Bills
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,1740.69,7.462611185204348,Net Banking,Debit,Bills
Barbeque Nation POS Purchase Barbeque Nation,205.29,5.329282945804916,Credit Card,Debit,Food
Starbucks India UPI/DR/662544181990/Starbucks India,169.79,5.1404347316311005,Upi,Debit,Food
House Rent Payment IMPS Transfer House Rent Payment,46992.92,10.75777351062212,Imps,Debit,Rent
Starbucks India UPI Collect Starbucks India,168.54,5.13308888718026,Upi,Debit,Food
Local Wine & Beer Shop UPI/Paytm/Local Wine & Beer Shop,940.6,6.847580555946067,Upi,Debit,Food
Nature's Basket UPI Payment Nature's Basket,950.12,6.85764023755029,Upi,Debit,Groceries
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,5742.74,8.65586584507963,Auto Debit,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1804.15,7.498398969807235,Auto Debit,Debit,Bills
Netflix UPI/DR/391923884043/Netflix,311.82,5.745627945246095,Upi,Debit,Entertainment
Reliance Fresh UPI/DR/976745072963/Reliance Fresh,1148.99,7.047508525667315,Upi,Debit,Groceries
Starbucks India UPI Collect Starbucks India,165.66,5.115955808954061,Upi,Debit,Food
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,1818.08,7.506086157759928,Net Banking,Debit,Bills
Airtel UPI Collect Airtel,616.18,6.425160715556972,Upi,Debit,Bills
Faasos UPI Collect Faasos,208.37,5.34410302169717,Upi,Debit,Food
Burger King UPI Collect Burger King,178.25,5.188781479479729,Upi,Debit,Food
Bharat Gas Auto Debit Bharat Gas,1138.47,7.038318521002617,Auto Debit,Debit,Bills
Jio Fiber UPI/DR/293822729412/Jio Fiber,1260.98,7.140437195115041,Upi,Debit,Bills
Myntra UPI/Paytm/Myntra,518.04,6.251980951486994,Upi,Debit,Shopping
Local Barbershop UPI Collect Local Barbershop,1501.5,7.314885666409363,Upi,Debit,Miscellaneous
Indian Oil UPI Payment Indian Oil,3640.36,8.20011251722346,Upi,Debit,Fuel
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1804.35,7.498509757786852,Auto Debit,Debit,Bills
Tata Power Electricity Bill Tata Power,5319.18,8.57926241634978,Auto Debit,Debit,Bills
Domino's India UPI Collect Domino's India,330.9,5.804833718725929,Upi,Debit,Food
Local Wine & Beer Shop POS Purchase Local Wine & Beer Shop,979.73,6.888297192325014,Credit Card,Debit,Food
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1784.99,7.487728162316626,Auto Debit,Debit,Bills
Spotify Auto Debit Spotify,156.6,5.060060177423779,Auto Debit,Debit,Subscription
EatClub POS Purchase EatClub,314.87,5.755330736536778,Debit Card,Debit,Food
Netflix UPI/DR/626434801063/Netflix,301.82,5.713138569580226,Upi,Debit,Entertainment
Municipal Water Department Auto Debit Municipal Water Department,226.88,5.428819174612195,Auto Debit,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1950.44,7.576322840567692,Auto Debit,Debit,Bills
Faasos UPI/Paytm/Faasos,621.07,6.433052626599933,Upi,Debit,Food
BEST Electricity Bill BEST,5087.95,8.534826801427577,Auto Debit,Debit,Bills
Amazon India POS Purchase Amazon India,506.73,6.22994981022139,Credit Card,Debit,Shopping
EatClub UPI/Paytm/EatClub,994.63,6.903375702622826,Upi,Debit,Food
Cafe Coffee Day POS Purchase Cafe Coffee Day,315.98,5.7588386804042795,Credit Card,Debit,Food
Domino's India POS Purchase Domino's India,186.32,5.232818384315341,Credit Card,Debit,Food
Swiggy UPI Payment Swiggy,303.22,5.717751123883597,Upi,Debit,Food
The Beer Cafe POS Purchase The Beer Cafe,881.02,6.782214731486662,Debit Card,Debit,Food
Employer Salary Credit NEFT Salary Credit,47492.08,10.768339295199231,Neft,Credit,Salary
Barbeque Nation UPI Collect Barbeque Nation,195.76,5.281984711927139,Upi,Debit,Food
Lakme Salon UPI Payment Lakme Salon,1448.66,7.279084325160619,Upi,Debit,Miscellaneous
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1837.5,7.516705300741327,Auto Debit,Debit,Bills
HPCL UPI Collect HPCL,3443.57,8.144554357079624,Upi,Debit,Fuel
House Rent Payment NEFT Rent Payment,46175.24,10.740220659065288,Neft,Debit,Rent
Blinkit UPI Collect Blinkit,921.26,6.826827179464896,Upi,Debit,Groceries
BigBasket POS Purchase BigBasket,949.38,6.856861904615913,Debit Card,Debit,Groceries
Third Wave Coffee UPI/Paytm/Third Wave Coffee,118.22,4.780970525791781,Upi,Debit,Food
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1798.21,7.495102958655449,Auto Debit,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1867.33,7.532800262715239,Auto Debit,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1911.32,7.556072443624289,Auto Debit,Debit,Bills
Indian Oil UPI/Paytm/Indian Oil,2958.98,7.992937790538522,Upi,Debit,Fuel
Zomato UPI Collect Zomato,800.13,6.686023231028194,Upi,Debit,Food
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,1933.82,7.567769577881137,Net Banking,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1912.07,7.556464560511513,Auto Debit,Debit,Bills
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,1854.11,7.525699272474783,Net Banking,Debit,Bills
Bharat Gas Auto Debit Bharat Gas,1185.37,7.078653503922757,Auto Debit,Debit,Bills
Naturals Salon Debit Card POS Naturals Salon,1580.72,7.366268141512375,Debit Card,Debit,Miscellaneous
Cafe Coffee Day Debit Card POS Cafe Coffee Day,196.41,5.285282784277577,Debit Card,Debit,Food
Airtel Auto Debit Airtel,1403.43,7.2473868055016135,Auto Debit,Debit,Bills
Airtel Auto Debit Airtel,1254.24,7.135082068342552,Auto Debit,Debit,Bills
Indian Oil UPI Payment Indian Oil,3175.63,8.063576165416146,Upi,Debit,Fuel
Domino's India UPI/Paytm/Domino's India,184.23,5.221598296134632,Upi,Debit,Food
House Rent Payment NEFT Rent Payment,43912.33,10.689973197619482,Neft,Debit,Rent
Spotify Auto Debit Spotify,153.2,5.038250461129229,Auto Debit,Debit,Subscription
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1870.76,7.5346344436903525,Auto Debit,Debit,Bills
Cafe Coffee Day UPI/DR/645141062499/Cafe Coffee Day,324.62,5.7857310573033685,Upi,Debit,Food
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1900.74,7.550524535548876,Auto Debit,Debit,Bills
Burger King UPI Payment Burger King,177.5,5.184588601219693,Upi,Debit,Food
Tata Power Electricity Bill Tata Power,5404.62,8.595194432097925,Auto Debit,Debit,Bills
Zomato UPI Collect Zomato,960.06,6.868036841984891,Upi,Debit,Food
Chaayos UPI/DR/728400443133/Chaayos,120.79,4.802298250099019,Upi,Debit,Food
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1921.76,7.561516932807789,Auto Debit,Debit,Bills
HPCL ATM Cash Withdrawal,3638.47,8.199593345633833,Cash Withdrawal,Debit,Fuel
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,5873.21,8.67832686188561,Net Banking,Debit,Bills
Nature's Basket Debit Card POS Nature's Basket,522.85,6.261205383798974,Debit Card,Debit,Groceries
BigBasket UPI/DR/420705911656/BigBasket,793.5,6.677712985976771,Upi,Debit,Groceries
DMart Debit Card POS DMart,1029.01,6.937323789914416,Debit Card,Debit,Groceries
Employer Salary Credit NEFT Salary Credit,44709.1,10.707954705861624,Neft,Credit,Salary
Domino's India UPI Payment Domino's India,445.18,6.100722458044504,Upi,Debit,Food
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,5508.79,8.614281788897973,Net Banking,Debit,Bills
DMart POS Purchase DMart,834.36,6.727862769662242,Credit Card,Debit,Groceries
BSNL Net Banking Payment BSNL,1314.17,7.18172121382278,Net Banking,Debit,Bills
DMart UPI/DR/253989877226/DMart,481.0,6.1779441140506,Upi,Debit,Groceries
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,5928.55,8.687703603783497,Auto Debit,Debit,Bills
Burger King UPI Payment Burger King,449.62,6.1106244122772395,Upi,Debit,Food
Zepto UPI/Paytm/Zepto,748.9,6.6199398643073435,Upi,Debit,Groceries
McDonald's India UPI Payment McDonald's India,451.84,6.115538862209909,Upi,Debit,Food
Cafe Coffee Day Debit Card POS Cafe Coffee Day,425.27,6.055072948318093,Debit Card,Debit,Food
Municipal Water Department Auto Debit Municipal Water Department,223.94,5.415833699975876,Auto Debit,Debit,Bills
Spotify Auto Debit Spotify,167.2,5.125153747538848,Auto Debit,Debit,Subscription
Swiggy UPI Collect Swiggy,323.83,5.783301968554202,Upi,Debit,Food
Third Wave Coffee UPI/Paytm/Third Wave Coffee,148.04,5.004214726293333,Upi,Debit,Food
Blinkit UPI Payment Blinkit,588.34,6.379003266682691,Upi,Debit,Groceries
Third Wave Coffee UPI Payment Third Wave Coffee,150.52,5.020717629437768,Upi,Debit,Food
House Rent Payment IMPS Transfer House Rent Payment,44629.34,10.706169175788338,Imps,Debit,Rent
Municipal Water Department UPI/DR/687816574852/Municipal Water Department,220.77,5.401640808779938,Upi,Debit,Bills
Social UPI/Paytm/Social,1291.75,7.164527011276331,Upi,Debit,Food
Domino's India UPI/DR/842407337491/Domino's India,461.61,6.136884366511383,Upi,Debit,Food
Cafe Coffee Day Debit Card POS Cafe Coffee Day,262.5,5.574053367981417,Debit Card,Debit,Food
Starbucks India UPI/DR/148911994093/Starbucks India,151.45,5.026836673434263,Upi,Debit,Food
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,5483.01,8.609591864167049,Net Banking,Debit,Bills
Third Wave Coffee UPI/Paytm/Third Wave Coffee,143.33,4.972102344379472,Upi,Debit,Food
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,4628.44,8.440191189441226,Auto Debit,Debit,Bills
BigBasket UPI Collect BigBasket,582.43,6.368924478806068,Upi,Debit,Groceries
Third Wave Coffee UPI Collect Third Wave Coffee,163.66,5.10388274187028,Upi,Debit,Food
Indian Oil POS Purchase Indian Oil,3283.62,8.097006246906417,Debit Card,Debit,Fuel
Zepto POS Purchase Zepto,1040.75,6.948657270302562,Debit Card,Debit,Groceries
Barbeque Nation UPI/Paytm/Barbeque Nation,453.51,6.119219915575709,Upi,Debit,Food
Nature's Basket UPI/DR/974534906192/Nature's Basket,708.95,6.565194545020367,Upi,Debit,Groceries
Ajio POS Purchase Ajio,1507.48,7.318857800307712,Debit Card,Debit,Shopping
Tata Power Electricity Bill Tata Power,5532.28,8.618536047075857,Auto Debit,Debit,Bills
BPCL POS Purchase BPCL,3312.7,8.105820668843606,Debit Card,Debit,Fuel
BigBasket POS Purchase BigBasket,533.4,6.281144622222436,Credit Card,Debit,Groceries
Zepto UPI Collect Zepto,665.45,6.501965118050027,Upi,Debit,Groceries
Zomato UPI Payment Zomato,185.72,5.229610168538246,Upi,Debit,Food
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,4608.84,8.435948428230036,Auto Debit,Debit,Bills
Municipal Water Department UPI Payment Municipal Water Department,218.82,5.3928090296407545,Upi,Debit,Bills
BSNL UPI/Paytm/BSNL,1340.46,7.201513852052515,Upi,Debit,Bills
McDonald's India POS Purchase McDonald's India,330.51,5.803657975083454,Debit Card,Debit,Food
Burger King UPI Collect Burger King,288.3,5.6674642119820895,Upi,Debit,Food
DMart UPI Collect DMart,833.29,6.726581063740067,Upi,Debit,Groceries
Nature's Basket UPI/Paytm/Nature's Basket,589.21,6.380478405774315,Upi,Debit,Groceries
Spotify Auto Debit Spotify,167.16,5.124915907128641,Auto Debit,Debit,Subscription
Burger King UPI Payment Burger King,201.62,5.311332303625531,Upi,Debit,Food
Barbeque Nation UPI Collect Barbeque Nation,405.17,6.0067717911751295,Upi,Debit,Food
McDonald's India POS Purchase McDonald's India,457.13,6.1271529866332,Debit Card,Debit,Food
DMart UPI Collect DMart,1050.66,6.958125147142896,Upi,Debit,Groceries
Meesho UPI/DR/873634608133/Meesho,598.72,6.396462879626703,Upi,Debit,Shopping
Municipal Water Department Auto Debit Municipal Water Department,226.65,5.427809361780791,Auto Debit,Debit,Bills
Faasos UPI Collect Faasos,257.67,5.555553118030016,Upi,Debit,Food
EatClub POS Purchase EatClub,444.09,6.098276508908046,Debit Card,Debit,Food
Employer Salary Credit NEFT Salary Credit,42912.35,10.666938245318102,Neft,Credit,Salary
Airtel Auto Debit Airtel,608.7,6.4129670329137705,Auto Debit,Debit,Bills
Airtel Auto Debit Airtel,648.07,6.475540569131259,Auto Debit,Debit,Bills
House Rent Payment IMPS Transfer House Rent Payment,47664.75,10.77196838961979,Imps,Debit,Rent
Faasos UPI Collect Faasos,313.79,5.751905749837929,Upi,Debit,Food
Indane Gas Auto Debit Indane Gas,854.6,6.751802977208251,Auto Debit,Debit,Bills
Adani Electricity UPI/Paytm/Adani Electricity,5313.58,8.578209266016797,Upi,Debit,Bills
DMart Debit Card POS DMart,443.8,6.097624742936373,Debit Card,Debit,Groceries
Burger King POS Purchase Burger King,186.78,5.2352710648304015,Debit Card,Debit,Food
Local Wine & Beer Shop UPI/Paytm/Local Wine & Beer Shop,1255.5,7.136085356983647,Upi,Debit,Food
Barbeque Nation UPI/Paytm/Barbeque Nation,435.28,6.078284239060542,Upi,Debit,Food
Chaayos UPI Collect Chaayos,157.6,5.066385309200747,Upi,Debit,Food
Nykaa POS Purchase Nykaa,1476.96,7.298418037542462,Credit Card,Debit,Shopping
Zepto UPI Collect Zepto,580.86,6.366229868966508,Upi,Debit,Groceries
BookMyShow UPI/DR/634380802295/BookMyShow,321.6,5.776413165691109,Upi,Debit,Entertainment
Zepto POS Purchase Zepto,756.51,6.6300367386165195,Credit Card,Debit,Groceries
Domino's India POS Purchase Domino's India,310.46,5.741270919067192,Credit Card,Debit,Food
Ajio POS Purchase Ajio,629.02,6.445751564913429,Credit Card,Debit,Shopping
Flipkart UPI/Paytm/Flipkart,551.82,6.315032451249072,Upi,Debit,Shopping
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,4499.66,8.411979331670574,Net Banking,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,4345.66,8.377163013069026,Auto Debit,Debit,Bills
DMart UPI Payment DMart,808.0,6.695798917058491,Upi,Debit,Groceries
Nature's Basket POS Purchase Nature's Basket,820.12,6.710669261987217,Credit Card,Debit,Groceries
BigBasket UPI Payment BigBasket,669.71,6.508336852790277,Upi,Debit,Groceries
Cafe Coffee Day POS Purchase Cafe Coffee Day,275.29,5.621451038730069,Credit Card,Debit,Food
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,4444.05,8.399546396478666,Auto Debit,Debit,Bills
Cafe Coffee Day POS Purchase Cafe Coffee Day,163.0,5.099866427824199,Credit Card,Debit,Food
Domino's India POS Purchase Domino's India,464.71,6.143563122809109,Debit Card,Debit,Food
Myntra POS Purchase Myntra,607.3,6.41066818132666,Credit Card,Debit,Shopping
Nature's Basket POS Purchase Nature's Basket,588.04,6.3784940930604614,Debit Card,Debit,Groceries
Ajio Debit Card POS Ajio,553.98,6.318932077061085,Debit Card,Debit,Shopping
Starbucks India UPI/Paytm/Starbucks India,137.57,4.931375613110624,Upi,Debit,Food
Reliance Fresh UPI/Paytm/Reliance Fresh,683.22,6.528279503335223,Upi,Debit,Groceries
Amazon India POS Purchase Amazon India,1458.35,7.285746410089546,Credit Card,Debit,Shopping
BPCL Debit Card POS BPCL,2807.98,7.940576707107376,Debit Card,Debit,Fuel
Employer Salary Credit NEFT Salary Credit,45807.43,10.732223414300474,Neft,Credit,Salary
Nature's Basket UPI/DR/161970160008/Nature's Basket,616.73,6.426051468788165,Upi,Debit,Groceries
HPCL UPI Payment HPCL,2939.47,7.986324711501426,Upi,Debit,Fuel
Municipal Water Department Auto Debit Municipal Water Department,208.62,5.345296367742031,Auto Debit,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,4218.9,8.347566710066822,Auto Debit,Debit,Bills
DMart POS Purchase DMart,488.23,6.192832726544351,Debit Card,Debit,Groceries
DMart UPI/DR/877322099707/DMart,870.88,6.770651799760312,Upi,Debit,Groceries
Netflix POS Purchase Netflix,309.77,5.73905308873812,Credit Card,Debit,Entertainment
BPCL ATM Cash Withdrawal,3461.38,8.149711492855314,Cash Withdrawal,Debit,Fuel
Chaayos UPI Collect Chaayos,232.12,5.4515533424468945,Upi,Debit,Food
HP Gas Net Banking Payment HP Gas,387.5,5.962293169807702,Net Banking,Debit,Bills
Nature's Basket Debit Card POS Nature's Basket,2125.78,7.662364377786833,Debit Card,Debit,Groceries
Faasos UPI Payment Faasos,314.79,5.75507743570903,Upi,Debit,Food
DMart POS Purchase DMart,800.73,6.686771892830254,Debit Card,Debit,Groceries
BigBasket UPI Payment BigBasket,2128.13,7.663468724560535,Upi,Debit,Groceries
Lakme Salon UPI Payment Lakme Salon,1494.81,7.310423145120967,Upi,Debit,Miscellaneous
Myntra Debit Card POS Myntra,1268.58,7.146441416095051,Debit Card,Debit,Shopping
Cafe Coffee Day UPI/Paytm/Cafe Coffee Day,482.11,6.180244370994232,Upi,Debit,Food
Spotify Auto Debit Spotify,150.71,5.021970803760001,Auto Debit,Debit,Subscription
Local Hardware Store POS Purchase Local Hardware Store,655.61,6.4870902349241035,Credit Card,Debit,Miscellaneous
BookMyShow UPI Payment BookMyShow,324.97,5.786805352592313,Upi,Debit,Entertainment
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,8644.67,9.064813896560231,Auto Debit,Debit,Bills
Ace Hardware India POS Purchase Ace Hardware India,559.09,6.328097485101752,Debit Card,Debit,Miscellaneous
Indian Oil POS Purchase Indian Oil,322.61,5.779539087055447,Debit Card,Debit,Fuel
BEST UPI Collect BEST,5223.03,8.561024413665658,Upi,Debit,Bills
Netflix UPI/Paytm/Netflix,328.02,5.796118539191275,Upi,Debit,Entertainment
Ace Hardware India POS Purchase Ace Hardware India,503.41,6.223389429429531,Debit Card,Debit,Miscellaneous
Barbeque Nation Debit Card POS Barbeque Nation,328.13,5.796452809497509,Debit Card,Debit,Food
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,5456.25,8.604700278854471,Net Banking,Debit,Bills
Municipal Water Department Auto Debit Municipal Water Department,210.1,5.352331954854275,Auto Debit,Debit,Bills
BookMyShow POS Purchase BookMyShow,150.71,5.021970803760001,Credit Card,Debit,Entertainment
Ace Hardware India POS Purchase Ace Hardware India,477.61,6.170886069530959,Credit Card,Debit,Miscellaneous
Reliance Fresh POS Purchase Reliance Fresh,1419.61,7.258841635818111,Debit Card,Debit,Groceries
Nature's Basket POS Purchase Nature's Basket,834.26,6.727743053628531,Debit Card,Debit,Groceries
Municipal Water Department UPI Payment Municipal Water Department,214.43,5.372636030790336,Upi,Debit,Bills
Local Hardware Store POS Purchase Local Hardware Store,697.29,6.548634489256825,Debit Card,Debit,Miscellaneous
Indian Oil UPI Payment Indian Oil,3537.81,8.171545791421899,Upi,Debit,Fuel
