transaction_id,transaction_date,transaction_time,merchant,description,amount,currency,payment_method,transaction_type,category,city,state,country,day,week,month,weekend,month_end,salary_week,festival_season,transaction_datetime,log_amount,transaction_hour,is_weekend,is_month_end,is_salary_week,is_night,is_evening,log_merchant_transaction_count_hist,log_merchant_median_amount_hist,log_amount_vs_merchant_median,merchant_zscore_transformed,log_category_transaction_count_hist,log_category_median_amount_hist,log_amount_vs_category_median,category_zscore_transformed,merchant_count_hist,merchant_median_hist,merchant_zscore_hist,category_count_hist,category_median_hist,category_zscore_hist,anomaly_score,anomaly_explanation
TXN006207,2019-11-02,21:56:05,Ajio,UPI/Paytm/Ajio,29330.11,INR,UPI,Debit,Shopping,Noida,Uttar Pradesh,India,2,44,11,1,0,1,1,2019-11-02 21:56:05,10.286404006465068,21.933333333333334,1,0,1,0,1,4.248495242049359,7.390909558137224,2.89607737922549,1.462740157872866,6.298949246855942,7.1524098014634,3.134743392604041,1.5658185085783565,69,1620.18,3.3177747175961394,543,1276.18,3.786591198886572,0.06901601140093849,Unusual transaction because the amount is significantly higher than this merchant's historical median and the amount is significantly higher than this category's historical median and it occurred during an evening period.
TXN006780,2019-09-28,19:06:38,Income Tax Payment,NEFT Income Tax Payment,19786.62,INR,NEFT,Debit,Bills,Chennai,Tamil Nadu,India,28,39,9,1,0,1,0,2019-09-28 19:06:38,9.892811768605497,19.1,1,1,1,0,1,3.58351893845611,9.647453360817005,0.24537246179361022,0.0819907611838835,7.624130585661289,7.913654512396435,1.9794725007968266,1.4151191562179637,35,15481.31,0.08544578154924425,2046,2733.365,3.116977000156362,0.055883754437390465,Unusual transaction because the amount is significantly higher than this category's historical median and it occurred during an evening period.
TXN004915,2019-09-15,03:04:31,House Rent Payment,NEFT Rent Payment,37950.45,INR,NEFT,Debit,Rent,Kolkata,West Bengal,India,15,37,9,1,0,0,0,2019-09-15 03:04:31,10.544062990262505,3.066666666666667,1,0,0,1,0,5.081404364984463,10.361324023706924,0.18274424980059903,0.5331590145563505,5.081404364984463,10.361324023706924,0.18274424980059903,0.5331590145563505,160,31612.010000000002,0.704307746584831,160,31612.010000000002,0.704307746584831,0.05489758792820432,Unusual transaction because it occurred during the night.
TXN005636,2019-11-01,17:39:03,Meesho,UPI/DR/928123020/Meesho,35910.83,INR,UPI,Debit,Shopping,Delhi,Delhi,India,1,44,11,0,0,1,1,2019-11-01 17:39:03,10.488822046656846,17.65,0,0,1,0,0,4.204692619390966,6.98922466077969,3.5004917255271617,1.792220138769467,6.297109319933935,7.151379658934546,3.338198630658269,1.771435939348238,66,1083.88,5.0027646539955235,542,1274.865,4.87928960625035,0.054689902504969745,Unusual transaction because the amount is significantly higher than this merchant's historical median and the amount is significantly higher than this category's historical median.
TXN006098,2019-07-29,04:21:15,Local Services,UPI/Local Services,105.98,INR,UPI,Debit,Other,Kolkata,West Bengal,India,29,31,7,0,0,1,0,2019-07-29 04:21:15,4.672641901103104,4.35,0,1,1,1,0,3.4339872044851463,7.0269240207708235,-2.3627855715014223,-0.9972729526452304,5.971261839790462,6.66482985015647,-2.000303666077276,-0.7249522676828114,30,1125.56,-1.7108790436493384,391,783.33,-1.0646325479187912,0.052316863408680025,Unusual transaction because it occurred during the night.
TXN004990,2019-09-29,01:53:12,Credit Card Bill Payment,UPI/Credit Card Bill Payment,1417.91,INR,UPI,Debit,Bills,Lucknow,Uttar Pradesh,India,29,39,9,1,0,1,0,2019-09-29 01:53:12,7.25764425020145,1.8833333333333333,1,1,1,1,0,6.5337888379333435,7.887216096112429,-0.629901276672654,-0.5363261743745334,7.6246189861593985,7.9140256448757915,-0.6567207627135476,-0.48641581230862296,687,2662.02,-0.7097141185003477,2047,2734.38,-0.6264761644309171,0.049880477693050596,Unusual transaction because it occurred during the night.
TXN005576,2019-10-27,20:18:05,Amazon India,Refund Amazon India,22387.39,INR,UPI,Credit,Shopping,Delhi,Delhi,India,27,43,10,1,0,1,1,2019-10-27 20:18:05,10.016297799905976,20.3,1,0,1,0,1,4.804021044733257,7.215600207957405,2.8013882245007116,1.2426195585823194,6.295266001439646,7.15034845411766,2.8666895773752246,1.3448089727447834,121,1359.49,2.464677513391471,541,1273.55,2.837453412386049,0.049378633496737656,Unusual transaction because the amount is significantly higher than this merchant's historical median and the amount is significantly higher than this category's historical median and it occurred during an evening period.
TXN006634,2019-09-01,14:11:16,Employer Salary Credit,NEFT Salary Credit,196659.2,INR,IMPS,Credit,Salary,Pune,Maharashtra,India,1,35,9,1,0,1,0,2019-09-01 14:11:16,12.189232645317256,14.183333333333334,1,0,1,0,0,5.049856007249537,10.767875751843256,1.421372874231544,1.337111717765969,5.111987788356544,10.75093804413174,1.4383109417901623,1.3390274484707605,155,47470.07,2.808028944096725,165,46672.79,2.8153310943131,0.04844547035408531,Unusual transaction because the amount is significantly higher than this merchant's historical median and the amount is significantly higher than this category's historical median.
TXN004599,2019-07-09,05:52:16,House Rent Payment,IMPS Rent Payment,7798.14,INR,IMPS,Debit,Rent,Pune,Maharashtra,India,9,28,7,0,0,0,0,2019-07-09 05:52:16,8.961768750188742,5.866666666666667,0,0,0,1,0,4.955827057601261,10.445194501682531,-1.4835248908377656,-0.8108574445426082,4.955827057601261,10.445194501682531,-1.4835248908377656,-0.8108574445426082,141,34377.77,-1.2498362696916654,141,34377.77,-1.2498362696916654,0.04764331707266567,Unusual transaction because it occurred during the night.
TXN006130,2019-08-04,00:26:40,House Rent Payment,Net Banking House Rent Payment,23471.04,INR,Net Banking,Debit,Rent,Jaipur,Rajasthan,India,4,31,8,1,0,0,0,2019-08-04 00:26:40,10.063565204539456,0.43333333333333335,1,0,1,1,0,5.0106352940962555,10.382334464439676,-0.3187808893433478,-0.1862516160733904,5.0106352940962555,10.382334464439676,-0.3187808893433478,-0.1862516160733904,149,32283.24,-0.20472535050706497,149,32283.24,-0.20472535050706497,0.04701431565139691,Unusual transaction because it occurred during the night.
TXN005575,2019-10-23,19:30:12,Amazon India,UPI/Paytm/Amazon India,27919.3,INR,UPI,Debit,Shopping,Kolkata,West Bengal,India,23,43,10,0,0,0,1,2019-10-23 19:30:12,10.237109301804255,19.5,0,0,0,0,1,4.787491742782046,7.176904168052754,3.0609336383868384,1.4730095606139328,6.29156913955832,7.1472130271469005,3.0906478221990343,1.5551694818414754,119,1307.85,3.3623441441191435,539,1269.56,3.735889104352631,0.04672879413970543,Unusual transaction because the amount is significantly higher than this merchant's historical median and the amount is significantly higher than this category's historical median and it occurred during an evening period.
TXN005583,2019-08-10,02:25:57,Indian Oil,POS Purchase Indian Oil,616.55,INR,Credit Card,Debit,Fuel,Ahmedabad,Gujarat,India,10,32,8,1,0,0,0,2019-08-10 02:25:57,6.425760036884023,2.4166666666666665,1,0,0,1,0,5.017279836814924,8.02118392794438,-1.5967160207286215,-1.1487154081542446,5.968707559985366,8.041805494053179,-1.617344292422985,-1.2374103434291484,150,3043.7799999999997,-2.1541385255026277,390,3107.2200000000003,-2.44667618987833,0.04506228557863379,Unusual transaction because it occurred during the night.
TXN006947,2019-08-02,18:40:35,Income Tax Payment,Net Banking Income Tax Payment,37355.14,INR,Net Banking,Debit,Bills,Lucknow,Uttar Pradesh,India,2,31,8,0,0,1,0,2019-08-02 18:40:35,10.528252567947181,18.666666666666668,0,0,1,0,1,3.4339872044851463,9.462362494227072,1.0659410297756844,1.0154797764439043,7.531552381407289,7.917867810845431,2.610722231706918,2.0586889957107437,30,12865.244999999999,1.7606875925679435,1865,2744.91,6.835690449858863,0.04197572931632254,Unusual transaction because the amount is significantly higher than this merchant's historical median and the amount is significantly higher than this category's historical median and it occurred during an evening period.
TXN006846,2019-07-29,02:45:17,Flipkart,POS Purchase Flipkart,13526.6,INR,Credit Card,Debit,Shopping,Mumbai,Maharashtra,India,29,31,7,0,0,1,0,2019-07-29 02:45:17,9.512487321838487,2.75,0,1,1,1,0,4.584967478670572,6.910840514743945,2.6025702981928416,1.0082521451332793,6.20050917404269,7.082514983568802,2.430738424068074,1.016398733420962,97,1002.09,1.740806294379301,492,1189.96,1.7632257117251486,0.04189658995322709,Unusual transaction because the amount is significantly higher than this merchant's historical median and the amount is significantly higher than this category's historical median and it occurred during the night.
TXN004992,2019-09-29,16:00:26,Employer Salary Credit,NEFT Salary Credit,42608.88,INR,NEFT,Credit,Salary,Bengaluru,Karnataka,India,29,39,9,1,0,1,0,2019-09-29 16:00:26,10.659841430249672,16.0,1,1,1,0,0,5.093750200806762,10.768718436456204,-0.10887942727834901,-0.4365564665278733,5.153291594497779,10.758894303963306,-0.09905508698646104,-0.3732062119038176,162,47510.09,-0.5473696146152249,172,47045.619999999995,-0.4523838077848629,0.04040613185723363,"Unusual transaction because its combined amount, timing, and historical behavior are unusual."
