transaction_id,transaction_date,transaction_time,merchant,description,amount,currency,payment_method,transaction_type,category,city,state,country,day,week,month,weekend,month_end,salary_week,festival_season,transaction_text,transaction_text_length,amount_log,amount_bucket
TXN000019,2018-01-05,1900-01-01 11:42:14,Indian Oil,UPI/DR/452043596566/Indian Oil,3363.4,INR,Upi,Debit,Fuel,Ahmedabad,Gujarat,India,5,1,1,0,0,0,0,Indian Oil UPI/DR/452043596566/Indian Oil,41,8.121004920088282,Large
TXN000020,2018-01-05,1900-01-01 14:26:09,Cafe Coffee Day,UPI/DR/556151075645/Cafe Coffee Day,154.29,INR,Upi,Debit,Food,Chennai,Tamil Nadu,India,5,1,1,0,0,0,0,Cafe Coffee Day UPI/DR/556151075645/Cafe Coffee Day,51,5.045294336581097,Small
TXN000021,2018-01-06,1900-01-01 08:09:59,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,4209.68,INR,Auto Debit,Debit,Bills,Indore,Madhya Pradesh,India,6,1,1,1,0,0,0,Credit Card Bill Payment Auto Debit Credit Card Bill Payment,60,8.345379433823469,Large
TXN000022,2018-01-07,1900-01-01 11:17:28,Spotify,Auto Debit Spotify,153.74,INR,Auto Debit,Debit,Subscription,Chennai,Tamil Nadu,India,7,1,1,1,0,0,0,Spotify Auto Debit Spotify,26,5.041746289121308,Small
TXN000023,2018-01-07,1900-01-01 14:08:47,McDonald's India,UPI/Paytm/McDonald's India,376.36,INR,Upi,Debit,Food,Surat,Gujarat,India,7,1,1,1,0,0,0,McDonald's India UPI/Paytm/McDonald's India,43,5.933199638976006,Small
TXN000024,2018-01-08,1900-01-01 10:49:00,Bharat Gas,UPI/DR/203003255767/Bharat Gas,763.99,INR,Upi,Debit,Bills,Bengaluru,Karnataka,India,8,2,1,0,0,0,0,Bharat Gas UPI/DR/203003255767/Bharat Gas,41,6.639862761845673,Medium
TXN000025,2018-01-09,1900-01-01 13:21:35,Myntra,Debit Card POS Myntra,1614.1,INR,Debit Card,Debit,Shopping,Pune,Maharashtra,India,9,2,1,0,0,0,0,Myntra Debit Card POS Myntra,28,7.387152153244467,Medium
TXN000026,2018-01-09,1900-01-01 13:38:23,HPCL,UPI Payment HPCL,2943.71,INR,Upi,Debit,Fuel,Noida,Uttar Pradesh,India,9,2,1,0,0,0,0,HPCL UPI Payment HPCL,21,7.9877656192505855,Large
TXN000027,2018-01-10,1900-01-01 07:50:11,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,14999.79,INR,Auto Debit,Debit,Bills,Jaipur,Rajasthan,India,10,2,1,0,0,0,0,Credit Card Bill Payment Auto Debit Credit Card Bill Payment,60,9.615858145364173,Large
TXN000028,2018-01-10,1900-01-01 08:29:11,Nykaa,UPI/Paytm/Nykaa,1269.56,INR,Upi,Debit,Shopping,Jaipur,Rajasthan,India,10,2,1,0,0,0,0,Nykaa UPI/Paytm/Nykaa,21,7.1472130271469005,Medium
TXN000029,2018-01-10,1900-01-01 11:24:56,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,2862.19,INR,Auto Debit,Debit,Bills,Bengaluru,Karnataka,India,10,2,1,0,0,0,0,Credit Card Bill Payment Auto Debit Credit Card Bill Payment,60,7.95969166685002,Large
TXN000030,2018-01-10,1900-01-01 19:13:14,Ajio,POS Purchase Ajio,545.07,INR,Credit Card,Debit,Shopping,Chennai,Tamil Nadu,India,10,2,1,0,0,0,0,Ajio POS Purchase Ajio,22,6.302747172655535,Small
TXN000031,2018-01-11,1900-01-01 11:22:38,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,4310.62,INR,Auto Debit,Debit,Bills,Bengaluru,Karnataka,India,11,2,1,0,0,0,0,Credit Card Bill Payment Auto Debit Credit Card Bill Payment,60,8.36906898254594,Large
TXN000032,2018-01-11,1900-01-01 11:31:09,Bharat Gas,Auto Debit Bharat Gas,766.94,INR,Auto Debit,Debit,Bills,Bengaluru,Karnataka,India,11,2,1,0,0,0,0,Bharat Gas Auto Debit Bharat Gas,32,6.643711605095755,Medium
TXN000033,2018-01-12,1900-01-01 09:36:28,Employer Salary Credit,NEFT Salary Credit,46314.09,INR,Neft,Credit,Salary,Jaipur,Rajasthan,India,12,2,1,0,0,0,0,Employer Salary Credit NEFT Salary Credit,41,10.743223104901181,Large
TXN000034,2018-01-12,1900-01-01 18:56:24,BPCL,UPI/Paytm/BPCL,2959.23,INR,Upi,Debit,Fuel,Bengaluru,Karnataka,India,12,2,1,0,0,0,0,BPCL UPI/Paytm/BPCL,19,7.99302224700211,Large
TXN000035,2018-01-13,1900-01-01 06:30:17,Municipal Water Department,Auto Debit Municipal Water Department,214.83,INR,Auto Debit,Debit,Bills,Hyderabad,Telangana,India,13,2,1,1,0,0,0,Municipal Water Department Auto Debit Municipal Water Department,64,5.374491060770879,Small
TXN000036,2018-01-13,1900-01-01 08:04:52,Chaayos,POS Purchase Chaayos,138.51,INR,Credit Card,Debit,Food,Nagpur,Maharashtra,India,13,2,1,1,0,0,0,Chaayos POS Purchase Chaayos,28,4.938136283280016,Small
TXN000037,2018-01-13,1900-01-01 21:20:04,EatClub,UPI/Paytm/EatClub,320.8,INR,Upi,Debit,Food,Hyderabad,Telangana,India,13,2,1,1,0,0,0,EatClub UPI/Paytm/EatClub,25,5.773930234558283,Small
TXN000038,2018-01-14,1900-01-01 06:42:04,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,4362.49,INR,Auto Debit,Debit,Bills,Surat,Gujarat,India,14,2,1,1,0,0,0,Credit Card Bill Payment Auto Debit Credit Card Bill Payment,60,8.381027474862456,Large
TXN000039,2018-01-15,1900-01-01 10:59:29,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,14256.14,INR,Auto Debit,Debit,Bills,Bengaluru,Karnataka,India,15,3,1,0,0,0,0,Credit Card Bill Payment Auto Debit Credit Card Bill Payment,60,9.56501311284342,Large
TXN000040,2018-01-16,1900-01-01 16:30:30,Blinkit,UPI Collect Blinkit,1365.12,INR,Upi,Debit,Groceries,Bengaluru,Karnataka,India,16,3,1,0,0,0,0,Blinkit UPI Collect Blinkit,27,7.21972988400295,Medium
TXN000041,2018-01-17,1900-01-01 06:55:28,BSNL,Auto Debit BSNL,630.2,INR,Auto Debit,Debit,Bills,Lucknow,Uttar Pradesh,India,17,3,1,0,0,0,0,BSNL Auto Debit BSNL,20,6.447622769531664,Small
TXN000042,2018-01-17,1900-01-01 07:58:33,Bharat Gas,UPI/DR/858662013185/Bharat Gas,740.72,INR,Upi,Debit,Bills,Nagpur,Maharashtra,India,17,3,1,0,0,0,0,Bharat Gas UPI/DR/858662013185/Bharat Gas,41,6.608971813459182,Medium
TXN000043,2018-01-17,1900-01-01 10:51:30,Spotify,Auto Debit Spotify,152.69,INR,Auto Debit,Debit,Subscription,Nagpur,Maharashtra,India,17,3,1,0,0,0,0,Spotify Auto Debit Spotify,26,5.034937586619221,Small
TXN000044,2018-01-18,1900-01-01 11:15:31,Bharat Gas,Auto Debit Bharat Gas,719.03,INR,Auto Debit,Debit,Bills,Bengaluru,Karnataka,India,18,3,1,0,0,0,0,Bharat Gas Auto Debit Bharat Gas,32,6.5792928778087365,Medium
TXN000045,2018-01-19,1900-01-01 09:04:53,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,4425.22,INR,Auto Debit,Debit,Bills,Bengaluru,Karnataka,India,19,3,1,0,0,0,0,Credit Card Bill Payment Auto Debit Credit Card Bill Payment,60,8.395301225656745,Large
TXN000046,2018-01-19,1900-01-01 09:16:21,Employer Salary Credit,NEFT Salary Credit,43239.03,INR,Neft,Credit,Salary,Jaipur,Rajasthan,India,19,3,1,0,0,0,0,Employer Salary Credit NEFT Salary Credit,41,10.67452196555494,Large
TXN000047,2018-01-19,1900-01-01 09:51:41,Airtel,Auto Debit Airtel,486.59,INR,Auto Debit,Debit,Bills,Bengaluru,Karnataka,India,19,3,1,0,0,0,0,Airtel Auto Debit Airtel,24,6.189474888783194,Small
TXN000048,2018-01-20,1900-01-01 06:07:32,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,15776.17,INR,Auto Debit,Debit,Bills,Mumbai,Maharashtra,India,20,3,1,1,0,0,0,Credit Card Bill Payment Auto Debit Credit Card Bill Payment,60,9.66631923737846,Large
TXN000049,2018-01-20,1900-01-01 06:49:51,House Rent Payment,IMPS Transfer House Rent Payment,46734.63,INR,Imps,Debit,Rent,Lucknow,Uttar Pradesh,India,20,3,1,1,0,0,0,House Rent Payment IMPS Transfer House Rent Payment,51,10.752262107786873,Large
TXN000050,2018-01-20,1900-01-01 09:42:59,Airtel,UPI Collect Airtel,517.81,INR,Upi,Debit,Bills,Jaipur,Rajasthan,India,20,3,1,1,0,0,0,Airtel UPI Collect Airtel,25,6.251537727507102,Small
TXN000051,2018-01-20,1900-01-01 10:38:32,Spotify,Auto Debit Spotify,162.04,INR,Auto Debit,Debit,Subscription,Delhi,Delhi,India,20,3,1,1,0,0,0,Spotify Auto Debit Spotify,26,5.093995569474415,Small
TXN000052,2018-01-20,1900-01-01 13:28:51,Ace Hardware India,Debit Card POS Ace Hardware India,520.99,INR,Debit Card,Debit,Miscellaneous,Hyderabad,Telangana,India,20,3,1,1,0,0,0,Ace Hardware India Debit Card POS Ace Hardware India,52,6.257648430611017,Small
TXN000053,2018-01-21,1900-01-01 07:02:52,HP Gas,UPI Payment HP Gas,716.67,INR,Upi,Debit,Bills,Surat,Gujarat,India,21,3,1,1,0,0,0,HP Gas UPI Payment HP Gas,25,6.576009853367306,Medium
TXN000054,2018-01-21,1900-01-01 09:53:42,Home Depot India,POS Purchase Home Depot India,506.48,INR,Debit Card,Debit,Miscellaneous,Delhi,Delhi,India,21,3,1,1,0,0,0,Home Depot India POS Purchase Home Depot India,46,6.229457301272397,Small
TXN000055,2018-01-21,1900-01-01 13:05:51,Local Hardware Store,UPI Payment Local Hardware Store,530.22,INR,Upi,Debit,Miscellaneous,Bengaluru,Karnataka,India,21,3,1,1,0,0,0,Local Hardware Store UPI Payment Local Hardware Store,53,6.2751762480558675,Small
TXN000056,2018-01-22,1900-01-01 12:17:22,Domino's India,UPI/DR/900595246665/Domino's India,327.31,INR,Upi,Debit,Food,Surat,Gujarat,India,22,4,1,0,0,0,0,Domino's India UPI/DR/900595246665/Domino's India,49,5.793958283988824,Small
TXN000057,2018-01-22,1900-01-01 14:25:09,Burger King,Debit Card POS Burger King,675.94,INR,Debit Card,Debit,Food,Ahmedabad,Gujarat,India,22,4,1,0,0,0,0,Burger King Debit Card POS Burger King,38,6.5175826426922665,Medium
TXN000058,2018-01-22,1900-01-01 14:50:07,Burger King,UPI/Paytm/Burger King,339.7,INR,Upi,Debit,Food,Bengaluru,Karnataka,India,22,4,1,0,0,0,0,Burger King UPI/Paytm/Burger King,33,5.831002324666921,Small
TXN000059,2018-01-23,1900-01-01 08:24:21,Cafe Coffee Day,UPI Collect Cafe Coffee Day,624.65,INR,Upi,Debit,Food,Bengaluru,Karnataka,India,23,4,1,0,0,0,0,Cafe Coffee Day UPI Collect Cafe Coffee Day,43,6.4387911093110635,Small
TXN000060,2018-01-23,1900-01-01 13:07:10,EatClub,UPI Collect EatClub,324.49,INR,Upi,Debit,Food,Bengaluru,Karnataka,India,23,4,1,0,0,0,0,EatClub UPI Collect EatClub,27,5.785331739210489,Small
TXN000061,2018-01-23,1900-01-01 22:56:56,Cafe Coffee Day,POS Purchase Cafe Coffee Day,649.89,INR,Credit Card,Debit,Food,Bengaluru,Karnataka,India,23,4,1,0,0,0,0,Cafe Coffee Day POS Purchase Cafe Coffee Day,44,6.47834065711726,Small
TXN000062,2018-01-24,1900-01-01 08:57:29,Airtel,Auto Debit Airtel,590.54,INR,Auto Debit,Debit,Bills,Bengaluru,Karnataka,India,24,4,1,0,0,0,0,Airtel Auto Debit Airtel,24,6.382729305815005,Small
TXN000063,2018-01-24,1900-01-01 14:47:16,Blinkit,UPI Payment Blinkit,1295.04,INR,Upi,Debit,Groceries,Bengaluru,Karnataka,India,24,4,1,0,0,0,0,Blinkit UPI Payment Blinkit,27,7.167068740633462,Medium
TXN000064,2018-01-24,1900-01-01 21:14:12,BigBasket,Debit Card POS BigBasket,1285.81,INR,Debit Card,Debit,Groceries,Mumbai,Maharashtra,India,24,4,1,0,0,0,0,BigBasket Debit Card POS BigBasket,34,7.159921566550094,Medium
TXN000065,2018-01-25,1900-01-01 11:30:56,Ace Hardware India,POS Purchase Ace Hardware India,525.95,INR,Credit Card,Debit,Miscellaneous,Kochi,Kerala,India,25,4,1,0,0,1,0,Ace Hardware India POS Purchase Ace Hardware India,50,6.267105667379946,Small
TXN000066,2018-01-26,1900-01-01 06:47:59,Adani Electricity,Electricity Bill Adani Electricity,5504.99,INR,Auto Debit,Debit,Bills,Indore,Madhya Pradesh,India,26,4,1,0,0,1,0,Adani Electricity Electricity Bill Adani Electricity,52,8.613591869500395,Large
TXN000067,2018-01-26,1900-01-01 20:06:56,Amazon Prime,POS Purchase Amazon Prime,313.18,INR,Debit Card,Debit,Entertainment,Kolkata,West Bengal,India,26,4,1,0,0,1,0,Amazon Prime POS Purchase Amazon Prime,38,5.749966070071793,Small
TXN000068,2018-01-27,1900-01-01 14:55:32,Amazon India,UPI Collect Amazon India,1538.01,INR,Upi,Debit,Shopping,Bengaluru,Karnataka,India,27,4,1,1,0,1,0,Amazon India UPI Collect Amazon India,37,7.338894631543565,Medium
TXN000069,2018-01-28,1900-01-01 20:55:43,Indian Oil,UPI Payment Indian Oil,2846.64,INR,Upi,Debit,Fuel,Mumbai,Maharashtra,India,28,4,1,1,0,1,0,Indian Oil UPI Payment Indian Oil,33,7.954245860047763,Large
TXN000070,2018-01-28,1900-01-01 21:05:10,Faasos,UPI Payment Faasos,383.34,INR,Upi,Debit,Food,Bengaluru,Karnataka,India,28,4,1,1,0,1,0,Faasos UPI Payment Faasos,25,5.951527577504281,Small
TXN000071,2018-01-29,1900-01-01 08:46:28,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,4438.24,INR,Auto Debit,Debit,Bills,Bengaluru,Karnataka,India,29,5,1,0,0,1,0,Credit Card Bill Payment Auto Debit Credit Card Bill Payment,60,8.398238469603642,Large
TXN000072,2018-01-29,1900-01-01 10:26:52,BSNL,UPI/Paytm/BSNL,646.11,INR,Upi,Debit,Bills,Bengaluru,Karnataka,India,29,5,1,0,0,1,0,BSNL UPI/Paytm/BSNL,19,6.472516295505861,Small
TXN000073,2018-01-29,1900-01-01 12:13:22,Flipkart,UPI/Paytm/Flipkart,495.96,INR,Upi,Debit,Shopping,Jaipur,Rajasthan,India,29,5,1,0,0,1,0,Flipkart UPI/Paytm/Flipkart,27,6.208509539960322,Small
TXN000074,2018-01-29,1900-01-01 12:27:10,Amazon India,POS Purchase Amazon India,1522.08,INR,Credit Card,Debit,Shopping,Surat,Gujarat,India,29,5,1,0,0,1,0,Amazon India POS Purchase Amazon India,38,7.3284898794210696,Medium
TXN000075,2018-01-29,1900-01-01 12:29:14,McDonald's India,UPI/DR/349814531370/McDonald's India,338.88,INR,Upi,Debit,Food,Indore,Madhya Pradesh,India,29,5,1,0,0,1,0,McDonald's India UPI/DR/349814531370/McDonald's India,53,5.82859261413534,Small
TXN000076,2018-01-29,1900-01-01 12:52:27,Faasos,UPI Collect Faasos,408.98,INR,Upi,Debit,Food,Nagpur,Maharashtra,India,29,5,1,0,0,1,0,Faasos UPI Collect Faasos,25,6.016108378020742,Small
TXN000077,2018-01-29,1900-01-01 13:53:28,Domino's India,POS Purchase Domino's India,674.01,INR,Credit Card,Debit,Food,Noida,Uttar Pradesh,India,29,5,1,0,0,1,0,Domino's India POS Purchase Domino's India,42,6.514727505577606,Medium
TXN000078,2018-01-29,1900-01-01 17:53:00,Local Hardware Store,UPI Payment Local Hardware Store,504.17,INR,Upi,Debit,Miscellaneous,Nagpur,Maharashtra,India,29,5,1,0,0,1,0,Local Hardware Store UPI Payment Local Hardware Store,53,6.224895006290327,Small
TXN000079,2018-01-29,1900-01-01 19:46:40,Myntra,UPI/Paytm/Myntra,1327.84,INR,Upi,Debit,Shopping,Surat,Gujarat,India,29,5,1,0,0,1,0,Myntra UPI/Paytm/Myntra,23,7.1920616601940015,Medium
TXN000080,2018-01-29,1900-01-01 22:04:28,Amazon Prime,UPI Collect Amazon Prime,297.72,INR,Upi,Debit,Entertainment,Bengaluru,Karnataka,India,29,5,1,0,0,1,0,Amazon Prime UPI Collect Amazon Prime,37,5.699506679793412,Small
TXN000081,2018-01-30,1900-01-01 14:40:19,Zomato,UPI/Paytm/Zomato,645.12,INR,Upi,Debit,Food,Delhi,Delhi,India,30,5,1,0,0,1,0,Zomato UPI/Paytm/Zomato,23,6.470985245045557,Small
TXN000082,2018-01-31,1900-01-01 08:30:44,Credit Card Bill Payment,Net Banking Payment Credit Card Bill Payment,2794.01,INR,Net Banking,Debit,Bills,Bengaluru,Karnataka,India,31,5,1,0,1,1,0,Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,69,7.9355909634003305,Large
TXN000083,2018-01-31,1900-01-01 09:46:10,Ace Hardware India,UPI/Paytm/Ace Hardware India,479.36,INR,Upi,Debit,Miscellaneous,Kochi,Kerala,India,31,5,1,0,1,1,0,Ace Hardware India UPI/Paytm/Ace Hardware India,47,6.174535822792483,Small
TXN000084,2018-02-01,1900-01-01 08:41:12,Adani Electricity,Electricity Bill Adani Electricity,5361.8,INR,Auto Debit,Debit,Bills,Indore,Madhya Pradesh,India,1,5,2,0,0,1,0,Adani Electricity Electricity Bill Adani Electricity,52,8.587241505727405,Large
TXN000085,2018-02-01,1900-01-01 08:48:21,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,1944.21,INR,Auto Debit,Debit,Bills,Bengaluru,Karnataka,India,1,5,2,0,0,1,0,Credit Card Bill Payment Auto Debit Credit Card Bill Payment,60,7.573125219375968,Medium
TXN000086,2018-02-01,1900-01-01 09:34:19,BigBasket,Debit Card POS BigBasket,895.88,INR,Debit Card,Debit,Groceries,Pune,Maharashtra,India,1,5,2,0,0,1,0,BigBasket Debit Card POS BigBasket,34,6.798922073845338,Medium
TXN000087,2018-02-01,1900-01-01 10:09:26,Jio,Auto Debit Jio,647.96,INR,Auto Debit,Debit,Bills,Kolkata,West Bengal,India,1,5,2,0,0,1,0,Jio Auto Debit Jio,18,6.4753710815227095,Small
TXN000088,2018-02-02,1900-01-01 00:33:41,Employer Salary Credit,NEFT Salary Credit,46027.55,INR,Neft,Credit,Salary,Ahmedabad,Gujarat,India,2,5,2,0,0,1,0,Employer Salary Credit NEFT Salary Credit,41,10.737017135120242,Large
TXN000089,2018-02-02,1900-01-01 08:47:36,Adani Electricity,Electricity Bill Adani Electricity,4954.67,INR,Auto Debit,Debit,Bills,Chennai,Tamil Nadu,India,2,5,2,0,0,1,0,Adani Electricity Electricity Bill Adani Electricity,52,8.508287654575673,Large
TXN000090,2018-02-02,1900-01-01 09:00:30,Swiggy,POS Purchase Swiggy,213.06,INR,Debit Card,Debit,Food,Delhi,Delhi,India,2,5,2,0,0,1,0,Swiggy POS Purchase Swiggy,26,5.366256349556229,Small
TXN000091,2018-02-02,1900-01-01 10:09:59,Jio,Net Banking Payment Jio,626.7,INR,Net Banking,Debit,Bills,Kochi,Kerala,India,2,5,2,0,0,1,0,Jio Net Banking Payment Jio,27,6.442062345323486,Small
TXN000092,2018-02-02,1900-01-01 11:26:28,Credit Card Bill Payment,Net Banking Payment Credit Card Bill Payment,1740.69,INR,Net Banking,Debit,Bills,Ahmedabad,Gujarat,India,2,5,2,0,0,1,0,Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,69,7.462611185204348,Medium
TXN000093,2018-02-02,1900-01-01 14:14:07,Barbeque Nation,POS Purchase Barbeque Nation,205.29,INR,Credit Card,Debit,Food,Chennai,Tamil Nadu,India,2,5,2,0,0,1,0,Barbeque Nation POS Purchase Barbeque Nation,44,5.329282945804916,Small
TXN000094,2018-02-02,1900-01-01 21:17:43,Starbucks India,UPI/DR/662544181990/Starbucks India,169.79,INR,Upi,Debit,Food,Bengaluru,Karnataka,India,2,5,2,0,0,1,0,Starbucks India UPI/DR/662544181990/Starbucks India,51,5.1404347316311005,Small
TXN000095,2018-02-03,1900-01-01 07:21:12,House Rent Payment,IMPS Transfer House Rent Payment,46992.92,INR,Imps,Debit,Rent,Kochi,Kerala,India,3,5,2,1,0,0,0,House Rent Payment IMPS Transfer House Rent Payment,51,10.75777351062212,Large
TXN000096,2018-02-03,1900-01-01 12:47:33,Starbucks India,UPI Collect Starbucks India,168.54,INR,Upi,Debit,Food,Mumbai,Maharashtra,India,3,5,2,1,0,0,0,Starbucks India UPI Collect Starbucks India,43,5.13308888718026,Small
TXN000097,2018-02-03,1900-01-01 14:15:46,Local Wine & Beer Shop,UPI/Paytm/Local Wine & Beer Shop,940.6,INR,Upi,Debit,Food,Lucknow,Uttar Pradesh,India,3,5,2,1,0,0,0,Local Wine & Beer Shop UPI/Paytm/Local Wine & Beer Shop,55,6.847580555946067,Medium
TXN000098,2018-02-03,1900-01-01 15:59:59,Nature's Basket,UPI Payment Nature's Basket,950.12,INR,Upi,Debit,Groceries,Mumbai,Maharashtra,India,3,5,2,1,0,0,0,Nature's Basket UPI Payment Nature's Basket,43,6.85764023755029,Medium
TXN000099,2018-02-04,1900-01-01 06:53:42,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,5742.74,INR,Auto Debit,Debit,Bills,Hyderabad,Telangana,India,4,5,2,1,0,0,0,Credit Card Bill Payment Auto Debit Credit Card Bill Payment,60,8.65586584507963,Large
TXN000100,2018-02-04,1900-01-01 07:45:00,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,1804.15,INR,Auto Debit,Debit,Bills,Delhi,Delhi,India,4,5,2,1,0,0,0,Credit Card Bill Payment Auto Debit Credit Card Bill Payment,60,7.498398969807235,Medium
TXN000101,2018-02-04,1900-01-01 08:05:17,Netflix,UPI/DR/391923884043/Netflix,311.82,INR,Upi,Debit,Entertainment,Indore,Madhya Pradesh,India,4,5,2,1,0,0,0,Netflix UPI/DR/391923884043/Netflix,35,5.745627945246095,Small
TXN000102,2018-02-04,1900-01-01 12:09:09,Reliance Fresh,UPI/DR/976745072963/Reliance Fresh,1148.99,INR,Upi,Debit,Groceries,Jaipur,Rajasthan,India,4,5,2,1,0,0,0,Reliance Fresh UPI/DR/976745072963/Reliance Fresh,49,7.047508525667315,Medium
TXN000103,2018-02-05,1900-01-01 19:16:41,Starbucks India,UPI Collect Starbucks India,165.66,INR,Upi,Debit,Food,Kochi,Kerala,India,5,6,2,0,0,0,0,Starbucks India UPI Collect Starbucks India,43,5.115955808954061,Small
