transaction_text,amount,amount_log,amount_bucket,payment_method,transaction_type,category
Nature's Basket Debit Card POS Nature's Basket,522.85,6.261205383798974,Small,Debit Card,Debit,Groceries
BigBasket UPI/DR/420705911656/BigBasket,793.5,6.677712985976771,Medium,Upi,Debit,Groceries
DMart Debit Card POS DMart,1029.01,6.937323789914416,Medium,Debit Card,Debit,Groceries
Employer Salary Credit NEFT Salary Credit,44709.1,10.707954705861624,Large,Neft,Credit,Salary
Domino's India UPI Payment Domino's India,445.18,6.100722458044504,Small,Upi,Debit,Food
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,5508.79,8.614281788897973,Large,Net Banking,Debit,Bills
DMart POS Purchase DMart,834.36,6.727862769662242,Medium,Credit Card,Debit,Groceries
BSNL Net Banking Payment BSNL,1314.17,7.18172121382278,Medium,Net Banking,Debit,Bills
DMart UPI/DR/253989877226/DMart,481.0,6.1779441140506,Small,Upi,Debit,Groceries
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,5928.55,8.687703603783497,Large,Auto Debit,Debit,Bills
Burger King UPI Payment Burger King,449.62,6.1106244122772395,Small,Upi,Debit,Food
Zepto UPI/Paytm/Zepto,748.9,6.6199398643073435,Medium,Upi,Debit,Groceries
McDonald's India UPI Payment McDonald's India,451.84,6.115538862209909,Small,Upi,Debit,Food
Cafe Coffee Day Debit Card POS Cafe Coffee Day,425.27,6.055072948318093,Small,Debit Card,Debit,Food
Municipal Water Department Auto Debit Municipal Water Department,223.94,5.415833699975876,Small,Auto Debit,Debit,Bills
Spotify Auto Debit Spotify,167.2,5.125153747538848,Small,Auto Debit,Debit,Subscription
Swiggy UPI Collect Swiggy,323.83,5.783301968554202,Small,Upi,Debit,Food
Third Wave Coffee UPI/Paytm/Third Wave Coffee,148.04,5.004214726293333,Small,Upi,Debit,Food
Blinkit UPI Payment Blinkit,588.34,6.379003266682691,Small,Upi,Debit,Groceries
Third Wave Coffee UPI Payment Third Wave Coffee,150.52,5.020717629437768,Small,Upi,Debit,Food
House Rent Payment IMPS Transfer House Rent Payment,44629.34,10.706169175788338,Large,Imps,Debit,Rent
Municipal Water Department UPI/DR/687816574852/Municipal Water Department,220.77,5.401640808779938,Small,Upi,Debit,Bills
Social UPI/Paytm/Social,1291.75,7.164527011276331,Medium,Upi,Debit,Food
Domino's India UPI/DR/842407337491/Domino's India,461.61,6.136884366511383,Small,Upi,Debit,Food
Cafe Coffee Day Debit Card POS Cafe Coffee Day,262.5,5.574053367981417,Small,Debit Card,Debit,Food
Starbucks India UPI/DR/148911994093/Starbucks India,151.45,5.026836673434263,Small,Upi,Debit,Food
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,5483.01,8.609591864167049,Large,Net Banking,Debit,Bills
Third Wave Coffee UPI/Paytm/Third Wave Coffee,143.33,4.972102344379472,Small,Upi,Debit,Food
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,4628.44,8.440191189441226,Large,Auto Debit,Debit,Bills
BigBasket UPI Collect BigBasket,582.43,6.368924478806068,Small,Upi,Debit,Groceries
Third Wave Coffee UPI Collect Third Wave Coffee,163.66,5.10388274187028,Small,Upi,Debit,Food
Indian Oil POS Purchase Indian Oil,3283.62,8.097006246906417,Large,Debit Card,Debit,Fuel
Zepto POS Purchase Zepto,1040.75,6.948657270302562,Medium,Debit Card,Debit,Groceries
Barbeque Nation UPI/Paytm/Barbeque Nation,453.51,6.119219915575709,Small,Upi,Debit,Food
Nature's Basket UPI/DR/974534906192/Nature's Basket,708.95,6.565194545020367,Medium,Upi,Debit,Groceries
Ajio POS Purchase Ajio,1507.48,7.318857800307712,Medium,Debit Card,Debit,Shopping
Tata Power Electricity Bill Tata Power,5532.28,8.618536047075857,Large,Auto Debit,Debit,Bills
BPCL POS Purchase BPCL,3312.7,8.105820668843606,Large,Debit Card,Debit,Fuel
BigBasket POS Purchase BigBasket,533.4,6.281144622222436,Small,Credit Card,Debit,Groceries
Zepto UPI Collect Zepto,665.45,6.501965118050027,Medium,Upi,Debit,Groceries
Zomato UPI Payment Zomato,185.72,5.229610168538246,Small,Upi,Debit,Food
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,4608.84,8.435948428230036,Large,Auto Debit,Debit,Bills
Municipal Water Department UPI Payment Municipal Water Department,218.82,5.3928090296407545,Small,Upi,Debit,Bills
BSNL UPI/Paytm/BSNL,1340.46,7.201513852052515,Medium,Upi,Debit,Bills
McDonald's India POS Purchase McDonald's India,330.51,5.803657975083454,Small,Debit Card,Debit,Food
Burger King UPI Collect Burger King,288.3,5.6674642119820895,Small,Upi,Debit,Food
DMart UPI Collect DMart,833.29,6.726581063740067,Medium,Upi,Debit,Groceries
Nature's Basket UPI/Paytm/Nature's Basket,589.21,6.380478405774315,Small,Upi,Debit,Groceries
Spotify Auto Debit Spotify,167.16,5.124915907128641,Small,Auto Debit,Debit,Subscription
Burger King UPI Payment Burger King,201.62,5.311332303625531,Small,Upi,Debit,Food
Barbeque Nation UPI Collect Barbeque Nation,405.17,6.0067717911751295,Small,Upi,Debit,Food
McDonald's India POS Purchase McDonald's India,457.13,6.1271529866332,Small,Debit Card,Debit,Food
DMart UPI Collect DMart,1050.66,6.958125147142896,Medium,Upi,Debit,Groceries
Meesho UPI/DR/873634608133/Meesho,598.72,6.396462879626703,Small,Upi,Debit,Shopping
Municipal Water Department Auto Debit Municipal Water Department,226.65,5.427809361780791,Small,Auto Debit,Debit,Bills
Faasos UPI Collect Faasos,257.67,5.555553118030016,Small,Upi,Debit,Food
EatClub POS Purchase EatClub,444.09,6.098276508908046,Small,Debit Card,Debit,Food
Employer Salary Credit NEFT Salary Credit,42912.35,10.666938245318102,Large,Neft,Credit,Salary
Airtel Auto Debit Airtel,608.7,6.4129670329137705,Small,Auto Debit,Debit,Bills
Airtel Auto Debit Airtel,648.07,6.475540569131259,Small,Auto Debit,Debit,Bills
House Rent Payment IMPS Transfer House Rent Payment,47664.75,10.77196838961979,Large,Imps,Debit,Rent
Faasos UPI Collect Faasos,313.79,5.751905749837929,Small,Upi,Debit,Food
Indane Gas Auto Debit Indane Gas,854.6,6.751802977208251,Medium,Auto Debit,Debit,Bills
Adani Electricity UPI/Paytm/Adani Electricity,5313.58,8.578209266016797,Large,Upi,Debit,Bills
DMart Debit Card POS DMart,443.8,6.097624742936373,Small,Debit Card,Debit,Groceries
Burger King POS Purchase Burger King,186.78,5.2352710648304015,Small,Debit Card,Debit,Food
Local Wine & Beer Shop UPI/Paytm/Local Wine & Beer Shop,1255.5,7.136085356983647,Medium,Upi,Debit,Food
Barbeque Nation UPI/Paytm/Barbeque Nation,435.28,6.078284239060542,Small,Upi,Debit,Food
Chaayos UPI Collect Chaayos,157.6,5.066385309200747,Small,Upi,Debit,Food
Nykaa POS Purchase Nykaa,1476.96,7.298418037542462,Medium,Credit Card,Debit,Shopping
Zepto UPI Collect Zepto,580.86,6.366229868966508,Small,Upi,Debit,Groceries
BookMyShow UPI/DR/634380802295/BookMyShow,321.6,5.776413165691109,Small,Upi,Debit,Entertainment
Zepto POS Purchase Zepto,756.51,6.6300367386165195,Medium,Credit Card,Debit,Groceries
Domino's India POS Purchase Domino's India,310.46,5.741270919067192,Small,Credit Card,Debit,Food
Ajio POS Purchase Ajio,629.02,6.445751564913429,Small,Credit Card,Debit,Shopping
Flipkart UPI/Paytm/Flipkart,551.82,6.315032451249072,Small,Upi,Debit,Shopping
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,4499.66,8.411979331670574,Large,Net Banking,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,4345.66,8.377163013069026,Large,Auto Debit,Debit,Bills
DMart UPI Payment DMart,808.0,6.695798917058491,Medium,Upi,Debit,Groceries
Nature's Basket POS Purchase Nature's Basket,820.12,6.710669261987217,Medium,Credit Card,Debit,Groceries
BigBasket UPI Payment BigBasket,669.71,6.508336852790277,Medium,Upi,Debit,Groceries
Cafe Coffee Day POS Purchase Cafe Coffee Day,275.29,5.621451038730069,Small,Credit Card,Debit,Food
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,4444.05,8.399546396478666,Large,Auto Debit,Debit,Bills
Cafe Coffee Day POS Purchase Cafe Coffee Day,163.0,5.099866427824199,Small,Credit Card,Debit,Food
Domino's India POS Purchase Domino's India,464.71,6.143563122809109,Small,Debit Card,Debit,Food
Myntra POS Purchase Myntra,607.3,6.41066818132666,Small,Credit Card,Debit,Shopping
Nature's Basket POS Purchase Nature's Basket,588.04,6.3784940930604614,Small,Debit Card,Debit,Groceries
Ajio Debit Card POS Ajio,553.98,6.318932077061085,Small,Debit Card,Debit,Shopping
Starbucks India UPI/Paytm/Starbucks India,137.57,4.931375613110624,Small,Upi,Debit,Food
Reliance Fresh UPI/Paytm/Reliance Fresh,683.22,6.528279503335223,Medium,Upi,Debit,Groceries
Amazon India POS Purchase Amazon India,1458.35,7.285746410089546,Medium,Credit Card,Debit,Shopping
BPCL Debit Card POS BPCL,2807.98,7.940576707107376,Large,Debit Card,Debit,Fuel
Employer Salary Credit NEFT Salary Credit,45807.43,10.732223414300474,Large,Neft,Credit,Salary
Nature's Basket UPI/DR/161970160008/Nature's Basket,616.73,6.426051468788165,Small,Upi,Debit,Groceries
HPCL UPI Payment HPCL,2939.47,7.986324711501426,Large,Upi,Debit,Fuel
Municipal Water Department Auto Debit Municipal Water Department,208.62,5.345296367742031,Small,Auto Debit,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,4218.9,8.347566710066822,Large,Auto Debit,Debit,Bills
DMart POS Purchase DMart,488.23,6.192832726544351,Small,Debit Card,Debit,Groceries
DMart UPI/DR/877322099707/DMart,870.88,6.770651799760312,Medium,Upi,Debit,Groceries
Netflix POS Purchase Netflix,309.77,5.73905308873812,Small,Credit Card,Debit,Entertainment
BPCL ATM Cash Withdrawal,3461.38,8.149711492855314,Large,Cash Withdrawal,Debit,Fuel
Chaayos UPI Collect Chaayos,232.12,5.4515533424468945,Small,Upi,Debit,Food
HP Gas Net Banking Payment HP Gas,387.5,5.962293169807702,Small,Net Banking,Debit,Bills
Nature's Basket Debit Card POS Nature's Basket,2125.78,7.662364377786833,Medium,Debit Card,Debit,Groceries
Faasos UPI Payment Faasos,314.79,5.75507743570903,Small,Upi,Debit,Food
DMart POS Purchase DMart,800.73,6.686771892830254,Medium,Debit Card,Debit,Groceries
BigBasket UPI Payment BigBasket,2128.13,7.663468724560535,Medium,Upi,Debit,Groceries
Lakme Salon UPI Payment Lakme Salon,1494.81,7.310423145120967,Medium,Upi,Debit,Miscellaneous
Myntra Debit Card POS Myntra,1268.58,7.146441416095051,Medium,Debit Card,Debit,Shopping
Cafe Coffee Day UPI/Paytm/Cafe Coffee Day,482.11,6.180244370994232,Small,Upi,Debit,Food
