merchant,amount,category
Credit Card Bill Payment,4499.66,Bills
Credit Card Bill Payment,4345.66,Bills
DMart,808.0,Groceries
Nature's Basket,820.12,Groceries
BigBasket,669.71,Groceries
Cafe Coffee Day,275.29,Food
Credit Card Bill Payment,4444.05,Bills
Cafe Coffee Day,163.0,Food
Domino's India,464.71,Food
Myntra,607.3,Shopping
Nature's Basket,588.04,Groceries
Ajio,553.98,Shopping
Starbucks India,137.57,Food
Reliance Fresh,683.22,Groceries
Amazon India,1458.35,Shopping
BPCL,2807.98,Fuel
Employer Salary Credit,45807.43,Salary
Nature's Basket,616.73,Groceries
HPCL,2939.47,Fuel
Municipal Water Department,208.62,Bills
Credit Card Bill Payment,4218.9,Bills
DMart,488.23,Groceries
DMart,870.88,Groceries
Netflix,309.77,Entertainment
BPCL,3461.38,Fuel
Chaayos,232.12,Food
HP Gas,387.5,Bills
Nature's Basket,2125.78,Groceries
Faasos,314.79,Food
DMart,800.73,Groceries
BigBasket,2128.13,Groceries
Lakme Salon,1494.81,Miscellaneous
Myntra,1268.58,Shopping
Cafe Coffee Day,482.11,Food
Spotify,150.71,Subscription
Local Hardware Store,655.61,Miscellaneous
BookMyShow,324.97,Entertainment
Credit Card Bill Payment,8644.67,Bills
Ace Hardware India,559.09,Miscellaneous
Indian Oil,322.61,Fuel
BEST,5223.03,Bills
Netflix,328.02,Entertainment
Ace Hardware India,503.41,Miscellaneous
Barbeque Nation,328.13,Food
Credit Card Bill Payment,5456.25,Bills
Municipal Water Department,210.1,Bills
BookMyShow,150.71,Entertainment
Ace Hardware India,477.61,Miscellaneous
Reliance Fresh,1419.61,Groceries
Nature's Basket,834.26,Groceries
Municipal Water Department,214.43,Bills
Local Hardware Store,697.29,Miscellaneous
Indian Oil,3537.81,Fuel
Jio Fiber,1387.75,Bills
Credit Card Bill Payment,5363.4,Bills
BookMyShow,315.35,Entertainment
Zepto,767.31,Groceries
Credit Card Bill Payment,8224.91,Bills
Credit Card Bill Payment,5584.9,Bills
Credit Card Bill Payment,5400.26,Bills
Local Hardware Store,532.32,Miscellaneous
Zomato,463.33,Food
House Rent Payment,44519.57,Rent
Credit Card Bill Payment,6081.22,Bills
Ace Hardware India,559.98,Miscellaneous
Ace Hardware India,481.96,Miscellaneous
Cafe Coffee Day,314.07,Food
DMart,2068.94,Groceries
Employer Salary Credit,43093.36,Salary
BEST,5196.62,Bills
Airtel,1317.46,Bills
DMart,449.87,Groceries
Swiggy,296.67,Food
Indian Oil,342.99,Fuel
Jio,618.89,Bills
Cafe Coffee Day,312.95,Food
Local Hardware Store,647.81,Miscellaneous
Cafe Coffee Day,230.39,Food
Adani Electricity,5418.16,Bills
Zomato,622.16,Food
Nature's Basket,1500.01,Groceries
Local Hardware Store,699.36,Miscellaneous
BookMyShow,160.98,Entertainment
Credit Card Bill Payment,3056.79,Bills
HPCL,3534.48,Fuel
Credit Card Bill Payment,8465.93,Bills
Meesho,567.33,Shopping
Flipkart,1385.11,Shopping
Meesho,579.48,Shopping
Local Hardware Store,517.96,Miscellaneous
Spotify,158.9,Subscription
Domino's India,213.36,Food
Credit Card Bill Payment,6033.8,Bills
Blinkit,442.31,Groceries
Credit Card Bill Payment,5608.83,Bills
DMart,2061.38,Groceries
Local Hardware Store,529.11,Miscellaneous
Credit Card Bill Payment,5757.15,Bills
Indian Oil,349.09,Fuel
Blinkit,489.32,Groceries
McDonald's India,578.25,Food
LIC,8744.79,Insurance
Barbeque Nation,449.3,Food
HPCL,3472.43,Fuel
DMart,1365.94,Groceries
McDonald's India,316.28,Food
Credit Card Bill Payment,5428.52,Bills
Adani Electricity,5164.19,Bills
Municipal Water Department,221.81,Bills
Nature's Basket,473.51,Groceries
Home Depot India,513.3,Miscellaneous
Credit Card Bill Payment,8071.75,Bills
Credit Card Bill Payment,8217.65,Bills
Barbeque Nation,291.12,Food
Credit Card Bill Payment,5678.44,Bills
Domino's India,619.97,Food
Reliance Fresh,448.52,Groceries
BigBasket,838.24,Groceries
Employer Salary Credit,43146.0,Salary
House Rent Payment,45242.49,Rent
LIC,8241.9,Insurance
Nykaa,1407.73,Shopping
McDonald's India,414.3,Food
Credit Card Bill Payment,3005.93,Bills
Credit Card Bill Payment,3320.08,Bills
Credit Card Bill Payment,8301.91,Bills
Reliance Fresh,443.23,Groceries
Burger King,589.38,Food
BSNL,617.81,Bills
Nature's Basket,2120.77,Groceries
Reliance Fresh,477.39,Groceries
Blinkit,811.59,Groceries
BPCL,320.22,Fuel
BPCL,316.82,Fuel
Burger King,608.36,Food
Credit Card Bill Payment,5579.52,Bills
Zomato,318.78,Food
Local Hardware Store,512.5,Miscellaneous
Naturals Salon,1434.99,Miscellaneous
Ace Hardware India,509.27,Miscellaneous
Faasos,755.77,Food
HP Gas,379.5,Bills
House Rent Payment,42982.49,Rent
McDonald's India,318.64,Food
Local Wine & Beer Shop,1814.03,Food
Home Depot India,6894.47,Miscellaneous
Jio,1034.63,Bills
Local Hardware Store,507.2,Miscellaneous
HPCL,2977.68,Fuel
BigBasket,1711.45,Groceries
Faasos,153.63,Food
Zepto,971.0,Groceries
Credit Card Bill Payment,2569.92,Bills
Naturals Salon,1424.33,Miscellaneous
Netflix,157.74,Entertainment
Burger King,147.21,Food
HPCL,3939.03,Fuel
Credit Card Bill Payment,2543.0,Bills
Airtel,985.75,Bills
EatClub,333.23,Food
Amazon Prime,313.35,Entertainment
Municipal Water Department,215.14,Bills
Airtel,1267.07,Bills
HDFC Ergo,8182.16,Insurance
Nature's Basket,983.31,Groceries
BPCL,3169.63,Fuel
Flipkart,601.51,Shopping
Nykaa,3314.7,Shopping
Nykaa,3268.03,Shopping
Domino's India,158.56,Food
ICICI Lombard,8424.07,Insurance
Amazon Prime,558.23,Entertainment
BookMyShow,584.59,Entertainment
Local Wine & Beer Shop,1816.83,Food
Employer Salary Credit,47228.53,Salary
Jio Fiber,1353.35,Bills
Amazon India,389.21,Shopping
HP Gas,377.13,Bills
Spotify,166.69,Subscription
Indian Oil,3592.11,Fuel
EatClub,300.24,Food
BookMyShow,153.52,Entertainment
DMart,1785.69,Groceries
Credit Card Bill Payment,4400.29,Bills
Burger King,287.51,Food
Lakme Salon,1372.12,Miscellaneous
Credit Card Bill Payment,2273.11,Bills
Meesho,381.48,Shopping
Credit Card Bill Payment,2800.57,Bills
Burger King,718.91,Food
Reliance Fresh,1834.44,Groceries
House Rent Payment,47210.31,Rent
Credit Card Bill Payment,4698.91,Bills
DMart,1502.5,Groceries
Amazon India,3613.74,Shopping
Meesho,3530.74,Shopping
Myntra,1054.45,Shopping
Nature's Basket,984.51,Groceries
Meesho,3400.66,Shopping
Amazon Prime,301.09,Entertainment
Home Depot India,7428.3,Miscellaneous
Meesho,582.48,Shopping
Ajio,1486.13,Shopping
Credit Card Bill Payment,2664.18,Bills
House Rent Payment,45677.86,Rent
Credit Card Bill Payment,4800.68,Bills
Credit Card Bill Payment,2790.14,Bills
BSNL,1407.58,Bills
Netflix,155.91,Entertainment
McDonald's India,772.67,Food
Netflix,457.69,Entertainment
HPCL,3822.93,Fuel
EatClub,722.33,Food
Ace Hardware India,6964.98,Miscellaneous
Credit Card Bill Payment,4814.19,Bills
Local Barbershop,1450.9,Miscellaneous
Reliance Fresh,1030.24,Groceries
Municipal Water Department,216.09,Bills
DMart,1196.88,Groceries
Flipkart,1605.07,Shopping
Employer Salary Credit,42733.93,Salary
Airtel,971.65,Bills
Amazon Prime,561.13,Entertainment
Local Hardware Store,6908.66,Miscellaneous
Spotify,155.83,Subscription
The Beer Cafe,1707.52,Food
BEST,4981.77,Bills
Credit Card Bill Payment,2648.74,Bills
BigBasket,1219.07,Groceries
Nature's Basket,2223.97,Groceries
Spotify,150.19,Subscription
BookMyShow,491.08,Entertainment
Nature's Basket,1058.69,Groceries
Swiggy,333.49,Food
Credit Card Bill Payment,4559.95,Bills
BookMyShow,492.03,Entertainment
Burger King,274.02,Food
BEST,5177.4,Bills
HDFC Ergo,8179.32,Insurance
Credit Card Bill Payment,4755.63,Bills
Indane Gas,396.59,Bills
Bharat Gas,383.12,Bills
Nykaa,3526.48,Shopping
Reliance Fresh,1631.56,Groceries
Bajaj Allianz,8261.33,Insurance
Municipal Water Department,224.81,Bills
Faasos,189.4,Food
Reliance Fresh,484.11,Groceries
Municipal Water Department,203.93,Bills
Credit Card Bill Payment,2731.75,Bills
Starbucks India,145.62,Food
Credit Card Bill Payment,2296.35,Bills
BSNL,632.04,Bills
Credit Card Bill Payment,2624.81,Bills
Faasos,304.71,Food
Zomato,667.72,Food
Bharat Gas,423.41,Bills
Burger King,666.41,Food
Nature's Basket,647.43,Groceries
Starbucks India,165.53,Food
Burger King,238.84,Food
BigBasket,820.45,Groceries
BPCL,3749.88,Fuel
Tata Power,5337.38,Bills
Nature's Basket,618.41,Groceries
Credit Card Bill Payment,2327.76,Bills
Nykaa,560.76,Shopping
Blinkit,563.39,Groceries
Indian Oil,3577.34,Fuel
Blinkit,585.83,Groceries
Employer Salary Credit,44660.86,Salary
Credit Card Bill Payment,2388.37,Bills
Credit Card Bill Payment,6584.9,Bills
Nature's Basket,543.81,Groceries
DMart,1368.55,Groceries
Starbucks India,162.56,Food
Domino's India,236.06,Food
Zepto,528.34,Groceries
Amazon Prime,320.11,Entertainment
Swiggy,625.58,Food
BigBasket,546.94,Groceries
House Rent Payment,43665.4,Rent
Credit Card Bill Payment,2595.99,Bills
Meesho,2352.16,Shopping
Reliance Fresh,461.07,Groceries
Zomato,198.84,Food
McDonald's India,244.99,Food
BSNL,1406.8,Bills
McDonald's India,306.28,Food
Reliance Fresh,537.21,Groceries
Credit Card Bill Payment,1474.8,Bills
Airtel,1366.51,Bills
Credit Card Bill Payment,3868.48,Bills
Indian Oil,3607.41,Fuel
Credit Card Bill Payment,1474.52,Bills
Credit Card Bill Payment,2565.26,Bills
Faasos,221.27,Food
BigBasket,516.71,Groceries
DMart,533.71,Groceries
Municipal Water Department,210.18,Bills
Netflix,303.76,Entertainment
Credit Card Bill Payment,6462.93,Bills
Spotify,166.32,Subscription
Lakme Salon,1587.97,Miscellaneous
Municipal Water Department,223.52,Bills
Ajio,2344.12,Shopping
Blinkit,534.44,Groceries
Third Wave Coffee,162.9,Food
Municipal Water Department,213.46,Bills
Cafe Coffee Day,162.54,Food
DMart,1338.18,Groceries
Spotify,166.4,Subscription
Credit Card Bill Payment,6470.5,Bills
Bajaj Allianz,8911.0,Insurance
Airtel,614.82,Bills
Blinkit,824.96,Groceries
Credit Card Bill Payment,3994.65,Bills
BSNL,1315.74,Bills
LIC,8595.67,Insurance
Reliance Fresh,647.02,Groceries
Third Wave Coffee,149.36,Food
Blinkit,515.3,Groceries
Employer Salary Credit,47610.41,Salary
BigBasket,568.49,Groceries
DMart,1307.9,Groceries
House Rent Payment,42719.73,Rent
Ajio,2258.21,Shopping
Credit Card Bill Payment,1449.92,Bills
Credit Card Bill Payment,2447.57,Bills
Spotify,162.49,Subscription
House Rent Payment,43616.28,Rent
Credit Card Bill Payment,1446.77,Bills
McDonald's India,308.19,Food
BPCL,3596.67,Fuel
Cafe Coffee Day,154.33,Food
Credit Card Bill Payment,1541.45,Bills
DMart,681.03,Groceries
Local Barbershop,1501.24,Miscellaneous
Nature's Basket,516.16,Groceries
Nature's Basket,397.38,Groceries
Jio,638.69,Bills
Naturals Salon,1577.39,Miscellaneous
Credit Card Bill Payment,2701.22,Bills
Third Wave Coffee,146.91,Food
Credit Card Bill Payment,1546.73,Bills
Blinkit,464.83,Groceries
Amazon Prime,326.09,Entertainment
Reliance Fresh,658.16,Groceries
Municipal Water Department,217.41,Bills
Credit Card Bill Payment,1480.35,Bills
Indian Oil,3904.33,Fuel
Domino's India,295.94,Food
Credit Card Bill Payment,3750.81,Bills
Credit Card Bill Payment,3576.46,Bills
Myntra,2362.12,Shopping
Credit Card Bill Payment,2420.11,Bills
BigBasket,1247.24,Groceries
HPCL,3336.12,Fuel
Credit Card Bill Payment,1254.23,Bills
Naturals Salon,1520.48,Miscellaneous
Flipkart,6021.86,Shopping
Credit Card Bill Payment,2280.48,Bills
Zepto,1299.0,Groceries
Nature's Basket,1254.27,Groceries
Meesho,577.47,Shopping
Credit Card Bill Payment,1367.71,Bills
Spotify,162.6,Subscription
Credit Card Bill Payment,2388.61,Bills
HPCL,3354.94,Fuel
Credit Card Bill Payment,1295.05,Bills
BookMyShow,149.13,Entertainment
Credit Card Bill Payment,1325.37,Bills
Employer Salary Credit,43599.35,Salary
Bajaj Allianz,8748.91,Insurance
HPCL,3291.7,Fuel
Cafe Coffee Day,446.92,Food
Credit Card Bill Payment,2337.48,Bills
Bharat Gas,395.8,Bills
Myntra,577.49,Shopping
Burger King,434.5,Food
Credit Card Bill Payment,2523.03,Bills
HPCL,3201.0,Fuel
Indane Gas,382.12,Bills
Credit Card Bill Payment,2585.38,Bills
Faasos,426.95,Food
Amazon Prime,316.11,Entertainment
Municipal Water Department,221.04,Bills
Local Wine & Beer Shop,1668.35,Food
HPCL,3285.43,Fuel
Burger King,217.72,Food
Social,526.31,Food
Airtel,1267.1,Bills
Credit Card Bill Payment,2304.24,Bills
Toit Brewpub,484.79,Food
Amazon Prime,706.29,Entertainment
HPCL,3198.51,Fuel
House Rent Payment,42894.11,Rent
Jio Fiber,1350.83,Bills
Credit Card Bill Payment,1276.08,Bills
Nykaa,5852.59,Shopping
Municipal Water Department,215.41,Bills
House Rent Payment,42974.07,Rent
Credit Card Bill Payment,1314.96,Bills
Municipal Water Department,202.25,Bills
Blinkit,526.15,Groceries
Credit Card Bill Payment,1336.39,Bills
Tata Power,5134.2,Bills
Zepto,481.99,Groceries
Faasos,177.37,Food
BSNL,632.02,Bills
Amazon Prime,318.31,Entertainment
Spotify,150.52,Subscription
Burger King,330.62,Food
DMart,530.69,Groceries
Employer Salary Credit,47291.68,Salary
ICICI Lombard,8406.07,Insurance
Airtel,640.68,Bills
Credit Card Bill Payment,1644.51,Bills
Credit Card Bill Payment,1478.69,Bills
Faasos,359.66,Food
BigBasket,1004.08,Groceries
Spotify,160.79,Subscription
DMart,490.12,Groceries
Indane Gas,412.84,Bills
Netflix,713.08,Entertainment
Credit Card Bill Payment,1554.91,Bills
Swiggy,346.75,Food
Bajaj Allianz,8830.08,Insurance
Credit Card Bill Payment,1661.33,Bills
Domino's India,211.12,Food
BEST,5111.45,Bills
Jio,614.23,Bills
Reliance Fresh,465.69,Groceries
Local Wine & Beer Shop,1698.31,Food
House Rent Payment,43485.0,Rent
HPCL,3027.32,Fuel
Netflix,319.96,Entertainment
The Beer Cafe,1804.91,Food
Indian Oil,3270.59,Fuel
Credit Card Bill Payment,1281.97,Bills
BPCL,3373.49,Fuel
Zomato,415.08,Food
Burger King,169.77,Food
EatClub,419.26,Food
Indian Oil,3062.25,Fuel
Credit Card Bill Payment,1368.44,Bills
Local Barbershop,1566.84,Miscellaneous
Airtel,1340.07,Bills
DMart,995.31,Groceries
Ajio,5641.04,Shopping
Local Barbershop,1527.2,Miscellaneous
BookMyShow,311.18,Entertainment
Netflix,665.54,Entertainment
Burger King,163.72,Food
Credit Card Bill Payment,1189.92,Bills
Blinkit,478.22,Groceries
Zomato,449.09,Food
Credit Card Bill Payment,2662.02,Bills
BigBasket,614.88,Groceries
Employer Salary Credit,44682.35,Salary
Adani Electricity,5150.03,Bills
Airtel,630.89,Bills
BSNL,645.23,Bills
Indian Oil,3550.71,Fuel
BPCL,3961.15,Fuel
HP Gas,387.63,Bills
Credit Card Bill Payment,2664.95,Bills
Blinkit,486.47,Groceries
Ajio,593.55,Shopping
Domino's India,447.69,Food
Spotify,152.25,Subscription
Blinkit,604.65,Groceries
Spotify,160.86,Subscription
Netflix,321.81,Entertainment
Airtel,1380.94,Bills
Airtel,1343.81,Bills
Credit Card Bill Payment,1537.78,Bills
Credit Card Bill Payment,1139.35,Bills
Adani Electricity,5237.62,Bills
Meesho,619.83,Shopping
Credit Card Bill Payment,5803.34,Bills
Spotify,151.53,Subscription
HPCL,4080.38,Fuel
BPCL,4008.64,Fuel
Reliance Fresh,500.52,Groceries
House Rent Payment,43897.05,Rent
Amazon India,642.32,Shopping
Flipkart,625.75,Shopping
BPCL,3362.94,Fuel
Credit Card Bill Payment,1204.77,Bills
House Rent Payment,42678.72,Rent
Municipal Water Department,211.64,Bills
Amazon India,2186.98,Shopping
Tata Power,5394.61,Bills
Municipal Water Department,223.79,Bills
Credit Card Bill Payment,1136.72,Bills
Flipkart,605.15,Shopping
Amazon India,586.53,Shopping
Employer Salary Credit,46530.38,Salary
Bajaj Allianz,8319.52,Insurance
Jio Fiber,1404.45,Bills
House Rent Payment,42866.76,Rent
Myntra,2187.79,Shopping
Jio,593.41,Bills
Faasos,205.22,Food
Credit Card Bill Payment,1103.19,Bills
Credit Card Bill Payment,1577.81,Bills
Zomato,461.3,Food
Bharat Gas,401.43,Bills
Credit Card Bill Payment,1524.91,Bills
Indian Oil,3203.68,Fuel
HDFC Ergo,8758.84,Insurance
BPCL,3902.17,Fuel
Indian Oil,3791.73,Fuel
McDonald's India,200.18,Food
Credit Card Bill Payment,2699.98,Bills
Myntra,539.42,Shopping
BookMyShow,319.43,Entertainment
Credit Card Bill Payment,1085.47,Bills
DMart,493.8,Groceries
Nature's Basket,475.41,Groceries
Credit Card Bill Payment,1113.71,Bills
BookMyShow,319.18,Entertainment
Credit Card Bill Payment,1084.31,Bills
Credit Card Bill Payment,5857.63,Bills
DMart,636.02,Groceries
Indian Oil,3340.55,Fuel
Credit Card Bill Payment,2708.78,Bills
LIC,8877.3,Insurance
Credit Card Bill Payment,1882.66,Bills
Ajio,555.7,Shopping
Employer Salary Credit,43979.98,Salary
Credit Card Bill Payment,1853.94,Bills
Credit Card Bill Payment,1851.55,Bills
Bharat Gas,395.14,Bills
McDonald's India,201.34,Food
Indian Oil,3348.68,Fuel
Spotify,154.1,Subscription
Credit Card Bill Payment,5194.29,Bills
Spotify,160.49,Subscription
Bharat Gas,385.44,Bills
Nature's Basket,612.48,Groceries
Ajio,562.58,Shopping
Adani Electricity,5067.72,Bills
Jio Fiber,1362.57,Bills
Credit Card Bill Payment,1729.85,Bills
Meesho,1482.08,Shopping
Blinkit,501.63,Groceries
Cafe Coffee Day,308.31,Food
Local Wine & Beer Shop,2761.13,Food
Myntra,3301.54,Shopping
Blinkit,639.1,Groceries
Indian Oil,3499.64,Fuel
Airtel,1409.68,Bills
Amazon India,1540.32,Shopping
BSNL,585.96,Bills
Burger King,494.42,Food
Myntra,1518.29,Shopping
Credit Card Bill Payment,5446.96,Bills
Jio,639.49,Bills
DMart,1351.14,Groceries
Social,2864.35,Food
Burger King,508.71,Food
Ajio,1523.94,Shopping
The Beer Cafe,2965.51,Food
Indian Oil,3755.57,Fuel
BEST,5499.99,Bills
Credit Card Bill Payment,1704.5,Bills
House Rent Payment,46991.86,Rent
Blinkit,659.3,Groceries
Reliance Fresh,503.91,Groceries
Zepto,469.68,Groceries
Credit Card Bill Payment,1770.94,Bills
EatClub,313.36,Food
DMart,452.58,Groceries
Domino's India,309.01,Food
Zomato,513.67,Food
Local Hardware Store,583.2,Miscellaneous
BEST,5439.07,Bills
Toit Brewpub,1162.31,Food
DMart,439.51,Groceries
Flipkart,1511.81,Shopping
HDFC Ergo,8064.82,Insurance
House Rent Payment,42770.72,Rent
BPCL,3555.62,Fuel
Employer Salary Credit,43148.79,Salary
DMart,475.21,Groceries
Blinkit,1428.96,Groceries
Tata Power,5473.28,Bills
Credit Card Bill Payment,1762.92,Bills
Home Depot India,517.01,Miscellaneous
Blinkit,532.78,Groceries
ICICI Lombard,8514.92,Insurance
Starbucks India,181.24,Food
BookMyShow,296.94,Entertainment
Credit Card Bill Payment,2569.94,Bills
Home Depot India,504.33,Miscellaneous
BookMyShow,307.91,Entertainment
Credit Card Bill Payment,2629.97,Bills
Zepto,478.26,Groceries
Credit Card Bill Payment,5180.11,Bills
Local Hardware Store,555.63,Miscellaneous
Faasos,332.28,Food
