user_id,month,total_income,total_expense,total_savings,savings_rate
U0003,2019-02,0.0,16919.07,-16919.07,0.0
U0003,2019-03,0.0,19657.07,-19657.07,0.0
U0003,2019-04,0.0,43879.56,-43879.56,0.0
U0003,2019-05,0.0,19948.27,-19948.27,0.0
U0003,2019-06,0.0,41163.68,-41163.68,0.0
U0003,2019-07,0.0,20738.95,-20738.95,0.0
U0003,2019-08,0.0,30883.91,-30883.91,0.0
U0003,2019-09,0.0,26349.76,-26349.76,0.0
U0003,2019-10,0.0,29956.29,-29956.29,0.0
U0004,2018-01,0.0,16260.18,-16260.18,0.0
U0004,2018-02,0.0,36229.33,-36229.33,0.0
U0004,2018-03,0.0,30210.71,-30210.71,0.0
U0004,2018-04,141258.69,102846.79,38411.9,27.19
U0004,2018-05,42733.93,74811.37,-32077.44,-75.06
U0004,2018-06,0.0,17505.29,-17505.29,0.0
U0004,2018-07,0.0,56433.56,-56433.56,0.0
U0004,2018-08,0.0,30223.47,-30223.47,0.0
U0004,2018-09,0.0,71757.25,-71757.25,0.0
U0004,2018-10,0.0,36008.97,-36008.97,0.0
U0004,2018-11,0.0,18419.48,-18419.48,0.0
U0004,2018-12,0.0,42003.41,-42003.41,0.0
U0004,2019-01,0.0,63053.35,-63053.35,0.0
U0004,2019-02,0.0,25616.63,-25616.63,0.0
U0004,2019-03,0.0,13370.95,-13370.95,0.0
U0004,2019-04,52963.61,19362.57,33601.04,63.44
U0004,2019-05,0.0,23321.97,-23321.97,0.0
U0004,2019-06,0.0,68563.78,-68563.78,0.0
U0004,2019-07,0.0,29626.81,-29626.81,0.0
U0004,2019-08,66323.7,63410.64,2913.06,4.39
U0004,2019-09,0.0,13945.05,-13945.05,0.0
U0004,2019-11,0.0,13617.06,-13617.06,0.0
U0005,2018-01,0.0,5131.06,-5131.06,0.0
U0005,2018-02,160155.48,7017.42,153138.06,95.62
U0005,2018-03,0.0,94000.54,-94000.54,0.0
U0005,2018-04,0.0,61851.48,-61851.48,0.0
U0005,2018-05,0.0,68791.87,-68791.87,0.0
U0005,2018-06,0.0,17887.26,-17887.26,0.0
U0005,2018-07,0.0,39106.35,-39106.35,0.0
U0005,2018-08,0.0,9168.03,-9168.03,0.0
U0005,2018-09,48254.84,38304.18,9950.66,20.62
U0005,2018-10,0.0,17179.31,-17179.31,0.0
U0005,2018-11,45909.56,78691.94,-32782.38,-71.41
U0005,2018-12,71346.11,56301.75,15044.36,21.09
U0005,2019-01,141025.68,8841.2,132184.48,93.73
U0005,2019-02,47470.07,45305.86,2164.21,4.56
U0005,2019-03,0.0,51649.84,-51649.84,0.0
U0005,2019-04,0.0,33773.95,-33773.95,0.0
U0005,2019-05,0.0,6181.14,-6181.14,0.0
U0005,2019-06,0.0,31255.04,-31255.04,0.0
U0005,2019-07,0.0,98391.43,-98391.43,0.0
U0005,2019-08,0.0,26073.71,-26073.71,0.0
U0005,2019-09,0.0,27586.24,-27586.24,0.0
U0006,2018-01,0.0,15684.83,-15684.83,0.0
U0006,2018-02,0.0,12987.2,-12987.2,0.0
U0006,2018-03,0.0,32264.56,-32264.56,0.0
U0006,2018-04,284.25,28503.0,-28218.75,-9927.44
U0006,2018-05,0.0,21219.82,-21219.82,0.0
U0006,2018-06,148020.81,39715.28,108305.53,73.17
U0006,2018-07,0.0,157371.88,-157371.88,0.0
U0006,2018-08,0.0,16263.91,-16263.91,0.0
U0006,2018-09,0.0,49559.75,-49559.75,0.0
U0006,2018-10,0.0,28075.93,-28075.93,0.0
U0006,2018-11,813.4,9721.09,-8907.69,-1095.12
U0006,2018-12,49110.75,58722.43,-9611.68,-19.57
U0006,2019-01,0.0,8582.17,-8582.17,0.0
U0006,2019-02,0.0,47673.0,-47673.0,0.0
U0006,2019-03,497.26,29770.41,-29273.15,-5886.89
U0006,2019-04,0.0,81429.56,-81429.56,0.0
U0006,2019-05,43452.98,48947.65,-5494.67,-12.65
U0006,2019-06,0.0,36337.38,-36337.38,0.0
U0006,2019-07,0.0,36816.6,-36816.6,0.0
U0006,2019-08,0.0,6360.22,-6360.22,0.0
U0006,2019-09,0.0,31737.48,-31737.48,0.0
U0006,2019-11,0.0,16700.17,-16700.17,0.0
U0007,2018-01,0.0,54449.9,-54449.9,0.0
U0007,2018-02,0.0,104124.94,-104124.94,0.0
U0007,2018-03,0.0,25206.3,-25206.3,0.0
U0007,2018-04,35678.35,44534.19,-8855.84,-24.82
U0007,2018-05,47228.53,25689.59,21538.94,45.61
U0007,2018-06,0.0,47229.56,-47229.56,0.0
U0007,2018-07,0.0,11390.22,-11390.22,0.0
U0007,2018-08,0.0,7184.22,-7184.22,0.0
U0007,2018-09,0.0,69808.64,-69808.64,0.0
U0007,2018-10,0.0,11136.74,-11136.74,0.0
U0007,2018-11,0.0,23351.96,-23351.96,0.0
U0007,2018-12,0.0,30502.4,-30502.4,0.0
U0007,2019-01,0.0,73831.52,-73831.52,0.0
U0007,2019-02,0.0,18064.0,-18064.0,0.0
U0007,2019-03,141730.38,16802.52,124927.86,88.14
U0007,2019-04,0.0,27712.39,-27712.39,0.0
U0007,2019-05,0.0,18610.96,-18610.96,0.0
U0007,2019-06,0.0,22004.19,-22004.19,0.0
U0007,2019-07,0.0,52244.26,-52244.26,0.0
U0007,2019-08,35534.17,24022.88,11511.29,32.39
U0007,2019-09,0.0,38278.03,-38278.03,0.0
U0007,2019-11,0.0,34231.0,-34231.0,0.0
U0008,2018-01,0.0,41729.54,-41729.54,0.0
U0008,2018-02,0.0,36451.79,-36451.79,0.0
U0008,2018-03,0.0,23025.73,-23025.73,0.0
U0008,2018-04,0.0,39784.39,-39784.39,0.0
U0008,2018-05,0.0,13170.16,-13170.16,0.0
U0008,2018-06,0.0,30408.7,-30408.7,0.0
U0008,2018-07,0.0,47115.62,-47115.62,0.0
U0008,2018-08,43979.98,20451.62,23528.36,53.5
U0008,2018-09,168889.74,8177.71,160712.03,95.16
U0008,2018-10,0.0,40914.67,-40914.67,0.0
U0008,2018-11,0.0,41790.22,-41790.22,0.0
U0008,2018-12,0.0,61433.22,-61433.22,0.0
U0008,2019-01,0.0,23574.05,-23574.05,0.0
U0008,2019-02,0.0,9815.87,-9815.87,0.0
U0008,2019-03,0.0,63075.76,-63075.76,0.0
U0008,2019-04,0.0,35291.16,-35291.16,0.0
U0008,2019-05,0.0,26859.47,-26859.47,0.0
U0008,2019-06,0.0,33762.77,-33762.77,0.0
U0008,2019-07,1145.83,35384.25,-34238.42,-2988.09
U0008,2019-08,51961.53,13745.62,38215.91,73.55
U0008,2019-09,196659.2,42054.37,154604.83,78.62
U0009,2018-01,42260.69,26780.86,15479.83,36.63
U0009,2018-02,39793.23,15794.12,23999.11,60.31
U0009,2018-03,0.0,35872.43,-35872.43,0.0
U0009,2018-04,161118.62,18246.53,142872.09,88.68
U0009,2018-05,0.0,15078.69,-15078.69,0.0
U0009,2018-06,41362.59,21637.4,19725.19,47.69
U0009,2018-07,0.0,17211.25,-17211.25,0.0
U0009,2018-08,0.0,25748.6,-25748.6,0.0
U0009,2018-09,0.0,15794.83,-15794.83,0.0
U0009,2018-10,0.0,12149.84,-12149.84,0.0
U0009,2018-11,0.0,60890.97,-60890.97,0.0
U0009,2018-12,42163.19,61395.86,-19232.67,-45.61
U0009,2019-01,0.0,42713.42,-42713.42,0.0
U0009,2019-02,232593.54,46096.74,186496.8,80.18
U0009,2019-03,1891.5,16183.22,-14291.72,-755.58
U0009,2019-04,0.0,15581.13,-15581.13,0.0
U0009,2019-05,0.0,21528.16,-21528.16,0.0
U0009,2019-06,0.0,13174.21,-13174.21,0.0
U0009,2019-07,65194.21,11470.64,53723.57,82.41
U0009,2019-08,0.0,60950.07,-60950.07,0.0
U0009,2019-09,0.0,33150.42,-33150.42,0.0
U0009,2019-10,0.0,5557.06,-5557.06,0.0
U0010,2018-01,0.0,39918.43,-39918.43,0.0
U0010,2018-02,0.0,16214.8,-16214.8,0.0
U0010,2018-03,38309.59,73966.84,-35657.25,-93.08
U0010,2018-04,0.0,72230.16,-72230.16,0.0
U0010,2018-05,94651.28,18114.53,76536.75,80.86
U0010,2018-06,0.0,51615.54,-51615.54,0.0
U0010,2018-07,0.0,27333.12,-27333.12,0.0
U0010,2018-08,46185.36,6597.15,39588.21,85.72
U0010,2018-09,0.0,25698.95,-25698.95,0.0
U0010,2018-10,0.0,11884.8,-11884.8,0.0
U0010,2018-11,0.0,31087.44,-31087.44,0.0
U0010,2018-12,43021.08,56044.95,-13023.87,-30.27
U0010,2019-01,90145.28,47233.02,42912.26,47.6
U0010,2019-02,0.0,18989.76,-18989.76,0.0
U0010,2019-03,0.0,57870.62,-57870.62,0.0
U0010,2019-04,0.0,48227.09,-48227.09,0.0
U0010,2019-05,0.0,29525.12,-29525.12,0.0
U0010,2019-06,0.0,10916.54,-10916.54,0.0
U0010,2019-07,0.0,24688.31,-24688.31,0.0
U0010,2019-08,0.0,13065.27,-13065.27,0.0
U0010,2019-09,204473.57,74821.02,129652.55,63.41
U0010,2019-10,0.0,37692.51,-37692.51,0.0
U0010,2019-11,0.0,29330.11,-29330.11,0.0
U0011,2018-01,50578.37,76264.57,-25686.2,-50.78
U0011,2018-02,0.0,33901.17,-33901.17,0.0
U0011,2018-03,0.0,36264.31,-36264.31,0.0
U0011,2018-04,0.0,46295.37,-46295.37,0.0
U0011,2018-05,0.0,92991.6,-92991.6,0.0
U0011,2018-06,0.0,51532.95,-51532.95,0.0
U0011,2018-07,238163.14,83264.43,154898.71,65.04
U0011,2018-08,0.0,40220.73,-40220.73,0.0
U0011,2018-09,0.0,108044.86,-108044.86,0.0
U0011,2018-10,0.0,69315.69,-69315.69,0.0
U0011,2018-11,0.0,54656.71,-54656.71,0.0
U0011,2018-12,0.0,38509.03,-38509.03,0.0
U0011,2019-01,140146.77,83234.66,56912.11,40.61
U0011,2019-02,0.0,61608.06,-61608.06,0.0
U0011,2019-03,51106.73,75640.0,-24533.27,-48.0
U0011,2019-04,42783.69,61494.14,-18710.45,-43.73
U0011,2019-05,0.0,120934.78,-120934.78,0.0
U0011,2019-06,0.0,67690.57,-67690.57,0.0
U0011,2019-07,37104.74,81464.13,-44359.39,-119.55
U0011,2019-08,41048.69,96681.83,-55633.14,-135.53
U0011,2019-09,0.0,28630.38,-28630.38,0.0
U0011,2019-10,0.0,26128.59,-26128.59,0.0
U0012,2018-01,0.0,83875.71,-83875.71,0.0
U0012,2018-02,58513.32,145953.78,-87440.46,-149.44
U0012,2018-03,177208.79,100092.8,77115.99,43.52
U0012,2018-04,0.0,82206.63,-82206.63,0.0
U0012,2018-05,79766.06,53301.33,26464.73,33.18
U0012,2018-06,47528.1,90726.35,-43198.25,-90.89
U0012,2018-07,392.61,76423.96,-76031.35,-19365.62
U0012,2018-08,46530.38,84101.36,-37570.98,-80.75
U0012,2018-09,43148.79,107582.38,-64433.59,-149.33
U0012,2018-10,48070.6,38308.49,9762.11,20.31
U0012,2018-11,240125.84,97563.11,142562.73,59.37
U0012,2018-12,0.0,116111.65,-116111.65,0.0
U0012,2019-01,0.0,44630.53,-44630.53,0.0
U0012,2019-02,38433.18,17435.29,20997.89,54.63
U0012,2019-03,0.0,40706.7,-40706.7,0.0
U0012,2019-04,52336.86,30053.19,22283.67,42.58
U0012,2019-05,0.0,56804.5,-56804.5,0.0
U0012,2019-06,51158.94,65154.98,-13996.04,-27.36
U0012,2019-07,0.0,96754.63,-96754.63,0.0
U0012,2019-08,0.0,70000.22,-70000.22,0.0
U0012,2019-09,111175.88,75191.13,35984.75,32.37
U0012,2019-10,22387.39,44286.7,-21899.31,-97.82
U0012,2019-11,0.0,35910.83,-35910.83,0.0
U0013,2018-01,0.0,13157.29,-13157.29,0.0
U0013,2018-02,0.0,138806.25,-138806.25,0.0
U0013,2018-03,42835.65,93446.94,-50611.29,-118.15
U0013,2018-04,43146.0,39566.61,3579.39,8.3
U0013,2018-05,0.0,61507.41,-61507.41,0.0
U0013,2018-06,47610.41,55102.12,-7491.71,-15.74
U0013,2018-07,0.0,62866.79,-62866.79,0.0
U0013,2018-08,57328.47,121151.05,-63822.58,-111.33
U0013,2018-09,58887.48,63788.68,-4901.2,-8.32
U0013,2018-10,3453.61,101694.7,-98241.09,-2844.59
U0013,2018-11,45221.46,140994.72,-95773.26,-211.79
U0013,2018-12,0.0,31506.35,-31506.35,0.0
U0013,2019-01,0.0,31961.78,-31961.78,0.0
U0013,2019-02,0.0,58204.46,-58204.46,0.0
U0013,2019-03,0.0,40180.25,-40180.25,0.0
U0013,2019-04,0.0,74238.71,-74238.71,0.0
U0013,2019-05,0.0,28679.73,-28679.73,0.0
U0013,2019-06,0.0,38440.32,-38440.32,0.0
U0013,2019-07,0.0,46847.17,-46847.17,0.0
U0013,2019-08,0.0,51924.77,-51924.77,0.0
U0013,2019-09,0.0,27387.03,-27387.03,0.0
U0013,2019-11,0.0,12764.93,-12764.93,0.0
U0014,2018-01,0.0,63040.09,-63040.09,0.0
U0014,2018-02,0.0,70881.54,-70881.54,0.0
U0014,2018-03,0.0,123572.2,-123572.2,0.0
U0014,2018-04,0.0,97746.21,-97746.21,0.0
U0014,2018-05,48722.46,86523.09,-37800.63,-77.58
U0014,2018-06,82756.63,101371.0,-18614.37,-22.49
U0014,2018-07,68241.2,72793.98,-4552.78,-6.67
U0014,2018-08,3352.78,40759.07,-37406.29,-1115.68
U0014,2018-09,0.0,32363.15,-32363.15,0.0
U0014,2018-10,89063.34,85616.32,3447.02,3.87
U0014,2018-11,0.0,30315.29,-30315.29,0.0
U0014,2018-12,53993.7,67269.48,-13275.78,-24.59
U0014,2019-01,46672.79,20069.1,26603.69,57.0
U0014,2019-02,225266.29,26156.19,199110.1,88.39
U0014,2019-03,48418.28,23750.46,24667.82,50.95
U0014,2019-04,0.0,40260.21,-40260.21,0.0
U0014,2019-05,0.0,71242.19,-71242.19,0.0
U0014,2019-06,293149.59,69277.05,223872.54,76.37
U0014,2019-07,162222.58,20867.1,141355.48,87.14
U0014,2019-08,59480.09,41450.85,18029.24,30.31
U0014,2019-09,0.0,95107.26,-95107.26,0.0
U0014,2019-11,0.0,13526.99,-13526.99,0.0
U0015,2018-01,89553.12,39186.69,50366.43,56.24
U0015,2018-02,51651.89,23114.06,28537.83,55.25
U0015,2018-03,105918.84,89595.15,16323.69,15.41
U0015,2018-04,122159.85,106282.21,15877.64,13.0
U0015,2018-05,40246.74,113721.0,-73474.26,-182.56
U0015,2018-06,42818.28,117745.77,-74927.49,-174.99
U0015,2018-07,85916.22,67645.84,18270.38,21.27
U0015,2018-08,0.0,160331.2,-160331.2,0.0
U0015,2018-09,0.0,41791.27,-41791.27,0.0
U0015,2018-10,0.0,135509.06,-135509.06,0.0
U0015,2018-11,4264.93,141055.98,-136791.05,-3207.35
U0015,2018-12,0.0,37960.82,-37960.82,0.0
U0015,2019-01,55998.36,101417.37,-45419.01,-81.11
U0015,2019-02,0.0,126537.09,-126537.09,0.0
U0015,2019-03,0.0,19982.2,-19982.2,0.0
U0015,2019-04,273306.25,107892.88,165413.37,60.52
U0015,2019-05,0.0,72982.56,-72982.56,0.0
U0015,2019-06,0.0,100446.39,-100446.39,0.0
U0015,2019-07,52599.6,39032.3,13567.3,25.79
U0015,2019-08,0.0,96884.35,-96884.35,0.0
U0015,2019-09,0.0,62110.14,-62110.14,0.0
U0016,2018-01,0.0,60902.0,-60902.0,0.0
U0016,2018-02,0.0,48545.77,-48545.77,0.0
U0016,2018-03,0.0,123387.93,-123387.93,0.0
U0016,2018-04,140096.41,40017.34,100079.07,71.44
U0016,2018-05,63990.66,41582.0,22408.66,35.02
U0016,2018-06,0.0,62888.61,-62888.61,0.0
U0016,2018-07,0.0,79688.79,-79688.79,0.0
U0016,2018-08,0.0,35300.97,-35300.97,0.0
U0016,2018-09,0.0,44070.12,-44070.12,0.0
U0016,2018-10,0.0,51873.65,-51873.65,0.0
U0016,2018-11,0.0,107107.88,-107107.88,0.0
U0016,2018-12,0.0,83927.95,-83927.95,0.0
U0016,2019-01,0.0,122116.63,-122116.63,0.0
U0016,2019-02,0.0,58726.67,-58726.67,0.0
U0016,2019-03,141643.43,96358.45,45284.98,31.97
U0016,2019-04,0.0,182521.69,-182521.69,0.0
U0016,2019-05,0.0,46192.29,-46192.29,0.0
U0016,2019-06,43178.85,75732.98,-32554.13,-75.39
U0016,2019-07,0.0,42920.73,-42920.73,0.0
U0016,2019-08,0.0,37414.16,-37414.16,0.0
U0016,2019-09,0.0,73839.14,-73839.14,0.0
U0016,2019-10,0.0,40150.94,-40150.94,0.0
U0017,2018-01,84645.96,107714.28,-23068.32,-27.25
U0017,2018-02,51917.28,53362.58,-1445.3,-2.78
U0017,2018-03,142770.36,53356.02,89414.34,62.63
U0017,2018-04,0.0,51445.56,-51445.56,0.0
U0017,2018-05,0.0,46039.96,-46039.96,0.0
U0017,2018-06,97120.86,91196.92,5923.94,6.1
U0017,2018-07,0.0,55606.09,-55606.09,0.0
U0017,2018-08,53031.42,33217.32,19814.1,37.36
U0017,2018-09,44069.77,34518.7,9551.07,21.67
U0017,2018-10,0.0,46143.0,-46143.0,0.0
U0017,2018-11,1641.06,50175.8,-48534.74,-2957.52
U0017,2018-12,126948.02,78940.73,48007.29,37.82
U0017,2019-01,219058.89,36864.66,182194.23,83.17
U0017,2019-02,0.0,45112.07,-45112.07,0.0
U0017,2019-03,0.0,115985.79,-115985.79,0.0
U0017,2019-04,45024.58,64687.4,-19662.82,-43.67
U0017,2019-05,33983.8,67071.4,-33087.6,-97.36
U0017,2019-06,0.0,67032.69,-67032.69,0.0
U0017,2019-07,157900.42,123044.65,34855.77,22.07
U0017,2019-08,0.0,131015.76,-131015.76,0.0
U0017,2019-09,62150.48,118707.69,-56557.21,-91.0
U0018,2018-01,51984.61,37122.61,14862.0,28.59
U0018,2018-02,51428.58,74393.94,-22965.36,-44.65
U0018,2018-03,0.0,45849.9,-45849.9,0.0
U0018,2018-04,0.0,93868.94,-93868.94,0.0
U0018,2018-05,45517.82,179598.0,-134080.18,-294.57
U0018,2018-06,1810.59,57104.45,-55293.86,-3053.91
U0018,2018-07,47291.68,107345.55,-60053.87,-126.99
U0018,2018-08,0.0,50845.56,-50845.56,0.0
U0018,2018-09,0.0,89412.44,-89412.44,0.0
U0018,2018-10,0.0,85341.46,-85341.46,0.0
U0018,2018-11,0.0,57501.68,-57501.68,0.0
U0018,2018-12,0.0,85206.78,-85206.78,0.0
U0018,2019-01,0.0,29026.45,-29026.45,0.0
U0018,2019-02,41103.99,56215.05,-15111.06,-36.76
U0018,2019-03,88185.85,20649.96,67535.89,76.58
U0018,2019-04,0.0,59749.92,-59749.92,0.0
U0018,2019-05,0.0,52188.77,-52188.77,0.0
U0018,2019-06,0.0,57358.37,-57358.37,0.0
U0018,2019-07,42295.15,82109.73,-39814.58,-94.14
U0018,2019-08,103971.78,45882.39,58089.39,55.87
U0018,2019-09,0.0,53655.37,-53655.37,0.0
U0019,2018-01,38749.41,105873.4,-67123.99,-173.23
U0019,2018-02,0.0,94470.58,-94470.58,0.0
U0019,2018-03,0.0,70923.39,-70923.39,0.0
U0019,2018-04,37667.92,27445.65,10222.27,27.14
U0019,2018-05,0.0,80846.87,-80846.87,0.0
U0019,2018-06,0.0,105490.53,-105490.53,0.0
U0019,2018-07,0.0,50960.42,-50960.42,0.0
U0019,2018-08,0.0,106518.21,-106518.21,0.0
U0019,2018-09,50121.77,106663.03,-56541.26,-112.81
U0019,2018-10,0.0,39447.04,-39447.04,0.0
U0019,2018-11,0.0,56651.23,-56651.23,0.0
U0019,2018-12,0.0,121555.34,-121555.34,0.0
U0019,2019-01,47629.13,28359.17,19269.96,40.46
U0019,2019-02,0.0,14084.32,-14084.32,0.0
U0019,2019-03,1995.46,138488.62,-136493.16,-6840.19
U0019,2019-04,4244.2,76405.35,-72161.15,-1700.23
U0019,2019-05,0.0,23777.08,-23777.08,0.0
U0019,2019-06,35672.4,61346.17,-25673.77,-71.97
U0019,2019-07,2328.98,15721.34,-13392.36,-575.03
U0019,2019-08,168520.08,30508.09,138011.99,81.9
U0019,2019-09,0.0,100471.8,-100471.8,0.0
U0019,2019-10,0.0,27919.3,-27919.3,0.0
U0019,2019-11,0.0,46249.96,-46249.96,0.0
U0020,2018-01,43271.2,51608.76,-8337.56,-19.27
U0020,2018-02,84650.06,18898.89,65751.17,77.67
U0020,2018-03,3585.32,77359.76,-73774.44,-2057.68
U0020,2018-04,0.0,26407.98,-26407.98,0.0
U0020,2018-05,45843.78,100947.19,-55103.41,-120.2
U0020,2018-06,0.0,24980.07,-24980.07,0.0
U0020,2018-07,52762.45,73021.8,-20259.35,-38.4
U0020,2018-08,5639.27,64565.47,-58926.2,-1044.93
U0020,2018-09,0.0,29602.88,-29602.88,0.0
U0020,2018-10,0.0,84275.97,-84275.97,0.0
U0020,2018-11,0.0,57703.05,-57703.05,0.0
U0020,2018-12,178225.78,75974.07,102251.71,57.37
U0020,2019-01,0.0,47309.41,-47309.41,0.0
U0020,2019-02,0.0,21954.44,-21954.44,0.0
U0020,2019-03,0.0,55094.49,-55094.49,0.0
U0020,2019-04,0.0,68618.51,-68618.51,0.0
U0020,2019-05,0.0,44534.24,-44534.24,0.0
U0020,2019-06,0.0,73090.27,-73090.27,0.0
U0020,2019-07,0.0,15149.32,-15149.32,0.0
U0020,2019-08,0.0,32446.33,-32446.33,0.0
U0020,2019-09,73911.72,58049.77,15861.95,21.46
U0020,2019-10,0.0,18914.0,-18914.0,0.0
