,transaction_id,transaction_date,transaction_time,merchant,description,amount,currency,payment_method,transaction_type,category,city,state,country
20,TXN000021,2018-01-06,08:09:59,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,4209.68,INR,Auto Debit,Debit,Bills,Indore,Madhya Pradesh,India
21,TXN000022,2018-01-07,11:17:28,Spotify,Auto Debit Spotify,153.74,INR,Auto Debit,Debit,Subscription,Chennai,Tamil Nadu,India
22,TXN000023,2018-01-07,14:08:47,McDonald's India,UPI/Paytm/McDonald's India,376.36,INR,UPI,Debit,Food,Surat,Gujarat,India
23,TXN000024,2018-01-08,10:49:00,Bharat Gas,UPI/DR/203003255767/Bharat Gas,763.99,INR,UPI,Debit,Bills,Bengaluru,Karnataka,India
24,TXN000025,2018-01-09,13:21:35,Myntra,Debit Card POS Myntra,1614.1,INR,Debit Card,Debit,Shopping,Pune,Maharashtra,India
25,TXN000026,2018-01-09,13:38:23,HPCL,UPI Payment HPCL,2943.71,INR,UPI,Debit,Fuel,Noida,Uttar Pradesh,India
26,TXN000027,2018-01-10,07:50:11,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,14999.79,INR,Auto Debit,Debit,Bills,Jaipur,Rajasthan,India
27,TXN000028,2018-01-10,08:29:11,Nykaa,UPI/Paytm/Nykaa,1269.56,INR,UPI,Debit,Shopping,Jaipur,Rajasthan,India
28,TXN000029,2018-01-10,11:24:56,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,2862.19,INR,Auto Debit,Debit,Bills,Bengaluru,Karnataka,India
29,TXN000030,2018-01-10,19:13:14,Ajio,POS Purchase Ajio,545.07,INR,Credit Card,Debit,Shopping,Chennai,Tamil Nadu,India
30,TXN000031,2018-01-11,11:22:38,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,4310.62,INR,Auto Debit,Debit,Bills,Bengaluru,Karnataka,India
31,TXN000032,2018-01-11,11:31:09,Bharat Gas,Auto Debit Bharat Gas,766.94,INR,Auto Debit,Debit,Bills,Bengaluru,Karnataka,India
32,TXN000033,2018-01-12,09:36:28,Employer Salary Credit,NEFT Salary Credit,46314.09,INR,NEFT,Credit,Salary,Jaipur,Rajasthan,India
33,TXN000034,2018-01-12,18:56:24,BPCL,UPI/Paytm/BPCL,2959.23,INR,UPI,Debit,Fuel,Bengaluru,Karnataka,India
34,TXN000035,2018-01-13,06:30:17,Municipal Water Department,Auto Debit Municipal Water Department,214.83,INR,Auto Debit,Debit,Bills,Hyderabad,Telangana,India
35,TXN000036,2018-01-13,08:04:52,Chaayos,POS Purchase Chaayos,138.51,INR,Credit Card,Debit,Food,Nagpur,Maharashtra,India
36,TXN000037,2018-01-13,21:20:04,EatClub,UPI/Paytm/EatClub,320.8,INR,UPI,Debit,Food,Hyderabad,Telangana,India
37,TXN000038,2018-01-14,06:42:04,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,4362.49,INR,Auto Debit,Debit,Bills,Surat,Gujarat,India
38,TXN000039,2018-01-15,10:59:29,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,14256.14,INR,Auto Debit,Debit,Bills,Bengaluru,Karnataka,India
39,TXN000040,2018-01-16,16:30:30,Blinkit,UPI Collect Blinkit,1365.12,INR,UPI,Debit,Groceries,Bengaluru,Karnataka,India
40,TXN000041,2018-01-17,06:55:28,BSNL,Auto Debit BSNL,630.2,INR,Auto Debit,Debit,Bills,Lucknow,Uttar Pradesh,India
41,TXN000042,2018-01-17,07:58:33,Bharat Gas,UPI/DR/858662013185/Bharat Gas,740.72,INR,UPI,Debit,Bills,Nagpur,Maharashtra,India
42,TXN000043,2018-01-17,10:51:30,Spotify,Auto Debit Spotify,152.69,INR,Auto Debit,Debit,Subscription,Nagpur,Maharashtra,India
43,TXN000044,2018-01-18,11:15:31,Bharat Gas,Auto Debit Bharat Gas,719.03,INR,Auto Debit,Debit,Bills,Bengaluru,Karnataka,India
44,TXN000045,2018-01-19,09:04:53,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,4425.22,INR,Auto Debit,Debit,Bills,Bengaluru,Karnataka,India
45,TXN000046,2018-01-19,09:16:21,Employer Salary Credit,NEFT Salary Credit,43239.03,INR,NEFT,Credit,Salary,Jaipur,Rajasthan,India
46,TXN000047,2018-01-19,09:51:41,Airtel,Auto Debit Airtel,486.59,INR,Auto Debit,Debit,Bills,Bengaluru,Karnataka,India
47,TXN000048,2018-01-20,06:07:32,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,15776.17,INR,Auto Debit,Debit,Bills,Mumbai,Maharashtra,India
48,TXN000049,2018-01-20,06:49:51,House Rent Payment,IMPS Transfer House Rent Payment,46734.63,INR,IMPS,Debit,Rent,Lucknow,Uttar Pradesh,India
49,TXN000050,2018-01-20,09:42:59,Airtel,UPI Collect Airtel,517.81,INR,UPI,Debit,Bills,Jaipur,Rajasthan,India
50,TXN000051,2018-01-20,10:38:32,Spotify,Auto Debit Spotify,162.04,INR,Auto Debit,Debit,Subscription,Delhi,Delhi,India
51,TXN000052,2018-01-20,13:28:51,Ace Hardware India,Debit Card POS Ace Hardware India,520.99,INR,Debit Card,Debit,Miscellaneous,Hyderabad,Telangana,India
52,TXN000053,2018-01-21,07:02:52,HP Gas,UPI Payment HP Gas,716.67,INR,UPI,Debit,Bills,Surat,Gujarat,India
53,TXN000054,2018-01-21,09:53:42,Home Depot India,POS Purchase Home Depot India,506.48,INR,Debit Card,Debit,Miscellaneous,Delhi,Delhi,India
54,TXN000055,2018-01-21,13:05:51,Local Hardware Store,UPI Payment Local Hardware Store,530.22,INR,UPI,Debit,Miscellaneous,Bengaluru,Karnataka,India
55,TXN000056,2018-01-22,12:17:22,Domino's India,UPI/DR/900595246665/Domino's India,327.31,INR,UPI,Debit,Food,Surat,Gujarat,India
56,TXN000057,2018-01-22,14:25:09,Burger King,Debit Card POS Burger King,675.94,INR,Debit Card,Debit,Food,Ahmedabad,Gujarat,India
57,TXN000058,2018-01-22,14:50:07,Burger King,UPI/Paytm/Burger King,339.7,INR,UPI,Debit,Food,Bengaluru,Karnataka,India
58,TXN000059,2018-01-23,08:24:21,Cafe Coffee Day,UPI Collect Cafe Coffee Day,624.65,INR,UPI,Debit,Food,Bengaluru,Karnataka,India
59,TXN000060,2018-01-23,13:07:10,EatClub,UPI Collect EatClub,324.49,INR,UPI,Debit,Food,Bengaluru,Karnataka,India
60,TXN000061,2018-01-23,22:56:56,Cafe Coffee Day,POS Purchase Cafe Coffee Day,649.89,INR,Credit Card,Debit,Food,Bengaluru,Karnataka,India
61,TXN000062,2018-01-24,08:57:29,Airtel,Auto Debit Airtel,590.54,INR,Auto Debit,Debit,Bills,Bengaluru,Karnataka,India
62,TXN000063,2018-01-24,14:47:16,Blinkit,UPI Payment Blinkit,1295.04,INR,UPI,Debit,Groceries,Bengaluru,Karnataka,India
63,TXN000064,2018-01-24,21:14:12,BigBasket,Debit Card POS BigBasket,1285.81,INR,Debit Card,Debit,Groceries,Mumbai,Maharashtra,India
64,TXN000065,2018-01-25,11:30:56,Ace Hardware India,POS Purchase Ace Hardware India,525.95,INR,Credit Card,Debit,Miscellaneous,Kochi,Kerala,India
65,TXN000066,2018-01-26,06:47:59,Adani Electricity,Electricity Bill Adani Electricity,5504.99,INR,Auto Debit,Debit,Bills,Indore,Madhya Pradesh,India
66,TXN000067,2018-01-26,20:06:56,Amazon Prime,POS Purchase Amazon Prime,313.18,INR,Debit Card,Debit,Entertainment,Kolkata,West Bengal,India
67,TXN000068,2018-01-27,14:55:32,Amazon India,UPI Collect Amazon India,1538.01,INR,UPI,Debit,Shopping,Bengaluru,Karnataka,India
68,TXN000069,2018-01-28,20:55:43,Indian Oil,UPI Payment Indian Oil,2846.64,INR,UPI,Debit,Fuel,Mumbai,Maharashtra,India
69,TXN000070,2018-01-28,21:05:10,Faasos,UPI Payment Faasos,383.34,INR,UPI,Debit,Food,Bengaluru,Karnataka,India
70,TXN000071,2018-01-29,08:46:28,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,4438.24,INR,Auto Debit,Debit,Bills,Bengaluru,Karnataka,India
71,TXN000072,2018-01-29,10:26:52,BSNL,UPI/Paytm/BSNL,646.11,INR,UPI,Debit,Bills,Bengaluru,Karnataka,India
72,TXN000073,2018-01-29,12:13:22,Flipkart,UPI/Paytm/Flipkart,495.96,INR,UPI,Debit,Shopping,Jaipur,Rajasthan,India
73,TXN000074,2018-01-29,12:27:10,Amazon India,POS Purchase Amazon India,1522.08,INR,Credit Card,Debit,Shopping,Surat,Gujarat,India
74,TXN000075,2018-01-29,12:29:14,McDonald's India,UPI/DR/349814531370/McDonald's India,338.88,INR,UPI,Debit,Food,Indore,Madhya Pradesh,India
75,TXN000076,2018-01-29,12:52:27,Faasos,UPI Collect Faasos,408.98,INR,UPI,Debit,Food,Nagpur,Maharashtra,India
76,TXN000077,2018-01-29,13:53:28,Domino's India,POS Purchase Domino's India,674.01,INR,Credit Card,Debit,Food,Noida,Uttar Pradesh,India
77,TXN000078,2018-01-29,17:53:00,Local Hardware Store,UPI Payment Local Hardware Store,504.17,INR,UPI,Debit,Miscellaneous,Nagpur,Maharashtra,India
78,TXN000079,2018-01-29,19:46:40,Myntra,UPI/Paytm/Myntra,1327.84,INR,UPI,Debit,Shopping,Surat,Gujarat,India
79,TXN000080,2018-01-29,22:04:28,Amazon Prime,UPI Collect Amazon Prime,297.72,INR,UPI,Debit,Entertainment,Bengaluru,Karnataka,India
80,TXN000081,2018-01-30,14:40:19,Zomato,UPI/Paytm/Zomato,645.12,INR,UPI,Debit,Food,Delhi,Delhi,India
81,TXN000082,2018-01-31,08:30:44,Credit Card Bill Payment,Net Banking Payment Credit Card Bill Payment,2794.01,INR,Net Banking,Debit,Bills,Bengaluru,Karnataka,India
82,TXN000083,2018-01-31,09:46:10,Ace Hardware India,UPI/Paytm/Ace Hardware India,479.36,INR,UPI,Debit,Miscellaneous,Kochi,Kerala,India
83,TXN000084,2018-02-01,08:41:12,Adani Electricity,Electricity Bill Adani Electricity,5361.8,INR,Auto Debit,Debit,Bills,Indore,Madhya Pradesh,India
84,TXN000085,2018-02-01,08:48:21,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,1944.21,INR,Auto Debit,Debit,Bills,Bengaluru,Karnataka,India
85,TXN000086,2018-02-01,09:34:19,BigBasket,Debit Card POS BigBasket,895.88,INR,Debit Card,Debit,Groceries,Pune,Maharashtra,India
86,TXN000087,2018-02-01,10:09:26,Jio,Auto Debit Jio,647.96,INR,Auto Debit,Debit,Bills,Kolkata,West Bengal,India
87,TXN000088,2018-02-02,00:33:41,Employer Salary Credit,NEFT Salary Credit,46027.55,INR,NEFT,Credit,Salary,Ahmedabad,Gujarat,India
88,TXN000089,2018-02-02,08:47:36,Adani Electricity,Electricity Bill Adani Electricity,4954.67,INR,Auto Debit,Debit,Bills,Chennai,Tamil Nadu,India
89,TXN000090,2018-02-02,09:00:30,Swiggy,POS Purchase Swiggy,213.06,INR,Debit Card,Debit,Food,Delhi,Delhi,India
90,TXN000091,2018-02-02,10:09:59,Jio,Net Banking Payment Jio,626.7,INR,Net Banking,Debit,Bills,Kochi,Kerala,India
91,TXN000092,2018-02-02,11:26:28,Credit Card Bill Payment,Net Banking Payment Credit Card Bill Payment,1740.69,INR,Net Banking,Debit,Bills,Ahmedabad,Gujarat,India
92,TXN000093,2018-02-02,14:14:07,Barbeque Nation,POS Purchase Barbeque Nation,205.29,INR,Credit Card,Debit,Food,Chennai,Tamil Nadu,India
93,TXN000094,2018-02-02,21:17:43,Starbucks India,UPI/DR/662544181990/Starbucks India,169.79,INR,UPI,Debit,Food,Bengaluru,Karnataka,India
94,TXN000095,2018-02-03,07:21:12,House Rent Payment,IMPS Transfer House Rent Payment,46992.92,INR,IMPS,Debit,Rent,Kochi,Kerala,India
95,TXN000096,2018-02-03,12:47:33,Starbucks India,UPI Collect Starbucks India,168.54,INR,UPI,Debit,Food,Mumbai,Maharashtra,India
96,TXN000097,2018-02-03,14:15:46,Local Wine & Beer Shop,UPI/Paytm/Local Wine & Beer Shop,940.6,INR,UPI,Debit,Food,Lucknow,Uttar Pradesh,India
97,TXN000098,2018-02-03,15:59:59,Nature's Basket,UPI Payment Nature's Basket,950.12,INR,UPI,Debit,Groceries,Mumbai,Maharashtra,India
98,TXN000099,2018-02-04,06:53:42,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,5742.74,INR,Auto Debit,Debit,Bills,Hyderabad,Telangana,India
99,TXN000100,2018-02-04,07:45:00,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,1804.15,INR,Auto Debit,Debit,Bills,Delhi,Delhi,India
100,TXN000101,2018-02-04,08:05:17,Netflix,UPI/DR/391923884043/Netflix,311.82,INR,UPI,Debit,Entertainment,Indore,Madhya Pradesh,India
101,TXN000102,2018-02-04,12:09:09,Reliance Fresh,UPI/DR/976745072963/Reliance Fresh,1148.99,INR,UPI,Debit,Groceries,Jaipur,Rajasthan,India
102,TXN000103,2018-02-05,19:16:41,Starbucks India,UPI Collect Starbucks India,165.66,INR,UPI,Debit,Food,Kochi,Kerala,India
103,TXN000104,2018-02-06,09:26:21,Credit Card Bill Payment,Net Banking Payment Credit Card Bill Payment,1818.08,INR,Net Banking,Debit,Bills,Bengaluru,Karnataka,India
104,TXN000105,2018-02-06,09:28:57,Airtel,UPI Collect Airtel,616.18,INR,UPI,Debit,Bills,Indore,Madhya Pradesh,India
105,TXN000106,2018-02-06,13:15:09,Faasos,UPI Collect Faasos,208.37,INR,UPI,Debit,Food,Bengaluru,Karnataka,India
106,TXN000107,2018-02-06,19:35:05,Burger King,UPI Collect Burger King,178.25,INR,UPI,Debit,Food,Kochi,Kerala,India
107,TXN000108,2018-02-07,06:50:31,Bharat Gas,Auto Debit Bharat Gas,1138.47,INR,Auto Debit,Debit,Bills,Bengaluru,Karnataka,India
108,TXN000109,2018-02-07,06:51:18,Jio Fiber,UPI/DR/293822729412/Jio Fiber,1260.98,INR,UPI,Debit,Bills,Bengaluru,Karnataka,India
109,TXN000110,2018-02-07,12:02:38,Myntra,UPI/Paytm/Myntra,518.04,INR,UPI,Debit,Shopping,Bengaluru,Karnataka,India
110,TXN000111,2018-02-08,08:26:45,Local Barbershop,UPI Collect Local Barbershop,1501.5,INR,UPI,Debit,Miscellaneous,Delhi,Delhi,India
111,TXN000112,2018-02-08,14:25:41,Indian Oil,UPI Payment Indian Oil,3640.36,INR,UPI,Debit,Fuel,Kolkata,West Bengal,India
112,TXN000113,2018-02-09,08:04:25,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,1804.35,INR,Auto Debit,Debit,Bills,Kochi,Kerala,India
113,TXN000114,2018-02-09,09:18:42,Tata Power,Electricity Bill Tata Power,5319.18,INR,Auto Debit,Debit,Bills,Bengaluru,Karnataka,India
114,TXN000115,2018-02-09,19:16:47,Domino's India,UPI Collect Domino's India,330.9,INR,UPI,Debit,Food,Surat,Gujarat,India
115,TXN000116,2018-02-10,08:39:40,Local Wine & Beer Shop,POS Purchase Local Wine & Beer Shop,979.73,INR,Credit Card,Debit,Food,Kolkata,West Bengal,India
116,TXN000117,2018-02-10,08:47:47,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,1784.99,INR,Auto Debit,Debit,Bills,Chennai,Tamil Nadu,India
117,TXN000118,2018-02-11,10:02:16,Spotify,Auto Debit Spotify,156.6,INR,Auto Debit,Debit,Subscription,Nagpur,Maharashtra,India
118,TXN000119,2018-02-11,19:29:23,EatClub,POS Purchase EatClub,314.87,INR,Debit Card,Debit,Food,Chennai,Tamil Nadu,India
119,TXN000120,2018-02-12,19:57:30,Netflix,UPI/DR/626434801063/Netflix,301.82,INR,UPI,Debit,Entertainment,Ahmedabad,Gujarat,India
120,TXN000121,2018-02-13,07:00:27,Municipal Water Department,Auto Debit Municipal Water Department,226.88,INR,Auto Debit,Debit,Bills,Kolkata,West Bengal,India
121,TXN000122,2018-02-13,11:15:19,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,1950.44,INR,Auto Debit,Debit,Bills,Pune,Maharashtra,India
122,TXN000123,2018-02-13,14:15:32,Faasos,UPI/Paytm/Faasos,621.07,INR,UPI,Debit,Food,Bengaluru,Karnataka,India
123,TXN000124,2018-02-14,06:50:25,BEST,Electricity Bill BEST,5087.95,INR,Auto Debit,Debit,Bills,Bengaluru,Karnataka,India
124,TXN000125,2018-02-14,18:23:11,Amazon India,POS Purchase Amazon India,506.73,INR,Credit Card,Debit,Shopping,Bengaluru,Karnataka,India
125,TXN000126,2018-02-14,21:39:57,EatClub,UPI/Paytm/EatClub,994.63,INR,UPI,Debit,Food,Chennai,Tamil Nadu,India
126,TXN000127,2018-02-15,14:49:49,Cafe Coffee Day,POS Purchase Cafe Coffee Day,315.98,INR,Credit Card,Debit,Food,Hyderabad,Telangana,India
127,TXN000128,2018-02-15,20:08:35,Domino's India,POS Purchase Domino's India,186.32,INR,Credit Card,Debit,Food,Bengaluru,Karnataka,India
128,TXN000129,2018-02-15,20:50:16,Swiggy,UPI Payment Swiggy,303.22,INR,UPI,Debit,Food,Ahmedabad,Gujarat,India
129,TXN000130,2018-02-15,21:54:24,The Beer Cafe,POS Purchase The Beer Cafe,881.02,INR,Debit Card,Debit,Food,Lucknow,Uttar Pradesh,India
130,TXN000131,2018-02-16,09:48:38,Employer Salary Credit,NEFT Salary Credit,47492.08,INR,NEFT,Credit,Salary,Surat,Gujarat,India
131,TXN000132,2018-02-16,12:00:51,Barbeque Nation,UPI Collect Barbeque Nation,195.76,INR,UPI,Debit,Food,Nagpur,Maharashtra,India
132,TXN000133,2018-02-16,22:43:41,Lakme Salon,UPI Payment Lakme Salon,1448.66,INR,UPI,Debit,Miscellaneous,Lucknow,Uttar Pradesh,India
133,TXN000134,2018-02-17,08:12:49,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,1837.5,INR,Auto Debit,Debit,Bills,Hyderabad,Telangana,India
134,TXN000135,2018-02-17,11:24:17,HPCL,UPI Collect HPCL,3443.57,INR,UPI,Debit,Fuel,Bengaluru,Karnataka,India
135,TXN000136,2018-02-17,11:29:02,House Rent Payment,NEFT Rent Payment,46175.24,INR,NEFT,Debit,Rent,Delhi,Delhi,India
136,TXN000137,2018-02-17,18:12:24,Blinkit,UPI Collect Blinkit,921.26,INR,UPI,Debit,Groceries,Indore,Madhya Pradesh,India
137,TXN000138,2018-02-17,19:27:44,BigBasket,POS Purchase BigBasket,949.38,INR,Debit Card,Debit,Groceries,Delhi,Delhi,India
138,TXN000139,2018-02-17,21:17:24,Third Wave Coffee,UPI/Paytm/Third Wave Coffee,118.22,INR,UPI,Debit,Food,Bengaluru,Karnataka,India
139,TXN000140,2018-02-18,07:28:58,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,1798.21,INR,Auto Debit,Debit,Bills,Pune,Maharashtra,India
140,TXN000141,2018-02-18,10:13:46,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,1867.33,INR,Auto Debit,Debit,Bills,Kochi,Kerala,India
141,TXN000142,2018-02-18,11:25:07,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,1911.32,INR,Auto Debit,Debit,Bills,Kochi,Kerala,India
142,TXN000143,2018-02-19,13:08:43,Indian Oil,UPI/Paytm/Indian Oil,2958.98,INR,UPI,Debit,Fuel,Noida,Uttar Pradesh,India
143,TXN000144,2018-02-20,19:13:02,Zomato,UPI Collect Zomato,800.13,INR,UPI,Debit,Food,Bengaluru,Karnataka,India
144,TXN000145,2018-02-21,07:04:13,Credit Card Bill Payment,Net Banking Payment Credit Card Bill Payment,1933.82,INR,Net Banking,Debit,Bills,Bengaluru,Karnataka,India
145,TXN000146,2018-02-21,07:15:17,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,1912.07,INR,Auto Debit,Debit,Bills,Bengaluru,Karnataka,India
146,TXN000147,2018-02-21,08:31:03,Credit Card Bill Payment,Net Banking Payment Credit Card Bill Payment,1854.11,INR,Net Banking,Debit,Bills,Lucknow,Uttar Pradesh,India
147,TXN000148,2018-02-21,10:05:41,Bharat Gas,Auto Debit Bharat Gas,1185.37,INR,Auto Debit,Debit,Bills,Mumbai,Maharashtra,India
148,TXN000149,2018-02-21,21:56:15,Naturals Salon,Debit Card POS Naturals Salon,1580.72,INR,Debit Card,Debit,Miscellaneous,Pune,Maharashtra,India
149,TXN000150,2018-02-22,09:49:53,Cafe Coffee Day,Debit Card POS Cafe Coffee Day,196.41,INR,Debit Card,Debit,Food,Ahmedabad,Gujarat,India
150,TXN000151,2018-02-22,09:59:23,Airtel,Auto Debit Airtel,1403.43,INR,Auto Debit,Debit,Bills,Bengaluru,Karnataka,India
151,TXN000152,2018-02-23,08:45:26,Airtel,Auto Debit Airtel,1254.24,INR,Auto Debit,Debit,Bills,Noida,Uttar Pradesh,India
152,TXN000153,2018-02-23,20:57:51,Indian Oil,UPI Payment Indian Oil,3175.63,INR,UPI,Debit,Fuel,Bengaluru,Karnataka,India
153,TXN000154,2018-02-24,09:01:52,Domino's India,UPI/Paytm/Domino's India,184.23,INR,UPI,Debit,Food,Surat,Gujarat,India
154,TXN000155,2018-02-24,09:53:23,House Rent Payment,NEFT Rent Payment,43912.33,INR,NEFT,Debit,Rent,Bengaluru,Karnataka,India
155,TXN000156,2018-02-24,11:44:20,Spotify,Auto Debit Spotify,153.2,INR,Auto Debit,Debit,Subscription,Bengaluru,Karnataka,India
156,TXN000157,2018-02-25,08:54:03,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,1870.76,INR,Auto Debit,Debit,Bills,Indore,Madhya Pradesh,India
157,TXN000158,2018-02-25,12:15:26,Cafe Coffee Day,UPI/DR/645141062499/Cafe Coffee Day,324.62,INR,UPI,Debit,Food,Bengaluru,Karnataka,India
158,TXN000159,2018-02-26,09:56:01,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,1900.74,INR,Auto Debit,Debit,Bills,Noida,Uttar Pradesh,India
159,TXN000160,2018-02-26,13:56:01,Burger King,UPI Payment Burger King,177.5,INR,UPI,Debit,Food,Kochi,Kerala,India
160,TXN000161,2018-02-27,06:25:36,Tata Power,Electricity Bill Tata Power,5404.62,INR,Auto Debit,Debit,Bills,Lucknow,Uttar Pradesh,India
161,TXN000162,2018-02-27,13:59:04,Zomato,UPI Collect Zomato,960.06,INR,UPI,Debit,Food,Lucknow,Uttar Pradesh,India
162,TXN000163,2018-02-27,22:17:56,Chaayos,UPI/DR/728400443133/Chaayos,120.79,INR,UPI,Debit,Food,Jaipur,Rajasthan,India
163,TXN000164,2018-02-28,10:04:23,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,1921.76,INR,Auto Debit,Debit,Bills,Mumbai,Maharashtra,India
164,TXN000165,2018-02-28,21:55:01,HPCL,ATM Cash Withdrawal,3638.47,INR,Cash Withdrawal,Debit,Fuel,Bengaluru,Karnataka,India
165,TXN000166,2018-03-01,06:39:46,Credit Card Bill Payment,Net Banking Payment Credit Card Bill Payment,5873.21,INR,Net Banking,Debit,Bills,Indore,Madhya Pradesh,India
166,TXN000167,2018-03-01,09:00:36,Nature's Basket,Debit Card POS Nature's Basket,522.85,INR,Debit Card,Debit,Groceries,Bengaluru,Karnataka,India
167,TXN000168,2018-03-01,09:03:34,BigBasket,UPI/DR/420705911656/BigBasket,793.5,INR,UPI,Debit,Groceries,Bengaluru,Karnataka,India
168,TXN000169,2018-03-01,21:26:01,DMart,Debit Card POS DMart,1029.01,INR,Debit Card,Debit,Groceries,Kolkata,West Bengal,India
169,TXN000170,2018-03-02,01:21:05,Employer Salary Credit,NEFT Salary Credit,44709.1,INR,NEFT,Credit,Salary,Bengaluru,Karnataka,India
170,TXN000171,2018-03-02,08:04:26,Domino's India,UPI Payment Domino's India,445.18,INR,UPI,Debit,Food,Kolkata,West Bengal,India
171,TXN000172,2018-03-02,11:08:05,Credit Card Bill Payment,Net Banking Payment Credit Card Bill Payment,5508.79,INR,Net Banking,Debit,Bills,Kochi,Kerala,India
172,TXN000173,2018-03-02,19:52:35,DMart,POS Purchase DMart,834.36,INR,Credit Card,Debit,Groceries,Bengaluru,Karnataka,India
173,TXN000174,2018-03-03,10:52:18,BSNL,Net Banking Payment BSNL,1314.17,INR,Net Banking,Debit,Bills,Hyderabad,Telangana,India
