transaction_date,amount
2018-04-02,1494.81
2018-04-02,1268.58
2018-04-02,482.11
2018-04-03,150.71
2018-04-03,655.61
2018-04-03,324.97
2018-04-04,8644.67
2018-04-04,559.09
2018-04-04,322.61
2018-04-05,5223.03
2018-04-05,328.02
2018-04-05,503.41
2018-04-06,328.13
2018-04-07,5456.25
2018-04-07,210.1
2018-04-07,150.71
2018-04-07,477.61
2018-04-07,1419.61
2018-04-08,834.26
2018-04-09,214.43
2018-04-09,697.29
2018-04-09,3537.81
2018-04-10,1387.75
2018-04-10,5363.4
2018-04-10,315.35
2018-04-10,767.31
2018-04-11,8224.91
2018-04-11,5584.9
2018-04-11,5400.26
2018-04-11,532.32
2018-04-12,463.33
2018-04-12,44519.57
2018-04-12,6081.22
2018-04-12,559.98
2018-04-12,481.96
2018-04-12,314.07
2018-04-12,2068.94
2018-04-13,43093.36
2018-04-13,5196.62
2018-04-14,1317.46
2018-04-14,449.87
2018-04-14,296.67
2018-04-14,342.99
2018-04-15,618.89
2018-04-15,312.95
2018-04-15,647.81
2018-04-16,230.39
2018-04-17,5418.16
2018-04-17,622.16
2018-04-17,1500.01
2018-04-17,699.36
2018-04-17,160.98
2018-04-18,3056.79
2018-04-18,3534.48
2018-04-18,8465.93
2018-04-18,567.33
2018-04-18,1385.11
2018-04-18,579.48
2018-04-18,517.96
2018-04-19,158.9
2018-04-19,213.36
2018-04-20,6033.8
2018-04-20,442.31
2018-04-20,5608.83
2018-04-20,2061.38
2018-04-20,529.11
2018-04-21,5757.15
2018-04-21,349.09
2018-04-21,489.32
2018-04-21,578.25
2018-04-22,8744.79
2018-04-22,449.3
2018-04-22,3472.43
2018-04-22,1365.94
2018-04-22,316.28
2018-04-23,5428.52
2018-04-23,5164.19
2018-04-25,221.81
2018-04-25,473.51
2018-04-25,513.3
2018-04-26,8071.75
2018-04-26,8217.65
2018-04-26,291.12
2018-04-26,5678.44
2018-04-26,619.97
2018-04-26,448.52
2018-04-26,838.24
2018-04-27,43146.0
2018-04-27,45242.49
2018-04-27,8241.9
2018-04-27,1407.73
2018-04-27,414.3
2018-04-28,3005.93
2018-04-28,3320.08
2018-04-28,8301.91
2018-04-28,443.23
2018-04-29,589.38
2018-04-29,617.81
2018-04-29,2120.77
2018-04-29,477.39
2018-04-29,811.59
2018-04-30,320.22
2018-04-30,316.82
2018-04-30,608.36
2018-04-30,5579.52
2018-04-30,318.78
2018-04-30,512.5
2018-04-30,1434.99
2018-04-30,509.27
2018-05-01,755.77
2018-05-01,379.5
2018-05-01,42982.49
2018-05-01,318.64
2018-05-01,1814.03
2018-05-02,6894.47
2018-05-02,1034.63
2018-05-02,507.2
2018-05-03,2977.68
2018-05-03,1711.45
2018-05-03,153.63
2018-05-03,971.0
2018-05-04,2569.92
2018-05-04,1424.33
2018-05-04,157.74
2018-05-04,147.21
2018-05-04,3939.03
2018-05-06,2543.0
2018-05-06,985.75
2018-05-06,333.23
2018-05-06,313.35
2018-05-07,215.14
2018-05-07,1267.07
2018-05-07,8182.16
2018-05-07,983.31
2018-05-07,3169.63
2018-05-08,601.51
2018-05-08,3314.7
2018-05-09,3268.03
2018-05-09,158.56
2018-05-09,8424.07
2018-05-09,558.23
2018-05-10,584.59
2018-05-10,1816.83
2018-05-11,47228.53
2018-05-11,1353.35
2018-05-11,389.21
2018-05-12,377.13
2018-05-12,166.69
2018-05-12,3592.11
2018-05-12,300.24
2018-05-12,153.52
2018-05-12,1785.69
2018-05-13,4400.29
2018-05-13,287.51
2018-05-14,1372.12
2018-05-15,2273.11
2018-05-15,381.48
2018-05-15,2800.57
2018-05-15,718.91
2018-05-15,1834.44
2018-05-16,47210.31
2018-05-17,4698.91
2018-05-17,1502.5
2018-05-17,3613.74
2018-05-17,3530.74
2018-05-17,1054.45
2018-05-18,984.51
2018-05-18,3400.66
2018-05-19,301.09
2018-05-19,7428.3
2018-05-19,582.48
2018-05-20,1486.13
2018-05-21,2664.18
2018-05-21,45677.86
2018-05-21,4800.68
2018-05-21,2790.14
2018-05-21,1407.58
2018-05-21,155.91
2018-05-21,772.67
2018-05-22,457.69
2018-05-22,3822.93
2018-05-22,722.33
2018-05-22,6964.98
2018-05-23,4814.19
2018-05-23,1450.9
2018-05-23,1030.24
2018-05-24,216.09
2018-05-24,1196.88
2018-05-24,1605.07
2018-05-25,42733.93
2018-05-25,971.65
2018-05-25,561.13
2018-05-25,6908.66
2018-05-26,155.83
2018-05-26,1707.52
2018-05-27,4981.77
2018-05-27,2648.74
2018-05-27,1219.07
2018-05-27,2223.97
2018-05-28,150.19
2018-05-28,491.08
2018-05-28,1058.69
2018-05-28,333.49
2018-05-29,4559.95
2018-05-29,492.03
2018-05-29,274.02
2018-05-30,5177.4
2018-05-30,8179.32
2018-05-30,4755.63
2018-05-30,396.59
2018-05-31,383.12
2018-05-31,3526.48
2018-05-31,1631.56
2018-06-01,8261.33
2018-06-01,224.81
2018-06-01,189.4
2018-06-01,484.11
2018-06-02,203.93
2018-06-02,2731.75
2018-06-02,145.62
2018-06-03,2296.35
2018-06-03,632.04
2018-06-03,2624.81
2018-06-03,304.71
2018-06-03,667.72
2018-06-04,423.41
2018-06-04,666.41
2018-06-04,647.43
2018-06-05,165.53
2018-06-05,238.84
2018-06-05,820.45
2018-06-05,3749.88
2018-06-06,5337.38
2018-06-06,618.41
2018-06-07,2327.76
2018-06-07,560.76
2018-06-07,563.39
2018-06-07,3577.34
2018-06-07,585.83
2018-06-08,44660.86
2018-06-08,2388.37
2018-06-08,6584.9
2018-06-08,543.81
2018-06-08,1368.55
2018-06-09,162.56
2018-06-09,236.06
2018-06-09,528.34
2018-06-09,320.11
2018-06-09,625.58
2018-06-10,546.94
2018-06-10,43665.4
2018-06-10,2595.99
2018-06-10,2352.16
2018-06-10,461.07
2018-06-10,198.84
2018-06-10,244.99
2018-06-11,1406.8
2018-06-11,306.28
2018-06-11,537.21
2018-06-12,1474.8
2018-06-12,1366.51
2018-06-12,3868.48
2018-06-12,3607.41
2018-06-13,1474.52
2018-06-13,2565.26
2018-06-13,221.27
2018-06-13,516.71
2018-06-13,533.71
2018-06-14,210.18
2018-06-14,303.76
2018-06-15,6462.93
2018-06-15,166.32
2018-06-15,1587.97
2018-06-15,223.52
2018-06-15,2344.12
2018-06-15,534.44
2018-06-15,162.9
2018-06-16,213.46
2018-06-16,162.54
2018-06-16,1338.18
2018-06-17,166.4
2018-06-18,6470.5
2018-06-18,8911.0
2018-06-18,614.82
2018-06-18,824.96
2018-06-19,3994.65
2018-06-19,1315.74
2018-06-19,8595.67
2018-06-19,647.02
2018-06-20,149.36
2018-06-20,515.3
2018-06-22,47610.41
2018-06-22,568.49
2018-06-22,1307.9
2018-06-23,42719.73
2018-06-23,2258.21
2018-06-24,1449.92
2018-06-24,2447.57
2018-06-24,162.49
2018-06-25,43616.28
2018-06-25,1446.77
2018-06-25,308.19
2018-06-25,3596.67
2018-06-25,154.33
2018-06-26,1541.45
2018-06-26,681.03
2018-06-26,1501.24
2018-06-26,516.16
2018-06-26,397.38
2018-06-27,638.69
2018-06-27,1577.39
2018-06-28,2701.22
2018-06-28,146.91
2018-06-28,1546.73
2018-06-28,464.83
2018-06-28,326.09
2018-06-28,658.16
2018-06-29,217.41
2018-06-29,1480.35
2018-06-29,3904.33
2018-06-29,295.94
2018-06-29,3750.81
2018-06-30,3576.46
2018-06-30,2362.12
2018-07-01,2420.11
2018-07-01,1247.24
2018-07-01,3336.12
2018-07-01,1254.23
2018-07-01,1520.48
2018-07-01,6021.86
2018-07-02,2280.48
2018-07-02,1299.0
2018-07-02,1254.27
2018-07-02,577.47
2018-07-03,1367.71
2018-07-03,162.6
2018-07-03,2388.61
2018-07-03,3354.94
2018-07-04,1295.05
2018-07-04,149.13
2018-07-05,1325.37
2018-07-06,43599.35
2018-07-06,8748.91
2018-07-06,3291.7
2018-07-07,446.92
2018-07-08,2337.48
2018-07-09,395.8
2018-07-09,577.49
2018-07-09,434.5
2018-07-09,2523.03
2018-07-09,3201.0
2018-07-10,382.12
2018-07-10,2585.38
2018-07-10,426.95
2018-07-10,316.11
2018-07-10,221.04
2018-07-10,1668.35
2018-07-10,3285.43
2018-07-11,217.72
2018-07-11,526.31
2018-07-12,1267.1
2018-07-12,2304.24
2018-07-12,484.79
2018-07-12,706.29
2018-07-12,3198.51
2018-07-13,42894.11
2018-07-13,1350.83
2018-07-13,1276.08
2018-07-13,5852.59
2018-07-14,215.41
2018-07-15,42974.07
2018-07-15,1314.96
2018-07-15,202.25
2018-07-16,526.15
2018-07-17,1336.39
2018-07-17,5134.2
2018-07-17,481.99
2018-07-17,177.37
2018-07-18,632.02
2018-07-18,318.31
2018-07-19,150.52
2018-07-19,330.62
2018-07-19,530.69
2018-07-20,47291.68
2018-07-20,8406.07
2018-07-20,640.68
2018-07-20,1644.51
2018-07-21,1478.69
2018-07-21,359.66
2018-07-21,1004.08
2018-07-22,160.79
2018-07-22,490.12
2018-07-23,412.84
2018-07-23,713.08
2018-07-23,1554.91
2018-07-23,346.75
2018-07-24,8830.08
2018-07-24,1661.33
2018-07-24,211.12
2018-07-25,5111.45
2018-07-25,614.23
2018-07-25,465.69
2018-07-25,1698.31
2018-07-26,43485.0
2018-07-26,3027.32
2018-07-26,319.96
2018-07-26,1804.91
2018-07-26,3270.59
2018-07-27,1281.97
2018-07-27,3373.49
2018-07-27,415.08
2018-07-27,169.77
2018-07-28,419.26
2018-07-28,3062.25
2018-07-29,1368.44
2018-07-29,1566.84
2018-07-30,1340.07
2018-07-31,995.31
2018-07-31,5641.04
2018-07-31,1527.2
2018-07-31,311.18
2018-07-31,665.54
2018-07-31,163.72
2018-08-01,1189.92
2018-08-01,478.22
2018-08-01,449.09
2018-08-02,2662.02
2018-08-02,614.88
2018-08-03,44682.35
2018-08-03,5150.03
2018-08-03,630.89
2018-08-03,645.23
2018-08-03,3550.71
2018-08-03,3961.15
2018-08-04,387.63
2018-08-04,2664.95
2018-08-04,486.47
2018-08-04,593.55
2018-08-06,447.69
2018-08-06,152.25
2018-08-06,604.65
2018-08-07,160.86
2018-08-07,321.81
2018-08-07,1380.94
2018-08-07,1343.81
2018-08-08,1537.78
2018-08-08,1139.35
2018-08-08,5237.62
2018-08-08,619.83
2018-08-09,5803.34
2018-08-09,151.53
2018-08-10,4080.38
2018-08-11,4008.64
2018-08-12,500.52
2018-08-13,43897.05
2018-08-13,642.32
2018-08-13,625.75
2018-08-14,3362.94
2018-08-15,1204.77
2018-08-15,42678.72
2018-08-15,211.64
2018-08-16,2186.98
2018-08-16,5394.61
2018-08-16,223.79
2018-08-16,1136.72
2018-08-16,605.15
2018-08-16,586.53
2018-08-17,46530.38
2018-08-17,8319.52
2018-08-17,1404.45
2018-08-17,42866.76
2018-08-17,2187.79
2018-08-18,593.41
2018-08-18,205.22
2018-08-20,1103.19
2018-08-20,1577.81
2018-08-21,461.3
2018-08-21,401.43
2018-08-21,1524.91
2018-08-21,3203.68
2018-08-22,8758.84
2018-08-22,3902.17
2018-08-22,3791.73
2018-08-22,200.18
2018-08-23,2699.98
2018-08-24,539.42
2018-08-24,319.43
2018-08-25,1085.47
2018-08-25,493.8
2018-08-25,475.41
2018-08-26,1113.71
2018-08-26,319.18
2018-08-28,1084.31
2018-08-28,5857.63
2018-08-28,636.02
2018-08-28,3340.55
2018-08-29,2708.78
2018-08-29,8877.3
2018-08-30,1882.66
2018-08-30,555.7
2018-08-31,43979.98
2018-08-31,1853.94
2018-08-31,1851.55
2018-08-31,395.14
2018-08-31,201.34
2018-08-31,3348.68
2018-09-01,154.1
2018-09-01,5194.29
2018-09-01,160.49
2018-09-01,385.44
2018-09-01,612.48
2018-09-01,562.58
2018-09-02,5067.72
2018-09-02,1362.57
2018-09-02,1729.85
2018-09-02,1482.08
2018-09-02,501.63
2018-09-02,308.31
2018-09-02,2761.13
2018-09-03,3301.54
2018-09-03,639.1
2018-09-03,3499.64
2018-09-03,1409.68
2018-09-03,1540.32
2018-09-04,585.96
2018-09-04,494.42
2018-09-04,1518.29
2018-09-05,5446.96
2018-09-05,639.49
2018-09-05,1351.14
2018-09-05,2864.35
2018-09-05,508.71
2018-09-05,1523.94
2018-09-05,2965.51
2018-09-05,3755.57
2018-09-06,5499.99
2018-09-06,1704.5
2018-09-06,46991.86
2018-09-06,659.3
2018-09-08,503.91
2018-09-08,469.68
2018-09-09,1770.94
2018-09-09,313.36
2018-09-10,452.58
2018-09-10,309.01
2018-09-11,513.67
2018-09-11,583.2
2018-09-12,5439.07
2018-09-12,1162.31
2018-09-12,439.51
2018-09-12,1511.81
2018-09-13,8064.82
2018-09-13,42770.72
2018-09-13,3555.62
2018-09-14,43148.79
2018-09-14,475.21
2018-09-14,1428.96
2018-09-15,5473.28
2018-09-15,1762.92
2018-09-15,517.01
2018-09-15,532.78
2018-09-16,8514.92
2018-09-16,181.24
2018-09-16,296.94
2018-09-17,2569.94
2018-09-17,504.33
2018-09-17,307.91
2018-09-19,2629.97
2018-09-19,478.26
2018-09-20,5180.11
2018-09-20,555.63
2018-09-21,332.28
2018-09-21,4012.65
2018-09-21,3736.29
2018-09-22,158.31
2018-09-22,494.91
2018-09-22,495.85
2018-09-23,180.49
2018-09-23,525.72
2018-09-23,1512.92
2018-09-24,47003.52
2018-09-24,1524.34
2018-09-24,1748.2
2018-09-24,8247.96
2018-09-24,624.64
2018-09-24,1580.1
2018-09-24,327.1
2018-09-25,392.78
2018-09-25,596.99
2018-09-25,184.64
2018-09-27,1679.25
2018-09-27,3742.95
2018-09-27,448.63
2018-09-28,2655.6
2018-09-28,5234.84
2018-09-28,44069.77
2018-09-28,223.88
2018-09-28,315.68
2018-09-28,547.54
2018-09-29,2980.34
2018-09-29,2640.31
2018-09-29,1868.9
2018-09-29,3574.52
2018-09-29,3443.63
2018-09-30,418.3
2018-09-30,1389.87
2018-09-30,569.22
2018-10-01,527.39
2018-10-01,824.08
2018-10-01,139.87
2018-10-02,366.54
2018-10-03,202.81
2018-10-03,767.69
2018-10-03,326.55
2018-10-03,467.71
2018-10-04,480.53
2018-10-05,37184.06
2018-10-05,351.64
2018-10-05,478.99
2018-10-06,3046.88
2018-10-06,183.51
2018-10-06,155.91
2018-10-06,561.84
2018-10-07,155.39
2018-10-07,2969.0
2018-10-07,1002.09
2018-10-07,366.9
2018-10-08,8691.83
2018-10-08,878.19
2018-10-09,493.77
2018-10-10,164.84
2018-10-10,735.32
2018-10-11,33955.28
2018-10-11,606.97
2018-10-11,297.03
2018-10-12,348.96
2018-10-12,47321.64
2018-10-12,5035.76
2018-10-12,4020.55
2018-10-12,565.53
2018-10-12,3223.32
2018-10-12,340.08
2018-10-13,3786.34
2018-10-13,36629.5
2018-10-13,147.01
2018-10-14,683.14
2018-10-15,1001.89
2018-10-15,225.65
2018-10-15,4124.8
2018-10-15,319.73
2018-10-16,5399.27
2018-10-16,1268.37
2018-10-16,716.37
2018-10-16,553.34
2018-10-16,590.1
2018-10-16,1742.44
2018-10-16,692.76
2018-10-17,1777.27
2018-10-17,527.35
2018-10-18,658.32
2018-10-18,1634.35
2018-10-18,517.85
2018-10-19,379.78
2018-10-19,329.26
2018-10-20,1777.45
2018-10-20,1469.11
2018-10-20,510.12
2018-10-20,3455.11
2018-10-21,3188.09
2018-10-21,1344.73
2018-10-21,313.41
2018-10-22,206.8
2018-10-22,167.03
2018-10-22,1086.21
2018-10-23,1789.78
2018-10-23,504.71
2018-10-23,3081.25
2018-10-23,143.32
2018-10-23,474.49
2018-10-24,5121.78
2018-10-24,777.85
2018-10-24,3418.3
2018-10-25,1734.05
2018-10-25,1080.06
2018-10-25,549.54
2018-10-26,43257.38
2018-10-26,1132.92
2018-10-27,183.83
2018-10-28,3089.02
2018-10-29,7996.21
2018-10-29,145.09
2018-10-29,1016.07
2018-10-29,1029.87
2018-10-30,1326.45
2018-10-30,539.81
2018-10-30,3108.81
2018-10-30,1125.77
2018-10-30,979.0
2018-10-31,3116.17
2018-10-31,1724.33
2018-10-31,404.08
2018-10-31,562.34
2018-11-01,1267.7
2018-11-01,3626.73
2018-11-02,5293.45
2018-11-02,4521.28
2018-11-02,359.66
2018-11-04,561.44
2018-11-04,5261.72
2018-11-04,504.7
2018-11-04,4735.75
2018-11-04,481.31
2018-11-04,315.53
2018-11-04,293.29
2018-11-04,1112.88
2018-11-05,36944.2
2018-11-05,448.12
2018-11-05,523.61
2018-11-05,470.81
2018-11-05,1779.1
2018-11-06,405.79
2018-11-06,556.42
2018-11-06,506.3
2018-11-06,469.9
2018-11-06,484.36
2018-11-07,161.44
2018-11-07,8766.29
2018-11-07,1773.92
2018-11-07,8837.97
2018-11-07,551.33
2018-11-07,311.12
2018-11-08,571.26
2018-11-08,3556.06
2018-11-08,2822.94
2018-11-08,1389.0
2018-11-09,4261.72
2018-11-09,5187.31
2018-11-09,318.78
2018-11-09,153.32
2018-11-09,45909.56
2018-11-09,473.16
2018-11-10,551.56
2018-11-10,2411.38
2018-11-10,1082.28
2018-11-10,604.65
2018-11-10,1086.98
2018-11-10,513.86
2018-11-10,485.11
2018-11-11,5481.5
2018-11-11,2594.12
2018-11-11,35502.8
2018-11-11,509.7
2018-11-11,1250.82
2018-11-11,548.31
2018-11-12,500.83
2018-11-12,540.44
2018-11-13,288.29
2018-11-14,5252.32
2018-11-14,2431.4
2018-11-15,8736.68
2018-11-15,5839.94
2018-11-15,476.97
2018-11-16,4374.81
2018-11-16,306.03
2018-11-16,887.98
2018-11-17,3420.41
2018-11-17,509.82
2018-11-18,5677.07
2018-11-18,298.35
2018-11-18,594.13
2018-11-18,465.99
2018-11-19,292.72
2018-11-19,295.77
2018-11-20,1387.53
2018-11-20,494.16
2018-11-20,564.4
2018-11-21,4567.15
2018-11-21,2647.46
2018-11-21,1599.82
2018-11-21,1666.96
2018-11-22,649.46
2018-11-23,1519.38
2018-11-23,45221.46
2018-11-23,5240.42
2018-11-23,449.27
2018-11-23,2631.16
2018-11-24,295.71
2018-11-24,325.25
2018-11-24,1408.53
2018-11-24,1397.04
2018-11-26,5802.38
2018-11-26,375.14
2018-11-26,364.78
2018-11-27,512.76
2018-11-27,487.06
2018-11-27,484.85
2018-11-28,3316.39
2018-11-28,578.96
2018-11-28,1264.74
2018-11-29,4769.98
2018-11-29,3568.44
2018-11-29,515.27
2018-11-29,552.59
2018-11-30,406.09
2018-11-30,299.15
2018-11-30,368.75
2018-12-01,674.45
2018-12-01,598.67
2018-12-01,818.9
2018-12-01,530.92
2018-12-01,555.83
2018-12-01,650.12
2018-12-02,2877.4
2018-12-02,934.48
2018-12-02,1359.49
2018-12-02,1795.62
2018-12-03,262.01
2018-12-03,464.78
2018-12-04,5304.78
2018-12-04,918.98
2018-12-04,2727.12
2018-12-05,2744.91
2018-12-05,621.04
2018-12-05,827.96
2018-12-05,619.11
2018-12-06,2754.12
2018-12-06,35440.28
2018-12-06,947.85
2018-12-06,816.89
2018-12-07,43192.48
2018-12-07,633.9
2018-12-07,2872.37
2018-12-07,165.24
2018-12-07,483.6
2018-12-07,196.06
2018-12-07,861.89
2018-12-07,582.15
2018-12-07,143.62
2018-12-08,650.01
2018-12-08,2714.52
2018-12-08,636.73
2018-12-08,2810.58
2018-12-08,304.97
2018-12-08,554.18
2018-12-08,1607.57
2018-12-09,209.32
2018-12-09,769.63
2018-12-09,580.56
2018-12-09,481.0
2018-12-10,1658.93
2018-12-10,1601.77
2018-12-11,618.37
2018-12-11,622.35
2018-12-11,926.04
2018-12-12,776.35
2018-12-12,197.09
2018-12-12,2983.71
2018-12-12,215.99
2018-12-12,523.23
2018-12-13,1555.41
2018-12-13,2982.58
2018-12-13,142.07
2018-12-14,5132.18
2018-12-14,8185.52
2018-12-14,653.11
2018-12-14,604.07
2018-12-14,3066.9
2018-12-14,320.81
2018-12-14,2946.14
2018-12-15,613.09
2018-12-15,788.08
2018-12-15,634.55
2018-12-15,281.29
2018-12-15,486.42
2018-12-16,3976.73
2018-12-16,3973.79
2018-12-16,36912.26
2018-12-16,2993.91
2018-12-17,889.26
2018-12-17,768.46
2018-12-18,618.98
2018-12-18,1344.6
2018-12-18,140.09
2018-12-18,498.72
2018-12-18,1537.58
2018-12-19,35938.24
2018-12-19,1432.92
2018-12-20,605.92
2018-12-20,605.22
2018-12-21,43021.08
2018-12-21,619.81
2018-12-21,808.4
2018-12-21,1869.23
2018-12-22,463.27
2018-12-22,496.33
2018-12-22,568.44
2018-12-23,504.3
2018-12-23,3807.92
2018-12-23,1412.66
2018-12-23,150.41
2018-12-24,155.98
2018-12-24,210.37
2018-12-24,844.18
2018-12-24,512.04
2018-12-25,497.52
2018-12-25,599.38
2018-12-26,6169.13
2018-12-26,529.35
2018-12-26,5500.8
2018-12-26,850.11
2018-12-27,794.56
2018-12-27,8464.53
2018-12-27,198.97
2018-12-27,598.87
2018-12-28,6382.13
2018-12-28,215.22
2018-12-28,1501.86
2018-12-28,2770.52
2018-12-28,1568.88
2018-12-29,2681.27
2018-12-29,204.03
2018-12-29,1443.06
2018-12-30,891.76
2018-12-30,190.89
2018-12-31,3643.83
2018-12-31,284.36
2018-12-31,1585.78
2018-12-31,1901.01
2018-12-31,561.28
2018-12-31,140.53
2019-01-01,506.82
2019-01-02,3862.23
2019-01-02,8417.29
2019-01-02,2600.25
2019-01-04,47629.13
2019-01-04,2980.44
2019-01-04,557.1
2019-01-04,341.83
2019-01-05,2653.0
2019-01-05,2767.37
2019-01-06,3992.9
2019-01-06,323.45
2019-01-06,807.49
2019-01-08,217.17
2019-01-08,487.95
2019-01-09,3974.1
