date,total_spending,day,day_of_week,week,month,quarter,year,is_weekend,is_month_end,lag_1,lag_7,lag_30,rolling_mean_7,rolling_mean_30,rolling_std_7,expanding_mean,target_smooth
2018-03-15,49198.5,15,3,11,3,1,2018,0,0,46228.44199999988,22908.62,16295.720000000001,33162.55742857141,42767.19053333324,10207.467171006632,38351.38413698622,32418.92842857139
2018-03-16,50665.74199999988,16,4,11,3,1,2018,0,0,49198.5,41626.340000000004,42865.991999999875,36918.25457142855,43863.949866666575,10633.482578206376,38497.966783783704,29947.91485714282
2018-03-17,39872.83199999988,17,5,11,3,1,2018,1,0,50665.74199999988,19029.02,40572.79199999988,38209.59771428568,44123.94153333324,11786.857673229979,38660.20378666659,32000.032142857097
2018-03-18,46248.201999999874,18,6,11,3,1,2018,1,0,39872.83199999988,40934.82,27009.731999999876,41187.28514285708,44100.60953333324,8229.879633925402,38676.15942105255,30280.183571428526
2018-03-19,19225.559999999998,19,0,12,3,1,2018,0,0,46248.201999999874,32351.120000000003,36167.311999999874,41946.339714285634,44741.89186666657,8444.934444418037,38774.49763636356,29412.292142857095
2018-03-20,7263.549999999999,20,1,12,3,1,2018,0,0,19225.559999999998,29059.539999999997,21065.65,40071.25971428565,44177.16679999991,11743.477771639788,38523.87023076916,31208.3608571428
2018-03-21,23855.69,21,2,12,3,1,2018,0,0,7263.549999999999,46228.44199999988,19446.79,36957.546857142785,43717.09679999991,16905.01411007828,38128.169974683464,31463.527285714226
2018-03-22,8305.64,22,3,12,3,1,2018,0,0,23855.69,49198.5,8151.92,33761.43942857137,43864.06013333324,16974.885615039726,37949.76397499992,35185.348142857074
2018-03-23,7032.15,23,4,12,3,1,2018,0,0,8305.64,50665.74199999988,60139.25199999988,27919.60228571423,43869.18413333324,17793.65948354514,37583.78713580239,36944.89742857136
2018-03-24,47758.66199999987,24,5,12,3,1,2018,1,0,7032.15,39872.83199999988,17732.88,21686.23199999996,42098.94739999992,16055.115291564343,37211.20619512188,40547.49028571422
2018-03-25,16856.94,25,6,12,3,1,2018,1,0,47758.66199999987,46248.201999999874,43148.62199999987,22812.7791428571,43099.80679999991,17732.906273563287,37338.28397590354,39450.80728571423
2018-03-26,20200.64,26,0,13,3,1,2018,0,0,16856.94,19225.559999999998,87948.80599999963,18614.027428571404,42223.41739999991,14431.344088111702,37094.45845238088,41445.31385714279
2018-03-27,54204.50199999988,27,1,13,3,1,2018,0,0,20200.64,7263.549999999999,67290.56199999987,18753.32457142855,39965.145199999926,14442.931919827888,36895.70764705875,48526.45728571418
2018-03-28,49800.77199999987,28,2,13,3,1,2018,0,0,54204.50199999988,23855.69,49248.961999999876,25459.174857142814,39528.94319999993,18536.36857474877,37096.97269767435,53410.38699999987
2018-03-29,101303.99199999988,29,3,13,3,1,2018,0,0,49800.77199999987,8305.64,61281.97199999988,29165.61514285708,39547.33686666659,20637.183473327557,37242.99337931027,54584.43771428559
2018-03-30,75299.43199999988,30,4,13,3,1,2018,0,0,101303.99199999988,7032.15,86032.06,42451.093999999925,40881.404199999924,31855.50518525833,37970.9592727272,55261.230571428445
2018-03-31,90309.13199999987,31,5,13,3,1,2018,1,1,75299.43199999988,47758.66199999987,40219.12199999988,52203.562857142766,40523.649933333254,29573.006941208085,38390.380314606664,53407.38757142845
2018-04-01,30894.64,1,6,13,4,2,2018,1,0,90309.13199999987,16856.94,62340.03399999975,58282.20142857133,42193.316933333255,32713.414081396008,38967.255333333254,55423.67699999987
2018-04-02,47148.65199999988,2,0,14,4,2,2018,0,0,30894.64,20200.64,35553.020000000004,60287.587142857046,41145.13713333326,30074.573975098778,38878.5452747252,54883.99342857131
2018-04-03,106399.55799999951,3,1,14,4,2,2018,0,0,47148.65199999988,54204.50199999988,68821.66399999976,64137.30314285703,41531.658199999925,25458.48284034071,38968.43773913036,54407.589857142724
2018-04-04,92230.70599999963,4,2,14,4,2,2018,0,0,106399.55799999951,49800.77199999987,64289.543999999754,71593.73971428556,42784.25466666659,29402.535644203366,39693.503548387016,56514.18199999988
2018-04-05,24742.35,5,3,14,4,2,2018,0,0,92230.70599999963,101303.99199999988,73289.49599999964,77655.15885714265,43715.62673333324,28521.395288905303,40252.409957446725,52749.2784285713
2018-04-06,16507.25,6,4,14,4,2,2018,0,0,24742.35,75299.43199999988,21965.91,66717.78142857125,42097.388533333266,32362.360833702536,40089.14616842097,50509.18199999988
2018-04-07,21804.86,7,5,14,4,2,2018,1,0,16507.25,90309.13199999987,22908.62,58318.898285714116,41915.43319999993,37053.111578432094,39843.501416666586,44605.060428571305
2018-04-08,45084.991999999875,8,6,14,4,2,2018,1,0,21804.86,30894.64,41626.340000000004,48532.57371428557,41878.641199999925,36233.25674104979,39657.536041237036,43858.011857142745
2018-04-09,12645.07,9,0,15,4,2,2018,0,0,45084.991999999875,47148.65199999988,19029.02,50559.76685714269,41993.929599999916,35470.91741618523,39712.918244897875,41742.989571428465
2018-04-10,47534.851999999875,10,1,15,4,2,2018,0,0,12645.07,106399.55799999951,40934.82,45630.683714285566,41781.13126666658,38307.81774623167,39439.50563636356,35470.868999999926
2018-04-11,79293.06199999987,11,2,15,4,2,2018,0,0,47534.851999999875,92230.70599999963,32351.120000000003,37221.43999999991,42001.132333333255,27750.962502390954,39520.45909999992,30541.432857142812
2018-04-12,48595.34199999988,12,3,15,4,2,2018,0,0,79293.06199999987,24742.35,29059.539999999997,35373.205142857085,43565.86373333325,23596.559587140047,39914.24724752467,31701.84657142852
2018-04-13,43938.08199999988,13,4,15,4,2,2018,0,0,48595.34199999988,16507.25,46228.44199999988,38780.77542857135,44217.05713333324,23527.695812002534,39999.35601960777,32433.235142857087
2018-04-14,7651.43,14,5,15,4,2,2018,1,0,43938.08199999988,21804.86,49198.5,42699.46571428562,44140.71179999991,21386.560275477354,40037.59607766983,33091.12728571423
2018-04-15,20435.96,15,6,15,4,2,2018,1,0,7651.43,45084.991999999875,50665.74199999988,40677.54714285705,42755.80946666657,24178.06491777111,39726.190634615305,33568.080714285665
2018-04-16,17538.34,16,0,16,4,2,2018,0,0,20435.96,12645.07,39872.83199999988,37156.256857142784,41748.15006666658,25202.42323655599,39542.47415238087,34761.628571428526
2018-04-17,18589.87,17,1,16,4,2,2018,0,0,17538.34,47534.851999999875,46248.201999999874,37855.29542857135,41003.666999999914,24466.359960036858,39334.887981132,32428.414142857106
2018-04-18,23218.600000000002,18,2,16,4,2,2018,0,0,18589.87,79293.06199999987,19225.559999999998,33720.297999999944,40081.72259999993,24997.973229673644,39141.009308411136,27845.006142857113
2018-04-19,40988.141999999876,19,3,16,4,2,2018,0,0,23218.600000000002,48595.34199999988,7263.549999999999,25709.660571428536,40214.82393333325,14908.658847283947,38993.57959259251,29948.351142857115
2018-04-20,26746.690000000002,20,4,16,4,2,2018,0,0,40988.141999999876,43938.08199999988,23855.69,24622.917714285675,41338.97699999992,13134.047115534457,39011.878330275154,32308.690571428535
2018-04-21,31015.35,21,5,16,4,2,2018,1,0,26746.690000000002,7651.43,8305.64,22167.00457142855,41435.34366666658,10199.94635262937,38900.37661818175,36454.75914285711
2018-04-22,51762.340000000004,22,6,16,4,2,2018,1,0,31015.35,20435.96,7032.15,25504.707428571408,42192.33399999992,8305.047889944857,38829.340342342264,39981.75999999995
2018-04-23,29354.739999999998,23,0,17,4,2,2018,0,0,51762.340000000004,17538.34,47758.66199999987,29979.90457142855,43683.340333333246,12499.48175069076,38944.81355357135,42864.311571428516
2018-04-24,14869.85,24,1,17,4,2,2018,0,0,29354.739999999998,18589.87,16856.94,31667.96171428569,43069.876266666586,11277.365291803126,38859.94564601762,49350.241285714204
2018-04-25,15125.350000000002,25,2,17,4,2,2018,0,0,14869.85,23218.600000000002,20200.64,31136.530285714263,43003.63993333325,12057.065330364283,38649.50621052624,50898.546428571346
2018-04-26,78042.17199999987,26,3,17,4,2,2018,0,0,15125.350000000002,40988.141999999876,54204.50199999988,29980.351714285694,42834.46359999992,13269.915713077165,38444.94833043471,51718.97285714278
2018-04-27,76982.83399999976,27,4,17,4,2,2018,0,0,78042.17199999987,26746.690000000002,49800.77199999987,35273.78457142855,43629.05259999992,22543.173691472926,38786.30370689648,53052.06942857133
2018-04-28,65696.39,28,5,17,4,2,2018,1,0,76982.83399999976,31015.35,101303.99199999988,42450.37657142851,44535.12133333325,26943.07961167756,39112.7697777777,53422.095999999896
2018-04-29,69813.97199999988,29,6,17,4,2,2018,1,0,65696.39,51762.340000000004,75299.43199999988,47404.8108571428,43348.20126666659,27668.783878102877,39338.05469491518,52218.629714285606
2018-04-30,57894.061999999874,30,0,18,4,2,2018,0,1,69813.97199999988,29354.739999999998,90309.13199999987,49983.61542857136,43165.35259999992,28953.98769177093,39594.15484033606,53265.15557142844
2018-05-01,109392.88599999963,1,1,18,5,2,2018,0,0,57894.061999999874,14869.85,30894.64,54060.66142857134,42084.85026666659,27539.87701025683,39746.65406666659,56005.61657142843
2018-05-02,44894.87199999988,2,2,18,5,2,2018,0,0,109392.88599999963,15125.350000000002,47148.65199999988,67563.95228571414,44701.45846666658,28284.366359720705,40322.2427603305,58405.36099999985
2018-05-03,52474.11199999988,3,3,18,5,2,2018,0,0,44894.87199999988,78042.17199999987,106399.55799999951,71816.74114285698,44626.33246666658,20155.681507134206,40359.72332786877,53562.64942857128
2018-05-04,45410.04199999988,4,4,18,5,2,2018,0,0,52474.11199999988,76982.83399999976,92230.70599999963,68164.16114285699,42828.81759999992,21132.52197565176,40458.21429268285,52046.220714285584
2018-05-05,36195.72199999988,5,5,18,5,2,2018,1,0,45410.04199999988,65696.39,24742.35,63653.76228571414,41268.12879999993,22275.083136249083,40498.14838709669,49377.00357142844
2018-05-06,34913.811999999874,6,6,18,5,2,2018,1,0,36195.72199999988,69813.97199999988,16507.25,59439.381142856975,41649.90786666659,24503.471052732843,40463.72897599992,45895.313428571295
2018-05-07,44006.101999999875,7,0,19,5,2,2018,0,0,34913.811999999874,57894.061999999874,21804.86,54453.64399999984,42263.45993333325,25568.173393618978,40419.68201587294,43734.58257142846
2018-05-08,53236.30399999975,8,1,19,5,2,2018,0,0,44006.101999999875,109392.88599999963,45084.991999999875,52469.64971428555,43003.501333333246,25794.54066485065,40447.921543307006,38131.27942857133
2018-05-09,48721.77199999987,9,2,19,5,2,2018,0,0,53236.30399999975,44894.87199999988,12645.07,44447.28085714271,43275.21173333325,7094.29446407443,40547.83078124992,36924.377999999895
2018-05-10,10244.210000000001,10,3,19,5,2,2018,0,0,48721.77199999987,52474.11199999988,47534.851999999875,44993.980857142706,44477.76846666658,7279.570203970181,40611.19466666658,36505.096428571334
2018-05-11,55752.83199999988,11,4,19,5,2,2018,0,0,10244.210000000001,45410.04199999988,79293.06199999987,38961.137714285585,43234.74706666658,14228.965130632527,40377.602476923,36212.76285714276
2018-05-12,28327.35,12,5,19,5,2,2018,1,0,55752.83199999988,36195.72199999988,48595.34199999988,40438.679142857014,42450.07273333324,15491.241729437044,40494.97064122129,35712.17557142849
2018-05-13,21070.309999999998,13,6,19,5,2,2018,1,0,28327.35,34913.811999999874,43938.08199999988,39314.62599999989,41774.47299999991,16123.00924111168,40402.791696969616,33557.44042857135
2018-05-14,27643.829999999998,14,0,20,5,2,2018,0,0,21070.309999999998,44006.101999999875,7651.43,37336.982857142764,41012.21393333326,17539.56934845543,40257.43469172924,33474.60899999993
2018-05-15,30946.641999999876,15,1,20,5,2,2018,0,0,27643.829999999998,53236.30399999975,20435.96,34999.51542857135,41678.62726666659,17592.86191370688,40163.303313432756,32474.953714285657
2018-05-16,27998.251999999877,16,2,20,5,2,2018,0,0,30946.641999999876,48721.77199999987,17538.34,31815.27799999994,42028.98333333325,15652.06318406077,40095.03174814807,35209.22671428565
2018-05-17,46604.17,17,3,20,5,2,2018,0,0,27998.251999999877,10244.210000000001,18589.87,28854.775142857085,42377.647066666585,13767.78001621642,40006.08483823522,36399.54885714279
2018-05-18,41317.37199999988,18,4,20,5,2,2018,0,0,46604.17,55752.83199999988,23218.600000000002,34049.05514285708,43311.457066666575,12363.485682167828,40054.246043795545,34929.89885714279
2018-05-19,29187.5,19,5,20,5,2,2018,1,0,41317.37199999988,28327.35,40988.141999999876,31986.846571428516,43914.74946666658,8842.513217459522,40063.3991304347,34165.39171428565
2018-05-20,4747.52,20,6,20,5,2,2018,1,0,29187.5,21070.309999999998,26746.690000000002,32109.725142857085,43521.39473333325,8788.998540534783,39985.15525179848,35976.12528571422
2018-05-21,42846.461999999876,21,0,21,5,2,2018,0,0,4747.52,27643.829999999998,31015.35,29777.89799999994,42788.08906666658,13242.851095889626,39733.45785714278,37855.883428571346
2018-05-22,39241.13,22,1,21,5,2,2018,0,0,42846.461999999876,30946.641999999876,51762.340000000004,31949.702571428497,43182.45946666657,14056.16474484627,39755.53590070914,39968.529714285636
2018-05-23,87001.59399999975,23,2,21,5,2,2018,0,0,39241.13,27998.251999999877,29354.739999999998,33134.629428571374,42765.08579999991,14304.92354543402,39751.91332394358,44990.46028571422
2018-05-24,26908.719999999998,24,3,21,5,2,2018,0,0,87001.59399999975,46604.17,14869.85,41563.6782857142,44686.647599999895,24514.31715155571,40082.330671328586,45158.70242857136
2018-05-25,35177.73199999988,25,4,21,5,2,2018,0,0,26908.719999999998,41317.37199999988,15125.350000000002,38750.0425714285,45087.94326666657,24965.495844423833,39990.84726388881,43920.57299999994
2018-05-26,17624.25,26,5,21,5,2,2018,1,0,35177.73199999988,29187.5,78042.17199999987,37872.95114285707,45756.3559999999,24968.116646879476,39957.653365517166,48406.07971428564
2018-05-27,46420.58,27,6,21,5,2,2018,1,0,17624.25,4747.52,76982.83399999976,36221.05828571421,43742.42526666657,25999.72012570682,39804.68484931499,49076.633285714204
2018-05-28,53960.443999999756,28,0,22,5,2,2018,0,0,46420.58,42846.461999999876,65696.39,42174.3525714285,42723.683466666575,22065.30957824275,39849.690938775435,49604.9512857142
2018-05-29,60523.69,29,1,22,5,2,2018,0,0,53960.443999999756,39241.13,69813.97199999988,43762.064285714194,42332.485266666576,22516.963018159793,39945.03386486478,48628.54771428563
2018-05-30,98305.28,30,2,22,5,2,2018,0,0,60523.69,87001.59399999975,57894.061999999874,46802.42999999991,42022.8091999999,23230.32581706108,40083.145651006635,45183.77242857136
2018-05-31,48959.56,31,3,22,5,2,2018,0,1,98305.28,26908.719999999998,109392.88599999963,48417.24228571423,43369.849799999916,26633.955977904898,40471.29321333325,45421.73599999993
2018-06-01,23983.559999999998,1,4,22,6,2,2018,0,0,48959.56,35177.73199999988,44894.87199999988,51567.36228571423,41355.405599999925,24914.588937960354,40527.50690066217,46534.63528571423
2018-06-02,91984.59399999975,2,5,22,6,2,2018,1,0,23983.559999999998,17624.25,52474.11199999988,49968.194857142815,40658.361866666586,26453.623772141193,40418.66514473676,48828.6762857142
2018-06-03,14135.27,3,6,22,6,2,2018,1,0,91984.59399999975,46420.58,45410.04199999988,60591.101142857064,41975.37793333326,26230.03789040491,40755.697359477046,49208.93499999992
2018-06-04,50242.91399999975,4,0,23,6,2,2018,0,0,14135.27,53960.443999999756,36195.72199999988,55978.913999999924,40932.88553333326,31455.057919781346,40582.83744155836,48678.37842857135
2018-06-05,25571.480000000003,5,1,23,6,2,2018,0,0,50242.91399999975,60523.69,34913.811999999874,55447.83828571421,41401.12526666659,31526.119322924835,40645.160516128955,47423.34785714276
2018-06-06,38774.74,6,2,23,6,2,2018,0,0,25571.480000000003,98305.28,44006.101999999875,50454.66542857135,41089.71419999993,33305.873568340154,40548.53435897428,41705.73571428563
2018-06-07,30240.21,7,3,23,6,2,2018,0,0,38774.74,48959.56,53236.30399999975,41950.30257142849,40915.3354666666,25807.48378156185,40537.236305732404,38434.77428571419
2018-06-08,50758.32199999988,8,4,23,6,2,2018,0,0,30240.21,23983.559999999998,48721.77199999987,39276.10971428564,40148.79899999993,25929.69578522069,40472.06525316448,40829.98371428561
2018-06-09,49740.82399999975,9,5,23,6,2,2018,1,0,50758.32199999988,91984.59399999975,10244.210000000001,43101.07571428562,40216.683999999936,25264.14227380633,40536.758691823816,35540.63485714277
2018-06-10,51744.201999999874,10,6,23,6,2,2018,1,0,49740.82399999975,14135.27,55752.83199999988,37066.25142857133,41533.23779999992,14313.25421406406,40594.28409999992,36884.53214285705
2018-06-11,46532.65199999987,11,0,24,6,2,2018,0,0,51744.201999999874,50242.91399999975,28327.35,42438.95599999989,41399.61679999993,10929.822505385644,40663.53824844712,35359.85971428564
2018-06-12,42953.26199999988,12,1,24,6,2,2018,0,0,46532.65199999987,25571.480000000003,21070.309999999998,41908.918571428476,42006.46019999993,10572.417956962785,40699.767345678934,36527.59542857135
2018-06-13,18258.71,13,2,24,6,2,2018,0,0,42953.26199999988,38774.74,27643.829999999998,44392.03028571418,42735.89193333325,7763.954923904191,40713.592466257585,37902.94785714277
2018-06-14,3166.1,14,3,24,6,2,2018,0,0,18258.71,30240.21,30946.641999999876,41461.168857142744,42423.054599999916,12602.518361884548,40576.672451219434,36326.55499999991
2018-06-15,57516.491999999875,15,4,24,6,2,2018,0,0,3166.1,50758.32199999988,27998.251999999877,37593.43885714275,41497.03653333326,19099.85972024898,40349.94170909083,34995.72857142847
2018-06-16,17933.71,16,5,24,6,2,2018,1,0,57516.491999999875,49740.82399999975,46604.17,38558.8917142856,42480.977866666595,20024.639205370655,40453.35466265052,35209.02271428563
2018-06-17,32949.83199999988,17,6,24,6,2,2018,1,0,17933.71,51744.201999999874,41317.37199999988,34015.018285714206,41525.295866666595,20662.97841871007,40318.506491017884,36363.140571428485
2018-06-18,28897.5,18,0,25,6,2,2018,0,0,32949.83199999988,46532.65199999987,29187.5,31330.108285714206,41246.3778666666,19140.27837434342,40274.645333333254,35371.686285714204
2018-06-19,41919.78,19,1,25,6,2,2018,0,0,28897.5,42953.26199999988,4747.52,28810.800857142804,41236.711199999925,17927.973559652168,40207.32494674548,37019.02471428564
2018-06-20,58029.67399999975,20,2,25,6,2,2018,0,0,41919.78,18258.71,42846.461999999876,28663.160571428532,42475.78653333326,17795.865433420226,40217.39821176462,38705.406142857064
2018-06-21,8170.71,21,3,25,6,2,2018,0,0,58029.67399999975,3166.1,39241.13,34344.72685714278,42981.89359999992,20117.716529594865,40321.56356725138,42333.74328571422
2018-06-22,32126.751999999877,22,4,25,6,2,2018,0,0,8170.71,57516.491999999875,87001.59399999975,35059.67114285706,41946.21293333325,18875.599233799738,40134.63999999992,42350.07099999993
2018-06-23,52726.94199999987,23,5,25,6,2,2018,1,0,32126.751999999877,17933.71,26908.719999999998,31432.565428571357,40117.05153333326,16072.395689818783,40088.351630057725,43894.01599999994
2018-06-24,67901.85199999987,24,6,25,6,2,2018,1,0,52726.94199999987,32949.83199999988,35177.73199999988,36403.02714285705,40977.65893333325,16574.198660230442,40160.987206896476,45477.52728571423
2018-06-25,32652.291999999878,25,0,26,6,2,2018,0,0,67901.85199999987,28897.5,17624.25,41396.17285714277,42068.46293333325,20223.56401655581,40319.506434285635,45583.36157142852
2018-06-26,66016.0,26,1,26,6,2,2018,0,0,32652.291999999878,41919.78,46420.58,41932.5717142856,42569.39766666658,19883.744668727137,40275.94271590901,45798.3508571428
2018-06-27,41868.05,27,2,26,6,2,2018,0,0,66016.0,58029.67399999975,53960.443999999756,45374.888857142745,43222.57833333325,21867.953476445644,40421.3667683615,46694.18514285709
2018-06-28,53962.82,28,3,26,6,2,2018,0,0,41868.05,8170.71,60523.69,43066.08542857135,42819.49853333326,21150.58964640449,40429.49420224711,46352.60657142852
2018-06-29,57745.08,29,4,26,6,2,2018,0,0,53962.82,32126.751999999877,98305.28,49607.81542857135,42600.80286666659,14637.717448498619,40505.09937430159,47273.157999999945
2018-06-30,39548.94,30,5,26,6,2,2018,1,1,57745.08,52726.94199999987,48959.56,53267.57657142851,41248.79619999992,12599.253730312792,40600.877044444365,44263.77285714281
